Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Longest Reception (Advanced),Red Zone Targets,routes_run,yprr,TPRR,Rushing Yards,redzone_touches,goal_line_touches,Games Played (Advanced),Rostered %,Year,Position,posteam,player_id,Games Played (Basic),player_name_std,receiver_player_id,receiving_yards,targets,yac
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Receptions (advanced tracking),Targets (advanced tracking),Target share percentage,Catchable targets,Number of drops,Receiving yards (advanced tracking),Yards per reception (advanced),Yards before catch,Yards before catch per reception,Yards after catch (YAC),Yards after catch per reception,Yards after contact,Yards after contact per reception,Broken tackles,Receiving touchdowns (basic),Receptions of 10+ yards,Receptions of 20+ yards,Receptions of 30+ yards,Receptions of 40+ yards,Receptions of 50+ yards,Longest reception (advanced),Red zone targets,Routes run,Yards per route run (YPRR),Targets per route run (TPRR),Rushing yards,Red zone touches,Goal line touches,Games played (advanced tracking),Rostered percentage,Season year,Player position,Posteam,Unique player identifier,Games played (basic),Player name (standardized),Receiver player ID,Receiving yards (raw),Targets (raw),Yards after catch (raw)
1.0,Justin Jefferson (MIN),368.6,21.7,128.0,184.0,28.7%,134.0,5.0,"1,809",14.1,"1,185",9.3,624.0,4.9,132.0,1.0,6.0,8.0,74.0,28.0,14.0,6.0,1.0,64.0,28.0,194.0,9.56701030927835,0.9948453608247424,24.0,34.0,7.0,17.0,99.9%,2022,WR,MIN,00-0036322,17.0,J.Jefferson,00-0036322,1856.0,193.0,620.0
2.0,Tyreek Hill (MIA),341.2,20.1,119.0,170.0,30.2%,127.0,8.0,"1,710",14.4,"1,226",10.3,484.0,4.1,58.0,0.5,5.0,7.0,69.0,25.0,9.0,7.0,4.0,64.0,9.0,186.0,9.564516129032258,0.9946236559139784,32.0,16.0,7.0,17.0,98.8%,2022,WR,MIA,00-0033040,17.0,T.Hill,00-0033040,1779.0,185.0,517.0
3.0,Davante Adams (LAR),335.5,19.7,100.0,180.0,32.3%,109.0,8.0,"1,516",15.2,"1,023",10.2,493.0,4.9,96.0,1.0,9.0,14.0,61.0,24.0,14.0,7.0,2.0,60.0,22.0,181.0,8.375690607734807,0.994475138121547,-1.0,23.0,9.0,17.0,98.5%,2022,WR,LV,00-0031381,17.0,D.Adams,00-0031381,1516.0,180.0,493.0
4.0,Stefon Diggs (NE),321.2,18.9,110.0,156.0,28.1%,117.0,7.0,"1,455",13.2,"1,023",9.3,432.0,3.9,100.0,0.9,2.0,11.0,57.0,17.0,10.0,6.0,2.0,53.0,23.0,173.0,9.121387283236997,1.0,-3.0,26.0,8.0,17.0,85.9%,2022,WR,BUF,00-0031588,17.0,S.Diggs,00-0031588,1578.0,173.0,439.0
5.0,CeeDee Lamb (DAL),301.6,17.7,107.0,156.0,28.6%,114.0,6.0,"1,359",12.6,869,8.0,496.0,4.6,148.0,1.4,10.0,9.0,60.0,24.0,6.0,0.0,0.0,39.0,12.0,175.0,8.822857142857142,1.0,47.0,20.0,3.0,17.0,99.9%,2022,WR,DAL,00-0036358,17.0,C.Lamb,00-0036358,1544.0,175.0,552.0
6.0,A.J. Brown (PHI),299.6,17.6,88.0,145.0,28.7%,95.0,6.0,"1,496",17.0,953,10.8,543.0,6.2,192.0,2.2,7.0,11.0,58.0,23.0,13.0,6.0,3.0,78.0,16.0,167.0,9.832335329341316,1.0,0.0,16.0,4.0,17.0,99.8%,2022,WR,PHI,00-0035676,17.0,A.Brown,00-0035676,1642.0,167.0,603.0
8.0,Jaylen Waddle (MIA),259.2,15.2,75.0,117.0,20.8%,82.0,7.0,"1,356",18.1,842,11.2,514.0,6.9,149.0,2.0,4.0,8.0,54.0,21.0,11.0,6.0,3.0,84.0,8.0,125.0,11.2,0.992,26.0,11.0,2.0,17.0,89.7%,2022,WR,MIA,00-0036613,17.0,J.Waddle,00-0036613,1400.0,124.0,516.0
9.0,DeVonta Smith (PHI),254.6,15.0,95.0,136.0,26.9%,103.0,8.0,"1,196",12.6,706,7.4,490.0,5.2,98.0,1.0,5.0,7.0,53.0,18.0,8.0,4.0,0.0,45.0,12.0,159.0,8.849056603773585,0.9937106918238994,0.0,18.0,2.0,17.0,91.8%,2022,WR,PHI,00-0036912,17.0,D.Smith,00-0036912,1407.0,158.0,559.0
10.0,Amari Cooper (FA),247.0,14.5,78.0,132.0,26.0%,87.0,11.0,"1,160",14.9,835,10.7,325.0,4.2,93.0,1.2,4.0,9.0,50.0,18.0,7.0,4.0,2.0,55.0,16.0,133.0,8.721804511278195,0.9924812030075189,0.0,19.0,4.0,17.0,3.8%,2022,WR,CLE,00-0031544,17.0,A.Cooper,00-0031544,1160.0,132.0,299.0
