Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Longest Reception (Advanced),Red Zone Targets,routes_run,yprr,TPRR,Rushing Yards,redzone_touches,goal_line_touches,Games Played (Advanced),Rostered %,Year,Position,posteam,player_id,Games Played (Basic),player_name_std,receiver_player_id,receiving_yards,targets,yac
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Receptions (advanced tracking),Targets (advanced tracking),Target share percentage,Catchable targets,Number of drops,Receiving yards (advanced tracking),Yards per reception (advanced),Yards before catch,Yards before catch per reception,Yards after catch (YAC),Yards after catch per reception,Yards after contact,Yards after contact per reception,Broken tackles,Receiving touchdowns (basic),Receptions of 10+ yards,Receptions of 20+ yards,Receptions of 30+ yards,Receptions of 40+ yards,Receptions of 50+ yards,Longest reception (advanced),Red zone targets,Routes run,Yards per route run (YPRR),Targets per route run (TPRR),Rushing yards,Red zone touches,Goal line touches,Games played (advanced tracking),Rostered percentage,Season year,Player position,Posteam,Unique player identifier,Games played (basic),Player name (standardized),Receiver player ID,Receiving yards (raw),Targets (raw),Yards after catch (raw)
1.0,CeeDee Lamb (DAL),403.2,23.7,135.0,181.0,29.9%,143.0,6.0,"1,749",13.0,"1,069",7.9,680.0,5.0,233.0,1.7,11.0,12.0,73.0,29.0,8.0,3.0,1.0,92.0,31.0,199.0,9.341708542713569,0.9949748743718592,113.0,38.0,13.0,17.0,99.9%,2023,WR,DAL,00-0036358,17.0,C.Lamb,00-0036358,1859.0,198.0,715.0
2.0,Tyreek Hill (MIA),376.4,23.5,119.0,171.0,31.1%,131.0,12.0,"1,799",15.1,"1,147",9.6,652.0,5.5,91.0,0.8,12.0,13.0,64.0,29.0,14.0,9.0,5.0,78.0,24.0,180.0,10.338888888888889,0.9944444444444444,15.0,27.0,10.0,16.0,98.8%,2023,WR,MIA,00-0033040,16.0,T.Hill,00-0033040,1861.0,179.0,683.0
3.0,Amon-Ra St. Brown (DET),330.9,20.7,119.0,164.0,28.6%,127.0,8.0,"1,515",12.7,847,7.1,668.0,5.6,162.0,1.4,10.0,10.0,60.0,24.0,6.0,3.0,1.0,70.0,23.0,158.0,9.21518987341772,1.0,24.0,18.0,4.0,16.0,99.9%,2023,WR,PHI,00-0035676,16.0,A.Brown,00-0035676,1456.0,158.0,473.0
4.0,Puka Nacua (LAR),298.5,17.6,105.0,160.0,28.8%,117.0,13.0,"1,486",14.2,847,8.1,639.0,6.1,245.0,2.3,7.0,6.0,59.0,25.0,10.0,3.0,2.0,80.0,16.0,170.0,9.805882352941175,1.0,89.0,20.0,2.0,17.0,99.8%,2023,WR,LA,00-0039075,17.0,P.Nacua,00-0039075,1667.0,170.0,742.0
6.0,DJ Moore (CHI),286.5,16.9,96.0,136.0,28.5%,100.0,4.0,"1,364",14.2,825,8.6,539.0,5.6,173.0,1.8,9.0,8.0,53.0,25.0,12.0,2.0,2.0,58.0,11.0,138.0,9.884057971014492,0.9855072463768116,21.0,1.0,0.0,17.0,95.5%,2023,WR,CHI,00-0033589,17.0,D.Moore,00-0034827,1364.0,136.0,104.0
7.0,Mike Evans (TB),282.5,16.6,79.0,136.0,24.7%,86.0,7.0,"1,255",15.9,933,11.8,322.0,4.1,76.0,1.0,2.0,13.0,46.0,20.0,10.0,6.0,3.0,75.0,14.0,157.0,9.235668789808916,0.9872611464968152,0.0,19.0,8.0,17.0,97.8%,2023,WR,TB,00-0031408,17.0,M.Evans,00-0031408,1450.0,155.0,357.0
8.0,Keenan Allen (FA),278.9,21.5,108.0,150.0,24.4%,114.0,5.0,"1,243",11.5,847,7.8,396.0,3.7,101.0,0.9,5.0,7.0,47.0,19.0,4.0,1.0,0.0,42.0,12.0,150.0,8.286666666666667,1.0,6.0,15.0,3.0,13.0,6.8%,2023,WR,LAC,00-0030279,13.0,K.Allen,00-0030279,1243.0,150.0,396.0
9.0,Stefon Diggs (NE),273.8,16.1,107.0,160.0,29.4%,115.0,8.0,"1,183",11.1,784,7.3,399.0,3.7,182.0,1.7,11.0,8.0,50.0,10.0,6.0,2.0,1.0,55.0,15.0,178.0,7.056179775280899,0.99438202247191,5.0,18.0,2.0,17.0,85.9%,2023,WR,BUF,00-0031588,17.0,S.Diggs,00-0031588,1256.0,177.0,456.0
10.0,Davante Adams (LAR),265.4,15.6,103.0,175.0,33.0%,111.0,8.0,"1,144",11.1,808,7.8,336.0,3.3,90.0,0.9,2.0,8.0,47.0,13.0,4.0,2.0,0.0,46.0,29.0,175.0,6.537142857142857,1.0,0.0,30.0,7.0,17.0,98.5%,2023,WR,LV,00-0031381,17.0,D.Adams,00-0031381,1144.0,175.0,336.0
