Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Longest Reception (Advanced),Red Zone Targets,routes_run,yprr,TPRR,Rushing Yards,redzone_touches,goal_line_touches,Games Played (Advanced),Rostered %,Year,Position,posteam,player_id,Games Played (Basic),player_name_std,receiver_player_id,receiving_yards,targets,yac
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Receptions (advanced tracking),Targets (advanced tracking),Target share percentage,Catchable targets,Number of drops,Receiving yards (advanced tracking),Yards per reception (advanced),Yards before catch,Yards before catch per reception,Yards after catch (YAC),Yards after catch per reception,Yards after contact,Yards after contact per reception,Broken tackles,Receiving touchdowns (basic),Receptions of 10+ yards,Receptions of 20+ yards,Receptions of 30+ yards,Receptions of 40+ yards,Receptions of 50+ yards,Longest reception (advanced),Red zone targets,Routes run,Yards per route run (YPRR),Targets per route run (TPRR),Rushing yards,Red zone touches,Goal line touches,Games played (advanced tracking),Rostered percentage,Season year,Player position,Posteam,Unique player identifier,Games played (basic),Player name (standardized),Receiver player ID,Receiving yards (raw),Targets (raw),Yards after catch (raw)
1.0,Davante Adams (LAR),358.4,25.6,123.0,169.0,29.6%,127.0,4.0,"1,553",12.6,961,7.8,592.0,4.8,146.0,1.2,5.0,18.0,66.0,18.0,12.0,4.0,2.0,59.0,27.0,180.0,9.127777777777778,1.0,0.0,29.0,7.0,16.0,98.5%,2021,WR,GB,00-0031381,14.0,D.Adams,00-0031381,1643.0,180.0,622.0
2.0,Tyreek Hill (MIA),328.9,21.9,111.0,159.0,25.0%,121.0,7.0,"1,239",11.2,795,7.2,444.0,4.0,114.0,1.0,10.0,15.0,49.0,20.0,7.0,3.0,1.0,75.0,23.0,187.0,8.149732620320856,1.0,123.0,34.0,7.0,17.0,98.8%,2021,WR,KC,00-0033040,15.0,T.Hill,00-0033040,1524.0,187.0,579.0
3.0,Stefon Diggs (NE),328.6,20.5,103.0,164.0,26.2%,111.0,5.0,"1,225",11.9,899,8.7,326.0,3.2,152.0,1.5,7.0,8.0,50.0,20.0,6.0,4.0,2.0,61.0,34.0,175.0,7.382857142857143,0.9942857142857144,1.0,36.0,7.0,17.0,85.9%,2021,WR,BUF,00-0031588,16.0,S.Diggs,00-0031588,1292.0,174.0,342.0
4.0,DeAndre Hopkins (BAL),287.8,18.0,42.0,64.0,11.2%,44.0,1.0,572,13.6,432,10.3,140.0,3.3,46.0,1.1,0.0,6.0,27.0,17.0,4.0,1.0,1.0,55.0,14.0,64.0,8.9375,1.0,1.0,15.0,6.0,10.0,6.9%,2021,WR,ARI,00-0030564,16.0,D.Hopkins,00-0030564,572.0,64.0,140.0
5.0,Calvin Ridley (TEN),281.5,18.8,31.0,52.0,9.4%,38.0,3.0,281,9.1,190,6.1,91.0,2.9,35.0,1.1,1.0,9.0,11.0,23.0,0.0,0.0,0.0,22.0,10.0,52.0,5.403846153846154,1.0,1.0,11.0,3.0,5.0,88.8%,2021,WR,ATL,00-0034837,15.0,C.Ridley,00-0034837,281.0,52.0,91.0
6.0,Justin Jefferson (MIN),274.2,17.1,108.0,167.0,28.9%,120.0,7.0,"1,616",14.9,"1,141",10.5,482.0,4.4,149.0,1.4,5.0,7.0,67.0,23.0,11.0,5.0,2.0,56.0,20.0,170.0,9.505882352941176,0.9823529411764704,2.0,27.0,9.0,17.0,99.9%,2021,WR,MIN,00-0036322,16.0,J.Jefferson,00-0036322,1616.0,167.0,490.0
7.0,DK Metcalf (PIT),271.3,17.0,75.0,129.0,27.1%,83.0,4.0,967,12.9,639,8.5,328.0,4.4,159.0,2.1,8.0,10.0,41.0,17.0,5.0,2.0,1.0,84.0,19.0,129.0,7.496124031007752,1.0,0.0,20.0,2.0,17.0,96.8%,2021,WR,SEA,00-0035640,16.0,D.Metcalf,00-0035640,967.0,129.0,328.0
8.0,Tyler Lockett (TEN),265.4,16.6,73.0,107.0,22.5%,73.0,0.0,"1,175",16.1,898,12.3,277.0,3.8,65.0,0.9,2.0,10.0,36.0,10.0,9.0,7.0,5.0,69.0,7.0,108.0,10.87962962962963,0.9907407407407408,0.0,8.0,3.0,16.0,3.9%,2021,WR,SEA,00-0032211,16.0,T.Lockett,00-0032211,1175.0,107.0,277.0
9.0,Allen Robinson II (FA),262.9,16.4,38.0,66.0,12.6%,40.0,2.0,410,10.8,309,8.1,101.0,2.7,26.0,0.7,1.0,6.0,15.0,22.0,1.0,0.0,0.0,39.0,4.0,,,,-1.0,,,12.0,0.0%,2021,WR,,,16.0,A.II,,,,
10.0,Adam Thielen (CAR),254.0,16.9,67.0,95.0,16.4%,69.0,1.0,726,10.8,487,7.3,239.0,3.6,60.0,0.9,1.0,14.0,28.0,11.0,2.0,0.0,0.0,35.0,13.0,95.0,7.6421052631578945,1.0,15.0,15.0,5.0,13.0,49.2%,2021,WR,MIN,00-0030035,15.0,A.Thielen,00-0030035,726.0,95.0,239.0
11.0,Mike Evans (TB),248.6,15.5,74.0,114.0,15.9%,76.0,2.0,"1,035",14.0,776,10.5,259.0,3.5,63.0,0.9,2.0,13.0,42.0,20.0,7.0,3.0,0.0,46.0,18.0,140.0,9.07857142857143,1.0,0.0,25.0,8.0,16.0,97.8%,2021,WR,TB,00-0031408,16.0,M.Evans,00-0031408,1271.0,140.0,318.0
12.0,A.J. Brown (PHI),247.5,17.7,63.0,105.0,20.1%,72.0,8.0,869,13.8,621,9.9,248.0,3.9,99.0,1.6,2.0,11.0,45.0,13.0,3.0,3.0,1.0,57.0,11.0,62.0,8.790322580645162,1.0,0.0,3.0,1.0,13.0,99.8%,2021,WR,TB,00-0027793,14.0,A.Brown,00-0027793,545.0,62.0,190.0
13.0,Robert Woods (PIT),245.1,15.3,45.0,69.0,11.5%,48.0,3.0,556,12.4,358,8.0,198.0,4.4,71.0,1.6,0.0,6.0,25.0,11.0,0.0,0.0,0.0,28.0,16.0,70.0,7.942857142857143,0.9857142857142858,155.0,19.0,5.0,9.0,0.2%,2021,WR,LA,00-0030431,16.0,R.Woods,00-0030431,556.0,69.0,198.0
14.0,Keenan Allen (FA),245.1,17.5,106.0,157.0,23.8%,116.0,8.0,"1,138",10.7,801,7.6,337.0,3.2,83.0,0.8,1.0,8.0,47.0,10.0,5.0,2.0,0.0,42.0,23.0,158.0,7.2025316455696204,0.9936708860759492,-1.0,26.0,7.0,16.0,6.8%,2021,WR,LAC,00-0030279,14.0,K.Allen,00-0030279,1138.0,157.0,341.0
15.0,Amari Cooper (FA),236.8,14.8,68.0,104.0,16.3%,72.0,4.0,865,12.7,630,9.3,235.0,3.5,81.0,1.2,4.0,5.0,36.0,13.0,4.0,1.0,0.0,41.0,17.0,114.0,8.149122807017545,1.0,14.0,21.0,4.0,15.0,3.8%,2021,WR,DAL,00-0031544,16.0,A.Cooper,00-0031544,929.0,114.0,232.0
16.0,JuJu Smith-Schuster (KC),234.1,14.6,15.0,28.0,4.3%,15.0,0.0,129,8.6,61,4.1,68.0,4.5,30.0,2.0,3.0,9.0,5.0,13.0,0.0,0.0,0.0,24.0,0.0,36.0,4.305555555555555,1.0,0.0,1.0,1.0,5.0,0.5%,2021,WR,PIT,00-0033857,16.0,J.Smith-Schuster,00-0033857,155.0,36.0,83.0
17.0,Brandin Cooks (NO),232.0,15.5,90.0,134.0,25.6%,95.0,5.0,"1,037",11.4,671,7.5,357.0,4.0,68.0,0.8,5.0,6.0,41.0,20.0,6.0,5.0,1.0,52.0,10.0,134.0,7.723880597014926,1.0,0.0,10.0,1.0,16.0,1.4%,2021,WR,HOU,00-0031236,15.0,B.Cooks,00-0031236,1035.0,134.0,342.0
18.0,Marvin Jones Jr. (FA),227.8,14.2,73.0,120.0,20.6%,79.0,2.0,832,11.4,700,9.6,132.0,1.8,29.0,0.4,0.0,9.0,36.0,19.0,2.0,0.0,0.0,33.0,18.0,,,,0.0,,,17.0,0.0%,2021,WR,,,16.0,M.Jr.,,,,
19.0,Robbie Chosen (FA),224.1,14.0,53.0,110.0,19.1%,63.0,7.0,519,9.8,361,6.8,158.0,3.0,32.0,0.6,2.0,3.0,21.0,16.0,1.0,1.0,1.0,57.0,8.0,,,,15.0,,,17.0,0.0%,2021,WR,,,16.0,R.Chosen,,,,
20.0,Terry McLaurin (WAS),223.8,14.9,77.0,130.0,24.3%,85.0,5.0,"1,053",13.7,736,9.6,317.0,4.1,121.0,1.6,4.0,4.0,45.0,17.0,9.0,3.0,0.0,46.0,9.0,130.0,8.1,1.0,30.0,9.0,2.0,17.0,98.2%,2021,WR,WAS,00-0035659,15.0,T.McLaurin,00-0035659,1053.0,130.0,307.0
21.0,Diontae Johnson (CLE),221.8,14.8,107.0,169.0,25.9%,112.0,5.0,"1,161",10.9,634,5.9,527.0,4.9,98.0,0.9,8.0,7.0,46.0,10.0,7.0,4.0,2.0,50.0,21.0,42.0,5.357142857142857,1.0,15.0,14.0,1.0,16.0,1.2%,2021,WR,HOU,00-0032187,15.0,D.Johnson,00-0032187,225.0,42.0,191.0
