Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Longest Reception (Advanced),Red Zone Targets,routes_run,yprr,TPRR,Rushing Yards,redzone_touches,goal_line_touches,Games Played (Advanced),Rostered %,Year,Position,posteam,player_id,Games Played (Basic),player_name_std,receiver_player_id,receiving_yards,targets,yac
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Receptions (advanced tracking),Targets (advanced tracking),Target share percentage,Catchable targets,Number of drops,Receiving yards (advanced tracking),Yards per reception (advanced),Yards before catch,Yards before catch per reception,Yards after catch (YAC),Yards after catch per reception,Yards after contact,Yards after contact per reception,Broken tackles,Receiving touchdowns (basic),Receptions of 10+ yards,Receptions of 20+ yards,Receptions of 30+ yards,Receptions of 40+ yards,Receptions of 50+ yards,Longest reception (advanced),Red zone targets,Routes run,Yards per route run (YPRR),Targets per route run (TPRR),Rushing yards,Red zone touches,Goal line touches,Games played (advanced tracking),Rostered percentage,Season year,Player position,Posteam,Unique player identifier,Games played (basic),Player name (standardized),Receiver player ID,Receiving yards (raw),Targets (raw),Yards after catch (raw)
1.0,Michael Thomas (FA),374.6,23.4,149.0,185.0,33.1%,157.0,6.0,"1,725",11.6,"1,142",7.7,583.0,3.9,163.0,1.1,5.0,9.0,73.0,17.0,5.0,3.0,0.0,49.0,22.0,193.0,9.300518134715023,1.0,-9.0,26.0,5.0,16.0,0.0%,2019,WR,NO,00-0032765,16.0,M.Thomas,00-0032765,1795.0,193.0,591.0
2.0,Chris Godwin (TB),276.1,19.7,86.0,121.0,19.9%,89.0,1.0,"1,333",15.5,756,8.8,577.0,6.7,279.0,3.2,8.0,9.0,57.0,25.0,8.0,3.0,2.0,71.0,13.0,122.0,10.92622950819672,0.9918032786885246,8.0,15.0,6.0,14.0,85.4%,2019,WR,TB,00-0033921,14.0,C.Godwin,00-0033921,1333.0,121.0,577.0
3.0,Julio Jones (FA),274.1,18.3,99.0,157.0,24.0%,108.0,4.0,"1,394",14.1,"1,030",10.4,364.0,3.7,133.0,1.3,7.0,6.0,62.0,21.0,8.0,3.0,2.0,54.0,16.0,158.0,8.822784810126583,0.9936708860759492,-3.0,18.0,5.0,15.0,0.1%,2019,WR,ATL,00-0027944,15.0,J.Jones,00-0027944,1394.0,157.0,342.0
4.0,Cooper Kupp (SEA),270.5,16.9,94.0,134.0,21.9%,98.0,3.0,"1,161",12.4,623,6.6,538.0,5.7,159.0,1.7,9.0,10.0,41.0,21.0,5.0,4.0,3.0,66.0,18.0,135.0,8.6,0.9925925925925926,4.0,22.0,3.0,16.0,88.7%,2019,WR,LA,00-0033908,16.0,C.Kupp,00-0033908,1161.0,134.0,538.0
5.0,DeAndre Hopkins (BAL),269.5,18.0,104.0,150.0,29.0%,111.0,4.0,"1,165",11.2,778,7.5,387.0,3.7,144.0,1.4,9.0,7.0,51.0,16.0,7.0,1.0,0.0,43.0,13.0,174.0,7.890804597701149,0.9885057471264368,18.0,18.0,6.0,15.0,6.9%,2019,WR,HOU,00-0030564,15.0,D.Hopkins,00-0030564,1373.0,172.0,415.0
6.0,Keenan Allen (FA),261.5,16.3,104.0,149.0,25.9%,114.0,7.0,"1,199",11.5,825,7.9,374.0,3.6,107.0,1.0,4.0,6.0,53.0,15.0,5.0,1.0,0.0,45.0,19.0,149.0,8.046979865771812,1.0,16.0,20.0,3.0,16.0,6.8%,2019,WR,LAC,00-0030279,16.0,K.Allen,00-0030279,1199.0,149.0,369.0
7.0,Julian Edelman (FA),256.3,16.0,100.0,153.0,26.1%,114.0,13.0,"1,117",11.2,797,8.0,320.0,3.2,75.0,0.8,4.0,6.0,51.0,13.0,5.0,1.0,0.0,44.0,20.0,159.0,7.213836477987422,0.9937106918238994,27.0,24.0,7.0,16.0,0.2%,2019,WR,NE,00-0027150,16.0,J.Edelman,00-0027150,1147.0,158.0,328.0
8.0,Allen Robinson II (FA),254.9,15.9,98.0,154.0,27.2%,105.0,7.0,"1,147",11.7,875,8.9,272.0,2.8,84.0,0.9,5.0,7.0,45.0,15.0,6.0,1.0,0.0,49.0,20.0,,,,2.0,,,16.0,0.0%,2019,WR,,,16.0,A.II,,,,
9.0,Kenny Golladay (FA),248.0,15.5,65.0,116.0,21.1%,71.0,6.0,"1,190",18.3,886,13.6,304.0,4.7,71.0,1.1,1.0,11.0,43.0,22.0,12.0,6.0,3.0,75.0,15.0,117.0,10.17094017094017,0.9914529914529916,0.0,17.0,6.0,16.0,0.0%,2019,WR,DET,00-0033932,16.0,K.Golladay,00-0033932,1190.0,116.0,304.0
