Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Longest Reception (Advanced),Red Zone Targets,routes_run,yprr,TPRR,Rushing Yards,redzone_touches,goal_line_touches,Games Played (Advanced),Rostered %,Year,Position,posteam,player_id,Games Played (Basic),player_name_std,receiver_player_id,receiving_yards,targets,yac
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Receptions (advanced tracking),Targets (advanced tracking),Target share percentage,Catchable targets,Number of drops,Receiving yards (advanced tracking),Yards per reception (advanced),Yards before catch,Yards before catch per reception,Yards after catch (YAC),Yards after catch per reception,Yards after contact,Yards after contact per reception,Broken tackles,Receiving touchdowns (basic),Receptions of 10+ yards,Receptions of 20+ yards,Receptions of 30+ yards,Receptions of 40+ yards,Receptions of 50+ yards,Longest reception (advanced),Red zone targets,Routes run,Yards per route run (YPRR),Targets per route run (TPRR),Rushing yards,Red zone touches,Goal line touches,Games played (advanced tracking),Rostered percentage,Season year,Player position,Posteam,Unique player identifier,Games played (basic),Player name (standardized),Receiver player ID,Receiving yards (raw),Targets (raw),Yards after catch (raw)
1.0,DeAndre Hopkins (BAL),333.5,20.8,115.0,163.0,33.0%,121.0,2.0,"1,572",13.7,"1,185",10.3,387.0,3.4,84.0,0.7,5.0,11.0,66.0,23.0,9.0,4.0,0.0,49.0,10.0,173.0,9.30057803468208,1.0,-7.0,26.0,9.0,16.0,6.9%,2018,WR,HOU,00-0030564,16.0,D.Hopkins,00-0030564,1609.0,173.0,396.0
2.0,Davante Adams (LAR),329.6,22.0,111.0,169.0,27.5%,116.0,5.0,"1,386",12.5,911,8.2,475.0,4.3,90.0,0.8,4.0,13.0,53.0,18.0,8.0,5.0,2.0,57.0,15.0,170.0,8.152941176470588,0.9941176470588236,0.0,32.0,3.0,15.0,98.5%,2018,WR,GB,00-0031381,15.0,D.Adams,00-0031381,1386.0,169.0,475.0
3.0,Tyreek Hill (MIA),328.0,20.5,87.0,137.0,24.3%,94.0,6.0,"1,479",17.0,952,10.9,527.0,6.1,185.0,2.1,4.0,12.0,50.0,27.0,16.0,8.0,4.0,75.0,9.0,153.0,10.411764705882351,1.0,151.0,19.0,6.0,16.0,98.8%,2018,WR,KC,00-0033040,16.0,T.Hill,00-0033040,1593.0,153.0,556.0
4.0,Julio Jones (FA),325.9,20.4,113.0,170.0,28.1%,123.0,9.0,"1,677",14.8,"1,229",10.9,448.0,4.0,110.0,1.0,3.0,8.0,78.0,24.0,10.0,2.0,1.0,58.0,13.0,170.0,9.864705882352942,1.0,12.0,17.0,5.0,16.0,0.1%,2018,WR,ATL,00-0027944,16.0,J.Jones,00-0027944,1677.0,170.0,448.0
5.0,Antonio Brown (FA),323.7,21.6,104.0,168.0,24.9%,107.0,3.0,"1,297",12.5,812,7.8,485.0,4.7,129.0,1.2,5.0,15.0,48.0,17.0,8.0,6.0,2.0,78.0,12.0,168.0,7.720238095238095,1.0,0.0,24.0,4.0,15.0,0.8%,2018,WR,PIT,00-0027793,15.0,A.Brown,00-0027793,1297.0,168.0,485.0
6.0,Michael Thomas (FA),315.5,19.7,125.0,147.0,28.8%,129.0,3.0,"1,405",11.2,891,7.1,514.0,4.1,181.0,1.4,6.0,9.0,53.0,17.0,8.0,2.0,1.0,72.0,21.0,171.0,9.42690058479532,0.9941520467836256,0.0,35.0,11.0,16.0,0.0%,2018,WR,NO,00-0032765,16.0,M.Thomas,00-0032765,1612.0,170.0,584.0
7.0,Adam Thielen (CAR),307.3,19.2,113.0,153.0,25.8%,119.0,3.0,"1,373",12.2,957,8.5,416.0,3.7,85.0,0.8,3.0,9.0,56.0,17.0,7.0,3.0,1.0,68.0,13.0,154.0,8.915584415584416,0.9935064935064936,30.0,21.0,7.0,16.0,49.2%,2018,WR,MIN,00-0030035,16.0,A.Thielen,00-0030035,1373.0,153.0,416.0
8.0,JuJu Smith-Schuster (KC),296.9,18.6,111.0,166.0,24.6%,119.0,6.0,"1,426",12.8,778,7.0,648.0,5.8,171.0,1.5,7.0,7.0,48.0,18.0,7.0,5.0,3.0,97.0,16.0,167.0,8.281437125748504,0.994011976047904,13.0,30.0,9.0,16.0,0.5%,2018,WR,PIT,00-0033857,16.0,J.Smith-Schuster,00-0033857,1383.0,166.0,605.0
9.0,Mike Evans (TB),284.4,17.8,86.0,138.0,22.3%,95.0,7.0,"1,524",17.7,"1,235",14.4,289.0,3.4,70.0,0.8,0.0,8.0,62.0,26.0,11.0,6.0,4.0,72.0,6.0,139.0,10.964028776978417,0.9928057553956836,0.0,15.0,3.0,16.0,97.8%,2018,WR,TB,00-0031408,16.0,M.Evans,00-0031408,1524.0,138.0,282.0
