Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Longest Reception (Advanced),Red Zone Targets,routes_run,yprr,TPRR,Rushing Yards,redzone_touches,goal_line_touches,Games Played (Advanced),Rostered %,Year,Position,posteam,player_id,Games Played (Basic),player_name_std,receiver_player_id,receiving_yards,targets,yac
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Receptions (advanced tracking),Targets (advanced tracking),Target share percentage,Catchable targets,Number of drops,Receiving yards (advanced tracking),Yards per reception (advanced),Yards before catch,Yards before catch per reception,Yards after catch (YAC),Yards after catch per reception,Yards after contact,Yards after contact per reception,Broken tackles,Receiving touchdowns (basic),Receptions of 10+ yards,Receptions of 20+ yards,Receptions of 30+ yards,Receptions of 40+ yards,Receptions of 50+ yards,Longest reception (advanced),Red zone targets,Routes run,Yards per route run (YPRR),Targets per route run (TPRR),Rushing yards,Red zone touches,Goal line touches,Games played (advanced tracking),Rostered percentage,Season year,Player position,Posteam,Unique player identifier,Games played (basic),Player name (standardized),Receiver player ID,Receiving yards (raw),Targets (raw),Yards after catch (raw)
1.0,Antonio Brown (FA),310.3,22.2,101.0,163.0,27.9%,103.0,2.0,"1,533",15.2,"1,052",10.4,481.0,4.8,150.0,1.5,2.0,9.0,63.0,14.0,13.0,7.0,3.0,57.0,9.0,176.0,9.460227272727272,0.9886363636363636,0.0,25.0,6.0,14.0,0.8%,2017,WR,PIT,00-0027793,14.0,A.Brown,00-0027793,1665.0,174.0,508.0
2.0,DeAndre Hopkins (BAL),309.8,20.7,96.0,174.0,33.7%,101.0,4.0,"1,378",14.4,"1,019",10.6,359.0,3.7,61.0,0.6,0.0,13.0,52.0,13.0,11.0,2.0,1.0,72.0,15.0,175.0,7.874285714285715,0.9942857142857144,0.0,20.0,7.0,15.0,6.9%,2017,WR,HOU,00-0030564,15.0,D.Hopkins,00-0030564,1378.0,174.0,359.0
3.0,Keenan Allen (FA),278.2,17.4,102.0,159.0,27.7%,111.0,8.0,"1,393",13.7,892,8.7,501.0,4.9,158.0,1.5,7.0,6.0,66.0,13.0,5.0,4.0,2.0,51.0,11.0,159.0,8.761006289308176,1.0,9.0,24.0,7.0,16.0,6.8%,2017,WR,LAC,00-0030279,16.0,K.Allen,00-0030279,1393.0,159.0,501.0
4.0,Larry Fitzgerald (FA),261.4,16.3,109.0,161.0,27.2%,114.0,5.0,"1,156",10.6,748,6.9,408.0,3.7,150.0,1.4,3.0,6.0,56.0,14.0,2.0,0.0,0.0,37.0,8.0,162.0,7.135802469135802,0.9938271604938272,0.0,21.0,4.0,16.0,0.2%,2017,WR,ARI,00-0022921,16.0,L.Fitzgerald,00-0022921,1156.0,161.0,408.0
5.0,Jarvis Landry (FA),260.0,16.3,112.0,161.0,27.4%,120.0,6.0,987,8.8,489,4.4,498.0,4.4,175.0,1.6,6.0,9.0,41.0,5.0,1.0,1.0,0.0,49.0,11.0,161.0,6.130434782608695,1.0,-7.0,23.0,6.0,16.0,0.1%,2017,WR,MIA,00-0031382,16.0,J.Landry,00-0031382,987.0,161.0,498.0
6.0,Michael Thomas (FA),258.5,16.2,104.0,149.0,28.2%,108.0,3.0,"1,245",12.0,820,7.9,425.0,4.1,147.0,1.4,2.0,5.0,50.0,17.0,5.0,1.0,0.0,43.0,7.0,171.0,8.543859649122806,1.0,0.0,21.0,7.0,16.0,0.0%,2017,WR,NO,00-0032765,16.0,M.Thomas,00-0032765,1461.0,171.0,490.0
7.0,Julio Jones (FA),251.9,15.7,88.0,148.0,28.6%,95.0,7.0,"1,444",16.4,958,10.9,486.0,5.5,192.0,2.2,4.0,3.0,64.0,15.0,8.0,4.0,2.0,53.0,6.0,,,,15.0,,,16.0,0.1%,2017,WR,,,16.0,J.Jones,,,,
8.0,Adam Thielen (CAR),239.7,15.0,91.0,142.0,27.3%,100.0,6.0,"1,276",14.0,823,9.0,453.0,5.0,62.0,0.7,0.0,4.0,51.0,12.0,8.0,5.0,2.0,65.0,7.0,160.0,8.6125,1.0,11.0,20.0,4.0,16.0,49.2%,2017,WR,MIN,00-0030035,16.0,A.Thielen,00-0030035,1378.0,160.0,454.0
9.0,Tyreek Hill (MIA),239.2,15.9,75.0,105.0,19.9%,79.0,4.0,"1,183",15.8,732,9.8,451.0,6.0,81.0,1.1,7.0,7.0,38.0,1.0,14.0,9.0,6.0,79.0,2.0,116.0,10.948275862068966,1.0,59.0,6.0,1.0,15.0,98.8%,2017,WR,KC,00-0033040,15.0,T.Hill,00-0033040,1270.0,116.0,533.0
10.0,A.J. Green (FA),226.8,14.2,75.0,143.0,29.3%,82.0,7.0,"1,078",14.4,781,10.4,297.0,4.0,127.0,1.7,3.0,8.0,50.0,5.0,4.0,4.0,3.0,77.0,9.0,143.0,7.538461538461538,1.0,0.0,16.0,1.0,16.0,0.1%,2017,WR,CIN,00-0027942,16.0,A.Green,00-0027942,1078.0,143.0,297.0
11.0,Marvin Jones Jr. (FA),225.1,14.1,61.0,107.0,18.9%,65.0,3.0,"1,101",18.0,906,14.9,195.0,3.2,77.0,1.3,6.0,9.0,40.0,8.0,12.0,6.0,2.0,58.0,6.0,,,,0.0,,,16.0,0.0%,2017,WR,,,16.0,M.Jr.,,,,
12.0,Golden Tate (FA),224.5,14.0,92.0,120.0,21.2%,95.0,2.0,"1,003",10.9,390,4.2,613.0,6.7,224.0,2.4,14.0,5.0,41.0,5.0,5.0,3.0,1.0,71.0,3.0,120.0,8.358333333333333,1.0,22.0,8.0,2.0,16.0,0.0%,2017,WR,DET,00-0027891,16.0,G.Tate,00-0027891,1003.0,120.0,613.0
13.0,Doug Baldwin (FA),223.3,14.0,75.0,116.0,22.1%,77.0,2.0,991,13.2,717,9.6,274.0,3.7,28.0,0.4,2.0,8.0,38.0,11.0,7.0,3.0,1.0,54.0,4.0,117.0,8.47008547008547,0.9914529914529916,-8.0,9.0,3.0,16.0,0.0%,2017,WR,SEA,00-0028434,16.0,D.Baldwin,00-0028434,991.0,116.0,274.0
14.0,Davante Adams (LAR),222.5,15.9,74.0,117.0,21.1%,81.0,7.0,885,12.0,547,7.4,338.0,4.6,114.0,1.5,8.0,10.0,34.0,3.0,5.0,3.0,1.0,55.0,10.0,118.0,7.5,0.9915254237288136,0.0,24.0,4.0,14.0,98.5%,2017,WR,GB,00-0031381,14.0,D.Adams,00-0031381,885.0,117.0,338.0
15.0,Brandin Cooks (NO),221.2,13.8,65.0,114.0,19.5%,76.0,9.0,"1,082",16.6,855,13.2,227.0,3.5,54.0,0.8,2.0,7.0,36.0,7.0,11.0,7.0,3.0,64.0,4.0,134.0,9.23134328358209,0.9925373134328358,40.0,18.0,6.0,16.0,1.4%,2017,WR,NE,00-0031236,16.0,B.Cooks,00-0031236,1237.0,133.0,257.0
16.0,Demaryius Thomas (FA),205.9,12.9,83.0,140.0,25.4%,91.0,7.0,949,11.4,650,7.8,299.0,3.6,94.0,1.1,3.0,5.0,43.0,14.0,1.0,1.0,0.0,40.0,8.0,34.0,7.970588235294118,1.0,0.0,6.0,0.0,16.0,0.1%,2017,WR,DEN,00-0027874,16.0,D.Thomas,00-0027874,271.0,34.0,84.0
17.0,Mike Evans (TB),203.1,13.5,71.0,136.0,22.8%,80.0,7.0,"1,001",14.1,867,12.2,134.0,1.9,37.0,0.5,1.0,5.0,53.0,4.0,5.0,2.0,0.0,42.0,8.0,138.0,7.27536231884058,0.9855072463768116,0.0,21.0,6.0,15.0,97.8%,2017,WR,TB,00-0031408,15.0,M.Evans,00-0031408,1004.0,136.0,137.0
18.0,Robbie Chosen (FA),200.0,12.5,63.0,114.0,23.0%,70.0,7.0,941,14.9,668,10.6,273.0,4.3,50.0,0.8,1.0,7.0,34.0,10.0,7.0,3.0,2.0,69.0,3.0,,,,9.0,,,16.0,0.0%,2017,WR,,,16.0,R.Chosen,,,,
19.0,Stefon Diggs (NE),198.2,14.2,64.0,95.0,18.2%,66.0,2.0,849,13.3,551,8.6,298.0,4.7,102.0,1.6,2.0,8.0,31.0,7.0,7.0,3.0,2.0,59.0,6.0,117.0,9.025641025641026,1.0,13.0,15.0,3.0,14.0,85.9%,2017,WR,MIN,00-0031588,14.0,S.Diggs,00-0031588,1056.0,117.0,380.0
20.0,Alshon Jeffery (FA),195.9,12.2,57.0,120.0,21.6%,62.0,3.0,789,13.8,586,10.3,203.0,3.6,44.0,0.8,0.0,9.0,42.0,5.0,3.0,1.0,1.0,53.0,9.0,142.0,7.098591549295775,0.971830985915493,0.0,25.0,10.0,16.0,0.0%,2017,WR,PHI,00-0029137,16.0,A.Jeffery,00-0029137,1008.0,138.0,249.0
21.0,Devin Funchess (FA),195.0,12.2,63.0,111.0,22.6%,67.0,4.0,840,13.3,544,8.6,296.0,4.7,61.0,1.0,2.0,8.0,36.0,11.0,4.0,1.0,0.0,44.0,5.0,120.0,7.658333333333333,0.9916666666666668,0.0,16.0,2.0,16.0,0.0%,2017,WR,CAR,00-0032055,16.0,D.Funchess,00-0032055,919.0,119.0,306.0
22.0,JuJu Smith-Schuster (KC),191.7,13.7,58.0,79.0,13.5%,62.0,4.0,917,15.8,487,8.4,430.0,7.4,121.0,2.1,5.0,7.0,35.0,4.0,8.0,6.0,2.0,97.0,6.0,84.0,10.976190476190476,1.0,0.0,16.0,3.0,14.0,0.5%,2017,WR,PIT,00-0033857,14.0,J.Smith-Schuster,00-0033857,922.0,84.0,436.0
