Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Longest Reception (Advanced),Red Zone Targets,routes_run,yprr,TPRR,Rushing Yards,redzone_touches,goal_line_touches,Games Played (Advanced),Rostered %,Year,Position,posteam,player_id,Games Played (Basic),player_name_std,receiver_player_id,receiving_yards,targets,yac
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Receptions (advanced tracking),Targets (advanced tracking),Target share percentage,Catchable targets,Number of drops,Receiving yards (advanced tracking),Yards per reception (advanced),Yards before catch,Yards before catch per reception,Yards after catch (YAC),Yards after catch per reception,Yards after contact,Yards after contact per reception,Broken tackles,Receiving touchdowns (basic),Receptions of 10+ yards,Receptions of 20+ yards,Receptions of 30+ yards,Receptions of 40+ yards,Receptions of 50+ yards,Longest reception (advanced),Red zone targets,Routes run,Yards per route run (YPRR),Targets per route run (TPRR),Rushing yards,Red zone touches,Goal line touches,Games played (advanced tracking),Rostered percentage,Season year,Player position,Posteam,Unique player identifier,Games played (basic),Player name (standardized),Receiver player ID,Receiving yards (raw),Targets (raw),Yards after catch (raw)
1.0,Antonio Brown (FA),382.2,23.9,136.0,193.0,33.0%,268.0,8.0,"1,834",13.5,"1,242",9.1,592.0,4.4,186.0,1.4,6.0,10.0,72.0,14.0,11.0,8.0,5.0,59.0,23.0,209.0,9.37799043062201,0.9808612440191388,28.0,30.0,10.0,16.0,0.8%,2015,WR,PIT,00-0027793,16.0,A.Brown,00-0027793,1960.0,205.0,687.0
2.0,Julio Jones (FA),369.1,23.1,136.0,203.0,32.9%,274.0,12.0,"1,871",13.8,"1,230",9.0,641.0,4.7,290.0,2.1,7.0,8.0,79.0,15.0,10.0,5.0,2.0,70.0,21.0,114.0,8.517543859649123,0.9824561403508772,0.0,18.0,6.0,16.0,0.1%,2015,WR,GB,00-0025465,16.0,J.Jones,00-0025465,971.0,112.0,233.0
3.0,Brandon Marshall (FA),339.2,21.2,109.0,173.0,28.7%,226.0,7.0,"1,502",13.8,"1,064",9.8,438.0,4.0,189.0,1.7,4.0,14.0,72.0,12.0,7.0,5.0,2.0,69.0,21.0,173.0,8.68208092485549,1.0,0.0,25.0,5.0,16.0,0.1%,2015,WR,NYJ,00-0024334,16.0,B.Marshall,00-0024334,1502.0,173.0,438.0
4.0,DeAndre Hopkins (BAL),331.1,20.7,111.0,192.0,31.3%,231.0,9.0,"1,521",13.7,"1,300",11.7,221.0,2.0,63.0,0.6,2.0,11.0,71.0,15.0,4.0,3.0,1.0,61.0,22.0,204.0,7.794117647058823,0.9950980392156864,0.0,31.0,5.0,16.0,6.9%,2015,WR,HOU,00-0030564,16.0,D.Hopkins,00-0030564,1590.0,203.0,243.0
5.0,Odell Beckham Jr. (FA),319.3,21.3,96.0,158.0,25.7%,197.0,5.0,"1,450",15.1,860,9.0,590.0,6.1,211.0,2.2,4.0,13.0,49.0,6.0,13.0,8.0,5.0,87.0,18.0,,,,3.0,,,15.0,0.2%,2015,WR,,,15.0,O.Jr.,,,,
6.0,Allen Robinson II (FA),304.0,19.0,80.0,151.0,25.1%,169.0,10.0,"1,400",17.5,"1,044",13.1,356.0,4.5,119.0,1.5,6.0,14.0,48.0,18.0,13.0,6.0,2.0,90.0,21.0,,,,0.0,,,16.0,0.0%,2015,WR,,,16.0,A.II,,,,
7.0,Larry Fitzgerald (FA),280.5,17.5,109.0,145.0,26.4%,199.0,3.0,"1,215",11.1,749,6.9,466.0,4.3,105.0,1.0,0.0,9.0,52.0,16.0,1.0,1.0,0.0,44.0,18.0,164.0,8.664634146341463,1.0,0.0,21.0,6.0,16.0,0.2%,2015,WR,ARI,00-0022921,16.0,L.Fitzgerald,00-0022921,1421.0,164.0,574.0
8.0,A.J. Green (FA),273.7,17.1,86.0,132.0,26.7%,171.0,3.0,"1,297",15.1,963,11.2,334.0,3.9,120.0,1.4,2.0,10.0,48.0,9.0,10.0,5.0,3.0,80.0,18.0,140.0,9.771428571428572,1.0,0.0,19.0,6.0,16.0,0.1%,2015,WR,CIN,00-0027942,16.0,A.Green,00-0027942,1368.0,140.0,346.0
9.0,Jarvis Landry (FA),269.4,16.8,110.0,166.0,28.6%,222.0,7.0,"1,157",10.5,624,5.7,533.0,4.8,231.0,2.1,6.0,4.0,55.0,6.0,4.0,3.0,1.0,50.0,22.0,167.0,6.92814371257485,0.994011976047904,113.0,25.0,12.0,16.0,0.1%,2015,WR,MIA,00-0031382,16.0,J.Landry,00-0031382,1157.0,166.0,533.0
10.0,Doug Baldwin (FA),268.9,16.8,78.0,103.0,21.8%,145.0,3.0,"1,069",13.7,629,8.1,440.0,5.6,174.0,2.2,5.0,14.0,40.0,9.0,7.0,3.0,2.0,80.0,15.0,122.0,9.778688524590164,1.0,0.0,19.0,3.0,16.0,0.0%,2015,WR,SEA,00-0028434,16.0,D.Baldwin,00-0028434,1193.0,122.0,468.0
11.0,Demaryius Thomas (FA),267.4,16.7,105.0,177.0,29.3%,211.0,13.0,"1,304",12.4,828,7.9,476.0,4.5,212.0,2.0,5.0,6.0,55.0,7.0,7.0,4.0,1.0,72.0,19.0,199.0,6.8542713567839195,0.9949748743718592,0.0,23.0,6.0,16.0,0.1%,2015,WR,DEN,00-0027874,16.0,D.Thomas,00-0027874,1364.0,198.0,496.0
12.0,Calvin Johnson (FA),261.4,16.3,88.0,149.0,24.0%,178.0,7.0,"1,214",13.8,918,10.4,296.0,3.4,129.0,1.5,0.0,9.0,50.0,9.0,7.0,3.0,1.0,57.0,16.0,149.0,8.14765100671141,1.0,0.0,18.0,7.0,16.0,0.1%,2015,WR,DET,00-0025389,16.0,C.Johnson,00-0025389,1214.0,149.0,296.0
13.0,Brandin Cooks (NO),253.6,15.9,84.0,129.0,19.5%,173.0,5.0,"1,138",13.5,754,9.0,384.0,4.6,68.0,0.8,3.0,9.0,41.0,11.0,7.0,5.0,3.0,71.0,8.0,129.0,8.821705426356589,1.0,18.0,10.0,2.0,16.0,1.4%,2015,WR,NO,00-0031236,16.0,B.Cooks,00-0031236,1138.0,129.0,384.0
14.0,Eric Decker (FA),252.7,16.8,80.0,132.0,21.9%,170.0,9.0,"1,027",12.8,813,10.2,214.0,2.7,64.0,0.8,0.0,12.0,50.0,14.0,2.0,0.0,0.0,35.0,28.0,132.0,7.78030303030303,1.0,0.0,29.0,6.0,15.0,0.6%,2015,WR,NYJ,00-0027690,15.0,E.Decker,00-0027690,1027.0,132.0,214.0
15.0,Jeremy Maclin (FA),243.2,16.2,87.0,124.0,26.8%,166.0,4.0,"1,088",12.5,766,8.8,322.0,3.7,87.0,1.0,0.0,8.0,44.0,5.0,9.0,3.0,1.0,61.0,13.0,131.0,8.702290076335878,1.0,14.0,15.0,3.0,15.0,0.0%,2015,WR,KC,00-0026995,15.0,J.Maclin,00-0026995,1140.0,131.0,325.0
16.0,Michael Crabtree (FA),231.2,14.5,85.0,146.0,24.3%,174.0,8.0,922,10.8,658,7.7,264.0,3.1,120.0,1.4,6.0,9.0,35.0,11.0,4.0,0.0,0.0,38.0,13.0,146.0,6.315068493150685,1.0,0.0,13.0,4.0,16.0,0.0%,2015,WR,LV,00-0026986,16.0,M.Crabtree,00-0026986,922.0,146.0,263.0
17.0,Jordan Matthews (FA),230.7,14.4,85.0,128.0,0%,0.0,0.0,997,180.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,78.0,14.0,128.0,7.7890625,1.0,0.0,15.0,4.0,16.0,0.0%,2015,WR,PHI,00-0031299,16.0,J.Matthews,00-0031299,997.0,128.0,414.0
18.0,Allen Hurns (FA),225.1,15.0,64.0,105.0,17.5%,129.0,2.0,"1,031",16.1,667,10.4,364.0,5.7,165.0,2.6,1.0,10.0,38.0,14.0,5.0,3.0,3.0,80.0,13.0,106.0,9.726415094339623,0.9905660377358492,0.0,16.0,5.0,15.0,0.0%,2015,WR,JAX,00-0030821,15.0,A.Hurns,00-0030821,1031.0,105.0,347.0
19.0,Emmanuel Sanders (FA),224.4,15.0,76.0,137.0,22.7%,155.0,8.0,"1,135",14.9,753,9.9,382.0,5.0,52.0,0.7,1.0,6.0,42.0,3.0,9.0,6.0,3.0,75.0,8.0,161.0,8.478260869565217,1.0,29.0,11.0,1.0,15.0,0.0%,2015,WR,DEN,00-0027685,15.0,E.Sanders,00-0027685,1365.0,161.0,433.0
20.0,Sammy Watkins (FA),218.8,16.8,60.0,96.0,20.8%,121.0,4.0,"1,047",17.5,868,14.5,179.0,3.0,33.0,0.6,0.0,9.0,34.0,7.0,11.0,7.0,3.0,63.0,6.0,96.0,10.90625,0.9895833333333334,1.0,7.0,3.0,13.0,0.0%,2015,WR,BUF,00-0031325,13.0,S.Watkins,00-0031325,1047.0,95.0,179.0
21.0,Amari Cooper (FA),212.7,13.3,72.0,130.0,21.6%,148.0,18.0,"1,070",14.9,708,9.8,362.0,5.0,120.0,1.7,3.0,6.0,41.0,8.0,8.0,6.0,2.0,68.0,7.0,130.0,8.323076923076924,1.0,-3.0,8.0,0.0,16.0,3.8%,2015,WR,LV,00-0031544,16.0,A.Cooper,00-0031544,1082.0,130.0,374.0
22.0,T.Y. Hilton (FA),211.4,13.2,69.0,134.0,22.2%,143.0,5.0,"1,124",16.3,743,10.8,381.0,5.5,51.0,0.7,3.0,5.0,43.0,8.0,9.0,6.0,2.0,87.0,15.0,134.0,8.388059701492537,1.0,0.0,16.0,3.0,16.0,0.1%,2015,WR,IND,00-0029608,16.0,T.Hilton,00-0029608,1124.0,134.0,381.0
23.0,Mike Evans (TB),210.6,14.0,74.0,148.0,28.2%,168.0,17.0,"1,206",16.3,974,13.2,232.0,3.1,95.0,1.3,1.0,3.0,58.0,17.0,4.0,2.0,1.0,68.0,14.0,148.0,8.182432432432432,1.0,0.0,17.0,4.0,15.0,97.8%,2015,WR,TB,00-0031408,15.0,M.Evans,00-0031408,1211.0,148.0,237.0
24.0,Golden Tate (FA),209.4,13.1,90.0,128.0,20.6%,165.0,6.0,813,9.0,280,3.1,533.0,5.9,215.0,2.4,10.0,6.0,34.0,4.0,3.0,1.0,0.0,43.0,17.0,129.0,6.3023255813953485,0.992248062015504,41.0,18.0,7.0,16.0,0.0%,2015,WR,DET,00-0027891,16.0,G.Tate,00-0027891,813.0,128.0,533.0
25.0,John Brown (FA),207.5,13.8,65.0,101.0,18.4%,120.0,5.0,"1,003",15.4,688,10.6,315.0,4.8,72.0,1.1,1.0,7.0,44.0,4.0,7.0,6.0,2.0,68.0,16.0,,,,22.0,1.0,0.0,15.0,0.0%,2015,WR,,00-0021940,15.0,J.Brown,,,,
26.0,Randall Cobb (FA),202.9,12.7,79.0,129.0,22.8%,162.0,12.0,829,10.5,393,5.0,436.0,5.5,125.0,1.6,2.0,6.0,36.0,9.0,2.0,1.0,1.0,53.0,21.0,138.0,6.282608695652174,1.0,50.0,25.0,6.0,16.0,0.0%,2015,WR,GB,00-0028002,16.0,R.Cobb,00-0028002,867.0,138.0,449.0
27.0,Kamar Aiken (FA),197.4,12.3,75.0,127.0,19.0%,153.0,6.0,944,12.6,733,9.8,211.0,2.8,93.0,1.2,1.0,5.0,41.0,6.0,5.0,2.0,0.0,48.0,8.0,128.0,7.375,0.9921875,0.0,11.0,4.0,16.0,0.0%,2015,WR,BAL,00-0028497,16.0,K.Aiken,00-0028497,944.0,127.0,211.0
28.0,Tavon Austin (FA),192.7,12.0,52.0,87.0,18.6%,99.0,6.0,473,9.1,125,2.4,348.0,6.7,140.0,2.7,8.0,5.0,19.0,3.0,2.0,2.0,1.0,66.0,9.0,87.0,5.436781609195402,1.0,434.0,13.0,3.0,16.0,0.1%,2015,WR,LA,00-0030525,16.0,T.Austin,00-0030525,473.0,87.0,348.0
29.0,Travis Benjamin (FA),191.8,12.0,68.0,125.0,20.8%,133.0,6.0,966,14.2,649,9.5,317.0,4.7,47.0,0.7,0.0,5.0,38.0,6.0,6.0,6.0,4.0,61.0,14.0,127.0,7.606299212598425,0.984251968503937,12.0,17.0,7.0,16.0,0.0%,2015,WR,CLE,00-0029269,16.0,T.Benjamin,00-0029269,966.0,125.0,321.0
31.0,Pierre Garcon (FA),185.7,11.6,72.0,111.0,20.0%,146.0,5.0,777,10.8,613,8.5,164.0,2.3,40.0,0.6,3.0,6.0,36.0,5.0,2.0,0.0,0.0,39.0,15.0,120.0,7.058333333333334,0.9916666666666668,0.0,19.0,9.0,16.0,0.0%,2015,WR,WAS,00-0026345,16.0,P.Garcon,00-0026345,847.0,119.0,183.0
32.0,Rueben Randle (FA),184.7,11.5,57.0,90.0,14.6%,121.0,4.0,797,14.0,596,10.5,201.0,3.5,66.0,1.2,1.0,8.0,27.0,6.0,7.0,5.0,1.0,72.0,11.0,90.0,8.9,1.0,0.0,12.0,2.0,16.0,0.0%,2015,WR,NYG,00-0029262,16.0,R.Randle,00-0029262,801.0,90.0,205.0
33.0,Ted Ginn Jr. (FA),183.9,12.3,44.0,96.0,19.4%,100.0,11.0,739,16.8,498,11.3,241.0,5.5,38.0,0.9,0.0,10.0,27.0,4.0,6.0,5.0,2.0,74.0,9.0,,,,60.0,,,15.0,0.0%,2015,WR,,,15.0,T.Jr.,,,,
34.0,Willie Snead IV (FA),183.4,12.2,69.0,101.0,15.2%,143.0,5.0,984,14.3,639,9.3,345.0,5.0,168.0,2.4,4.0,3.0,41.0,9.0,6.0,3.0,2.0,63.0,9.0,,,,0.0,,,15.0,0.0%,2015,WR,,,15.0,W.IV,,,,
35.0,Marvin Jones Jr. (FA),173.9,10.9,65.0,103.0,20.8%,125.0,3.0,816,12.6,527,8.1,289.0,4.4,106.0,1.6,4.0,4.0,28.0,7.0,6.0,4.0,0.0,47.0,12.0,,,,33.0,,,16.0,0.0%,2015,WR,,,16.0,M.Jr.,,,,
36.0,Donte Moncrief (FA),173.3,10.8,64.0,105.0,17.4%,129.0,4.0,733,11.5,466,7.3,267.0,4.2,65.0,1.0,1.0,6.0,30.0,5.0,4.0,0.0,0.0,33.0,12.0,105.0,6.980952380952381,1.0,0.0,12.0,3.0,16.0,0.0%,2015,WR,IND,00-0031339,16.0,D.Moncrief,00-0031339,733.0,105.0,267.0
37.0,Michael Floyd (FA),172.9,11.5,52.0,89.0,16.2%,105.0,4.0,849,16.3,641,12.3,208.0,4.0,85.0,1.6,4.0,6.0,39.0,7.0,6.0,3.0,1.0,60.0,10.0,69.0,8.130434782608695,1.0,0.0,4.0,0.0,15.0,0.0%,2015,WR,LAC,00-0022414,15.0,M.Floyd,00-0022414,561.0,69.0,86.0
38.0,Julian Edelman (FA),172.5,19.2,61.0,88.0,14.1%,126.0,9.0,692,11.3,382,6.3,310.0,5.1,100.0,1.6,7.0,7.0,30.0,6.0,2.0,1.0,1.0,59.0,16.0,118.0,7.161016949152542,0.9915254237288136,23.0,23.0,4.0,9.0,0.2%,2015,WR,NE,00-0027150,9.0,J.Edelman,00-0027150,845.0,117.0,351.0
39.0,Martavis Bryant (FA),170.2,15.5,50.0,92.0,15.8%,105.0,11.0,765,15.3,435,8.7,330.0,6.6,72.0,1.4,3.0,6.0,26.0,4.0,6.0,5.0,3.0,88.0,13.0,113.0,8.389380530973451,1.0,37.0,17.0,3.0,11.0,0.0%,2015,WR,PIT,00-0031373,11.0,M.Bryant,00-0031373,948.0,113.0,439.0
40.0,Anquan Boldin (FA),169.9,12.1,69.0,111.0,21.1%,136.0,4.0,789,11.4,507,7.3,282.0,4.1,145.0,2.1,3.0,4.0,32.0,7.0,3.0,1.0,1.0,51.0,19.0,112.0,7.044642857142857,0.9910714285714286,0.0,20.0,6.0,14.0,0.1%,2015,WR,SF,00-0022084,14.0,A.Boldin,00-0022084,789.0,111.0,282.0
41.0,Keenan Allen (FA),161.5,20.2,67.0,89.0,13.5%,137.0,5.0,725,10.8,489,7.3,236.0,3.5,53.0,0.8,1.0,4.0,27.0,5.0,3.0,0.0,0.0,38.0,6.0,90.0,8.055555555555555,0.9888888888888888,0.0,8.0,1.0,8.0,6.8%,2015,WR,LAC,00-0030279,8.0,K.Allen,00-0030279,725.0,89.0,236.0
42.0,Alshon Jeffery (FA),158.7,17.6,54.0,94.0,18.1%,108.0,3.0,807,14.9,630,11.7,177.0,3.3,74.0,1.4,1.0,4.0,39.0,9.0,5.0,3.0,1.0,50.0,15.0,94.0,8.585106382978724,1.0,0.0,16.0,2.0,9.0,0.0%,2015,WR,CHI,00-0029137,9.0,A.Jeffery,00-0029137,807.0,94.0,177.0
43.0,Terrance Williams (FA),154.0,9.6,52.0,93.0,17.9%,109.0,6.0,840,16.2,565,10.9,275.0,5.3,51.0,1.0,0.0,3.0,40.0,8.0,5.0,1.0,0.0,42.0,10.0,93.0,9.03225806451613,1.0,0.0,11.0,1.0,16.0,0.0%,2015,WR,DAL,00-0030542,16.0,T.Williams,00-0030542,840.0,93.0,275.0
44.0,Tyler Lockett (TEN),153.4,9.6,51.0,69.0,14.6%,92.0,3.0,664,13.0,409,8.0,255.0,5.0,63.0,1.2,0.0,6.0,26.0,6.0,3.0,2.0,0.0,49.0,2.0,78.0,9.923076923076923,1.0,20.0,4.0,0.0,16.0,3.9%,2015,WR,SEA,00-0032211,16.0,T.Lockett,00-0032211,774.0,78.0,279.0
45.0,Markus Wheaton (FA),150.9,9.4,44.0,79.0,13.5%,95.0,3.0,749,17.0,591,13.4,158.0,3.6,61.0,1.4,3.0,5.0,28.0,3.0,6.0,5.0,2.0,72.0,15.0,94.0,8.53191489361702,0.9787234042553192,0.0,17.0,3.0,16.0,0.0%,2015,WR,PIT,00-0030460,16.0,M.Wheaton,00-0030460,802.0,92.0,176.0
46.0,Stefon Diggs (NE),149.3,11.5,52.0,84.0,19.0%,103.0,2.0,720,13.8,428,8.2,292.0,5.6,95.0,1.8,4.0,4.0,28.0,5.0,8.0,1.0,0.0,40.0,6.0,90.0,8.28888888888889,1.0,13.0,9.0,0.0,13.0,85.9%,2015,WR,MIN,00-0031588,13.0,S.Diggs,00-0031588,746.0,90.0,298.0
47.0,Danny Amendola (FA),148.3,10.6,65.0,87.0,13.9%,127.0,2.0,648,10.0,384,5.9,264.0,4.1,59.0,0.9,2.0,3.0,26.0,3.0,2.0,1.0,0.0,41.0,11.0,98.0,7.1938775510204085,1.0,11.0,13.0,3.0,14.0,0.0%,2015,WR,NE,00-0026035,14.0,D.Amendola,00-0026035,705.0,98.0,286.0
48.0,Jermaine Kearse (FA),147.5,9.2,49.0,68.0,14.4%,100.0,5.0,685,14.0,457,9.3,228.0,4.7,79.0,1.6,2.0,5.0,27.0,8.0,5.0,1.0,1.0,50.0,9.0,88.0,9.238636363636363,0.9886363636363636,0.0,13.0,2.0,16.0,0.0%,2015,WR,SEA,00-0029159,16.0,J.Kearse,00-0029159,813.0,87.0,254.0
