Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Longest Reception (Advanced),Red Zone Targets,routes_run,yprr,TPRR,Rushing Yards,redzone_touches,goal_line_touches,Games Played (Advanced),Rostered %,Year,Position,posteam,player_id,Games Played (Basic),player_name_std,receiver_player_id,receiving_yards,targets,yac
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Receptions (advanced tracking),Targets (advanced tracking),Target share percentage,Catchable targets,Number of drops,Receiving yards (advanced tracking),Yards per reception (advanced),Yards before catch,Yards before catch per reception,Yards after catch (YAC),Yards after catch per reception,Yards after contact,Yards after contact per reception,Broken tackles,Receiving touchdowns (basic),Receptions of 10+ yards,Receptions of 20+ yards,Receptions of 30+ yards,Receptions of 40+ yards,Receptions of 50+ yards,Longest reception (advanced),Red zone targets,Routes run,Yards per route run (YPRR),Targets per route run (TPRR),Rushing yards,Red zone touches,Goal line touches,Games played (advanced tracking),Rostered percentage,Season year,Player position,Posteam,Unique player identifier,Games played (basic),Player name (standardized),Receiver player ID,Receiving yards (raw),Targets (raw),Yards after catch (raw)
1.0,Ja'Marr Chase (CIN),403.0,23.7,127.0,175.0,27.9%,136.0,9.0,"1,708",13.4,921,7.3,787.0,6.2,295.0,2.3,11.0,17.0,63.0,19.0,13.0,8.0,4.0,70.0,35.0,175.0,9.76,1.0,32.0,36.0,13.0,17.0,99.9%,2024,WR,CIN,00-0036900,17.0,J.Chase,00-0036900,1708.0,175.0,787.0
2.0,Justin Jefferson (MIN),317.5,18.7,103.0,154.0,29.8%,108.0,5.0,"1,533",14.9,"1,046",10.2,487.0,4.7,119.0,1.2,5.0,10.0,55.0,28.0,9.0,4.0,2.0,97.0,25.0,163.0,9.760736196319018,0.9938650306748468,3.0,27.0,5.0,17.0,99.9%,2024,WR,MIN,00-0036322,17.0,J.Jefferson,00-0036322,1591.0,162.0,498.0
3.0,Amon-Ra St. Brown (DET),316.2,18.6,115.0,141.0,27.0%,119.0,4.0,"1,263",11.0,851,7.4,412.0,3.6,131.0,1.1,3.0,12.0,51.0,14.0,2.0,1.0,1.0,66.0,31.0,120.0,10.35,1.0,6.0,14.0,3.0,17.0,99.9%,2024,WR,PHI,00-0035676,17.0,A.Brown,00-0035676,1242.0,120.0,401.0
4.0,Brian Thomas Jr. (JAC),284.0,16.7,87.0,133.0,25.5%,94.0,7.0,"1,282",14.7,720,8.3,562.0,6.5,179.0,2.1,0.0,10.0,41.0,18.0,10.0,7.0,5.0,85.0,16.0,,,,48.0,,,17.0,99.6%,2024,WR,,,17.0,B.Jr.,,,,
5.0,Drake London (ATL),280.8,16.5,100.0,158.0,29.3%,105.0,5.0,"1,271",12.7,944,9.4,327.0,3.3,147.0,1.5,6.0,9.0,61.0,12.0,4.0,0.0,0.0,39.0,24.0,159.0,7.9937106918239,0.9937106918238994,-3.0,27.0,6.0,17.0,99.2%,2024,WR,ATL,00-0037238,17.0,D.London,00-0037238,1271.0,158.0,327.0
6.0,Malik Nabers (NYG),273.6,18.2,109.0,170.0,30.7%,118.0,9.0,"1,204",11.0,742,6.8,462.0,4.2,207.0,1.9,8.0,7.0,46.0,16.0,5.0,2.0,1.0,59.0,13.0,172.0,7.0,0.9883720930232558,2.0,18.0,9.0,15.0,99.8%,2024,WR,NYG,00-0039337,15.0,M.Nabers,00-0039337,1204.0,170.0,462.0
7.0,Terry McLaurin (WAS),267.8,15.8,82.0,117.0,23.2%,86.0,4.0,"1,096",13.4,804,9.8,292.0,3.6,107.0,1.3,2.0,13.0,40.0,12.0,6.0,5.0,5.0,86.0,14.0,141.0,9.382978723404255,0.9929078014184396,2.0,21.0,7.0,17.0,98.2%,2024,WR,WAS,00-0035659,17.0,T.McLaurin,00-0035659,1323.0,140.0,422.0
8.0,CeeDee Lamb (DAL),263.4,17.6,101.0,152.0,24.4%,108.0,7.0,"1,194",11.8,657,6.5,537.0,5.3,251.0,2.5,11.0,6.0,43.0,16.0,7.0,4.0,3.0,65.0,16.0,154.0,7.753246753246753,0.987012987012987,70.0,21.0,3.0,15.0,99.9%,2024,WR,DAL,00-0036358,15.0,C.Lamb,00-0036358,1194.0,152.0,537.0
9.0,Jaxon Smith-Njigba (SEA),253.0,14.9,100.0,137.0,24.1%,105.0,5.0,"1,130",11.3,653,6.5,477.0,4.8,128.0,1.3,4.0,6.0,46.0,14.0,3.0,2.0,0.0,46.0,13.0,138.0,8.18840579710145,0.9927536231884058,26.0,16.0,6.0,17.0,98.1%,2024,WR,SEA,00-0038543,17.0,J.Smith-Njigba,00-0038543,1130.0,137.0,477.0
10.0,Garrett Wilson (NYJ),251.9,14.8,101.0,154.0,26.1%,107.0,7.0,"1,104",10.9,662,6.6,442.0,4.4,159.0,1.6,7.0,7.0,44.0,16.0,3.0,1.0,0.0,42.0,23.0,154.0,7.1688311688311686,0.9935064935064936,5.0,25.0,5.0,17.0,96.7%,2024,WR,NYJ,00-0037740,17.0,G.Wilson,00-0037740,1104.0,153.0,442.0
11.0,Davante Adams (LAR),241.3,17.2,85.0,141.0,23.8%,91.0,6.0,"1,063",12.5,590,6.9,473.0,5.6,180.0,2.1,7.0,8.0,45.0,16.0,7.0,3.0,1.0,71.0,24.0,142.0,7.485915492957746,0.991304347826087,0.0,27.0,11.0,14.0,98.5%,2024,WR,NYJ,00-0031381,14.0,D.Adams,00-0031381,1063.0,114.0,473.0
12.0,Ladd McConkey (LAC),240.9,15.1,82.0,112.0,22.8%,87.0,5.0,"1,149",14.0,759,9.3,390.0,4.8,105.0,1.3,10.0,7.0,49.0,15.0,6.0,4.0,1.0,60.0,9.0,127.0,10.645669291338583,0.9921259842519684,0.0,10.0,1.0,16.0,98.7%,2024,WR,LAC,00-0039915,16.0,L.McConkey,00-0039915,1352.0,126.0,475.0
13.0,Jerry Jeudy (CLE),240.9,14.2,90.0,145.0,22.9%,103.0,13.0,"1,229",13.7,842,9.4,387.0,4.3,49.0,0.5,0.0,4.0,49.0,13.0,9.0,3.0,2.0,89.0,13.0,148.0,8.304054054054054,0.9797297297297296,0.0,17.0,4.0,17.0,90.3%,2024,WR,CLE,00-0036407,17.0,J.Jeudy,00-0036407,1229.0,145.0,387.0
