player_id,full_name,position,date,category,week,season,season_type,sport,player,team_x,game_id,company,opponent,team_y,age,status,stat_adp_dd_ppr
9487,Parker Washington,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Parker', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Washington', 'metadata': {'channel_id': '1113708892983947264', 'genius_id': '1399246', 'rookie_year': '2023'}, 'news_updated': 1769631022183, 'position': 'WR', 'team': 'JAX', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 3}",JAX,,rotowire,,JAX,23.0,Active,1000.0
3342,Jakeem Grant,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Jakeem', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Grant', 'metadata': {'channel_id': '1116852852942176256', 'rookie_year': '2016'}, 'news_updated': 1734242151808, 'position': 'WR', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 8}",,,rotowire,,,32.0,Active,1000.0
1684,Jaron Brown,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Jaron', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Brown', 'metadata': {'channel_id': '1116852755042926592'}, 'news_updated': 1602620149319, 'position': 'WR', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 9}",,,rotowire,,,32.0,Active,1000.0
6918,Salvon Ahmed,RB,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['RB'], 'first_name': 'Salvon', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Ahmed', 'metadata': {'channel_id': '1113708735169064960', 'genius_id': '1005727', 'rookie_year': '2020'}, 'news_updated': 1754694945192, 'position': 'RB', 'team': 'IND', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 6}",IND,,rotowire,,IND,27.0,Inactive,1000.0
6137,Tommy Sweeney,TE,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['TE'], 'first_name': 'Tommy', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Sweeney', 'metadata': {'channel_id': '1113708766848643072', 'rookie_year': '2019'}, 'news_updated': 1729806320462, 'position': 'TE', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 6}",,,rotowire,,,29.0,Active,1000.0
3561,Bryce Williams,TE,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['TE'], 'first_name': 'Bryce', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Williams', 'metadata': {'channel_id': '1116852875503337472'}, 'news_updated': 1523486701657, 'position': 'TE', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 6}",,,rotowire,,,28.0,Active,1000.0
6786,CeeDee Lamb,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'CeeDee', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Lamb', 'metadata': {'channel_id': '1113708855537201152', 'genius_id': '1013871', 'injury_override_regular_2025_5': 'Out', 'injury_override_regular_2025_6': 'Out', 'rookie_year': '2020'}, 'news_updated': 1770171658324, 'position': 'WR', 'team': 'DAL', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 6}",DAL,,rotowire,,DAL,26.0,Active,1000.0
5038,Michael Gallup,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Michael', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Gallup', 'metadata': {'channel_id': '1113708771563040768', 'rookie_year': '2018'}, 'news_updated': 1756160704849, 'position': 'WR', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 7}",,,rotowire,,,29.0,Active,1000.0
11584,Bucky Irving,RB,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['RB'], 'first_name': 'Bucky', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Irving', 'metadata': {'channel_id': '1113708732941889536', 'genius_id': '1463975', 'injury_override_regular_2025_10': 'Out', 'injury_override_regular_2025_9': 'Out', 'rookie_year': '2024'}, 'news_updated': 1770769855756, 'position': 'RB', 'team': 'TB', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 2}",TB,,rotowire,,TB,23.0,Active,1000.0
2023,De'Anthony Thomas,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': ""De'Anthony"", 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Thomas', 'metadata': {'channel_id': '1116852775678902272'}, 'news_updated': 1648441845359, 'position': 'WR', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 8}",,,rotowire,,,29.0,Inactive,1000.0
11649,Kendall Milton,RB,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['RB'], 'first_name': 'Kendall', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Milton', 'metadata': {'channel_id': '1113708718547038208', 'genius_id': '1483899', 'rookie_year': '2024'}, 'news_updated': 1763435134989, 'position': 'RB', 'team': None, 'team_abbr': None, 'team_changed_at': None, 'years_exp': 2}",,,rotowire,,,23.0,Active,1000.0
6783,Jerry Jeudy,WR,,proj,0,2026,regular,nfl,"{'fantasy_positions': ['WR'], 'first_name': 'Jerry', 'injury_body_part': None, 'injury_notes': None, 'injury_start_date': None, 'injury_status': None, 'last_name': 'Jeudy', 'metadata': {'channel_id': '1113708842941706240', 'genius_id': '1014925', 'rookie_year': '2020'}, 'news_updated': 1770697854474, 'position': 'WR', 'team': 'CLE', 'team_abbr': None, 'team_changed_at': None, 'years_exp': 6}",CLE,,rotowire,,CLE,26.0,Active,1000.0
