Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Red Zone Targets,routes_run,yprr,TPRR,Fumbles Lost,redzone_touches,goal_line_touches,Games Played (Advanced),Year,Position,posteam,player_id,player_name,targets,yac
"Overall fantasy ranking for the player","Player name","Total fantasy points scored","Average fantasy points per game","Receptions (advanced tracking)","Targets (advanced tracking)","Target share percentage","Catchable targets","Number of drops","Receiving yards (advanced tracking)","Yards per reception (advanced)","Yards before catch","Yards before catch per reception","Yards after catch (YAC)","Yards after catch per reception","Yards after contact","Yards after contact per reception","Broken tackles","Receiving touchdowns (basic)","Receptions of 10+ yards","Receptions of 20+ yards","Receptions of 30+ yards","Receptions of 40+ yards","Receptions of 50+ yards","Red zone targets","Routes run","Yards per route run (YPRR)","Targets per route run (TPRR)","Fumbles lost","Red zone touches","Goal line touches","Games played (advanced tracking)","Season year","Player position","Posteam","Unique player identifier","Player display name","Targets (raw count)","Yards after catch (raw count)"
1.0,Travis Kelce (KC),254.3,15.9,97.0,136.0,24.4%,108.0,8.0,"1,229",12.7,819.0,8.4,410.0,4.2,155.0,1.6,6.0,5.0,59.0,13.0,5.0,3.0,0.0,19.0,158,9.08860759493671,1.0,1.0,26,8,16.0,2019,TE,KC,00-0030506,T.Kelce,158,494
2.0,George Kittle (SF),222.5,15.9,85.0,107.0,22.9%,87.0,2.0,"1,053",12.4,451.0,5.3,602.0,7.1,218.0,2.6,8.0,5.0,45.0,16.0,6.0,2.0,1.0,16.0,120,9.366666666666667,1.0,0.0,23,4,14.0,2019,TE,SF,00-0033288,G.Kittle,120,656
3.0,Darren Waller (MIA),221.0,13.8,90.0,117.0,23.8%,95.0,5.0,"1,145",12.7,575.0,6.4,570.0,6.3,179.0,2.0,8.0,3.0,45.0,14.0,6.0,2.0,1.0,11.0,117,9.786324786324789,1.0,1.0,11,2,16.0,2019,TE,LV,00-0031610,D.Waller,117,578
4.0,Zach Ertz (WAS),215.6,14.4,88.0,135.0,22.4%,95.0,5.0,916,10.4,661.0,7.5,255.0,2.9,79.0,0.9,5.0,6.0,39.0,12.0,1.0,0.0,0.0,16.0,140,6.857142857142857,0.9928571428571428,1.0,20,5,15.0,2019,TE,PHI,00-0030061,Z.Ertz,139,271
5.0,Mark Andrews (BAL),207.2,13.8,64.0,98.0,23.1%,73.0,7.0,852,13.3,561.0,8.8,291.0,4.5,95.0,1.5,3.0,10.0,28.0,16.0,7.0,1.0,1.0,14.0,105,8.485714285714286,1.0,1.0,16,3,15.0,2019,TE,BAL,00-0034753,M.Andrews,105,298
6.0,Austin Hooper (NE),191.7,14.7,75.0,97.0,14.8%,76.0,1.0,787,10.5,452.0,6.0,335.0,4.5,109.0,1.5,5.0,6.0,34.0,8.0,3.0,0.0,0.0,18.0,99,7.94949494949495,0.9797979797979798,0.0,20,5,13.0,2019,TE,ATL,00-0032392,A.Hooper,97,335
7.0,Jared Cook (FA),167.5,12.0,43.0,65.0,11.6%,49.0,4.0,705,16.4,451.0,10.5,254.0,5.9,151.0,3.5,3.0,9.0,27.0,15.0,5.0,2.0,1.0,9.0,70,10.842857142857143,1.0,0.0,11,4,14.0,2019,TE,NO,00-0027061,J.Cook,70,275
8.0,Tyler Higbee (LAR),160.4,10.7,69.0,89.0,14.5%,71.0,2.0,734,10.6,338.0,4.9,396.0,5.7,87.0,1.3,5.0,3.0,29.0,11.0,2.0,0.0,0.0,19.0,89,8.247191011235955,1.0,0.0,19,6,15.0,2019,TE,LA,00-0033110,T.Higbee,89,390
9.0,Hunter Henry (NE),150.2,12.5,55.0,76.0,13.2%,60.0,4.0,652,11.9,488.0,8.9,164.0,3.0,47.0,0.9,0.0,5.0,32.0,8.0,1.0,0.0,0.0,10.0,77,8.467532467532468,0.987012987012987,1.0,13,3,12.0,2019,TE,LAC,00-0033090,H.Henry,76,159
10.0,Dallas Goedert (PHI),144.7,9.6,58.0,87.0,14.4%,63.0,5.0,607,10.5,276.0,4.8,331.0,5.7,112.0,1.9,5.0,5.0,25.0,8.0,0.0,0.0,0.0,11.0,95,7.157894736842105,1.0,2.0,12,4,15.0,2019,TE,PHI,00-0034351,D.Goedert,95,351
11.0,Jason Witten (FA),139.9,8.7,63.0,83.0,14.4%,70.0,6.0,529,8.4,367.0,5.8,162.0,2.6,46.0,0.7,0.0,4.0,15.0,2.0,1.0,0.0,0.0,10.0,85,6.223529411764706,0.976470588235294,1.0,12,6,16.0,2019,TE,DAL,00-0022127,J.Witten,83,162
12.0,Mike Gesicki (CIN),136.0,8.5,51.0,89.0,14.7%,53.0,0.0,570,11.2,408.0,8.0,162.0,3.2,45.0,0.9,0.0,5.0,27.0,7.0,3.0,0.0,0.0,11.0,89,6.404494382022472,1.0,1.0,11,1,16.0,2019,TE,MIA,00-0034829,M.Gesicki,89,175
