Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Red Zone Targets,routes_run,yprr,TPRR,Fumbles Lost,redzone_touches,goal_line_touches,Games Played (Advanced),Year,Position,posteam,player_id,player_name,targets,yac
"Overall fantasy ranking for the player","Player name","Total fantasy points scored","Average fantasy points per game","Receptions (advanced tracking)","Targets (advanced tracking)","Target share percentage","Catchable targets","Number of drops","Receiving yards (advanced tracking)","Yards per reception (advanced)","Yards before catch","Yards before catch per reception","Yards after catch (YAC)","Yards after catch per reception","Yards after contact","Yards after contact per reception","Broken tackles","Receiving touchdowns (basic)","Receptions of 10+ yards","Receptions of 20+ yards","Receptions of 30+ yards","Receptions of 40+ yards","Receptions of 50+ yards","Red zone targets","Routes run","Yards per route run (YPRR)","Targets per route run (TPRR)","Fumbles lost","Red zone touches","Goal line touches","Games played (advanced tracking)","Season year","Player position","Posteam","Unique player identifier","Player display name","Targets (raw count)","Yards after catch (raw count)"
1.0,Rob Gronkowski (FA),255.6,17.0,72.0,120.0,19.2%,152.0,7.0,"1,176",16.3,622.0,8.6,554.0,7.7,208.0,2.9,3.0,11.0,48.0,12.0,10.0,5.0,2.0,19.0,143,9.811188811188812,1.0,0.0,25,9,15.0,2015,TE,NE,00-0027656,R.Gronkowski,143,636
2.0,Delanie Walker (FA),244.4,16.3,94.0,133.0,24.5%,193.0,6.0,"1,088",11.6,699.0,7.4,389.0,4.1,188.0,2.0,7.0,6.0,44.0,10.0,3.0,2.0,2.0,15.0,134,8.119402985074627,0.9925373134328358,0.0,17,5,15.0,2015,TE,TEN,00-0024389,D.Walker,133,384
3.0,Jordan Reed (FA),244.2,17.4,87.0,114.0,20.5%,170.0,4.0,952,10.9,484.0,5.6,468.0,5.4,140.0,1.6,7.0,11.0,38.0,13.0,1.0,0.0,0.0,21.0,131,8.183206106870228,1.0,2.0,26,5,14.0,2015,TE,WAS,00-0030472,J.Reed,131,505
4.0,Gary Barnidge (FA),237.3,14.8,79.0,125.0,20.8%,161.0,7.0,"1,043",13.2,680.0,8.6,363.0,4.6,123.0,1.6,0.0,9.0,49.0,12.0,4.0,1.0,0.0,23.0,125,8.344,0.992,0.0,24,8,16.0,2015,TE,CLE,00-0026281,G.Barnidge,124,363
5.0,Greg Olsen (FA),227.4,14.2,77.0,124.0,25.1%,154.0,7.0,"1,104",14.3,760.0,9.9,344.0,4.5,58.0,0.8,0.0,7.0,49.0,14.0,6.0,1.0,1.0,18.0,147,9.081632653061224,1.0,1.0,21,5,16.0,2015,TE,CAR,00-0025418,G.Olsen,147,435
6.0,Tyler Eifert (FA),191.5,14.7,52.0,74.0,14.9%,103.0,7.0,615,11.8,391.0,7.5,224.0,4.3,71.0,1.4,3.0,13.0,29.0,6.0,2.0,0.0,0.0,15.0,83,8.108433734939759,1.0,0.0,16,4,13.0,2015,TE,CIN,00-0030549,T.Eifert,83,271
7.0,Benjamin Watson (FA),190.5,11.9,74.0,110.0,16.6%,152.0,9.0,825,11.1,584.0,7.9,241.0,3.3,69.0,0.9,1.0,6.0,32.0,12.0,1.0,1.0,0.0,16.0,110,7.5,1.0,1.0,18,3,16.0,2015,TE,NO,00-0022943,B.Watson,110,241
8.0,Travis Kelce (KC),189.5,11.8,72.0,103.0,22.2%,144.0,6.0,875,12.2,351.0,4.9,524.0,7.3,233.0,3.2,4.0,5.0,37.0,6.0,4.0,1.0,0.0,10.0,124,8.274193548387096,0.9838709677419356,2.0,17,3,16.0,2015,TE,KC,00-0030506,T.Kelce,122,609
9.0,Zach Ertz (WAS),170.3,11.4,75.0,112.0,18.1%,155.0,7.0,853,11.4,570.0,7.6,283.0,3.8,76.0,1.0,1.0,2.0,35.0,9.0,2.0,2.0,1.0,9.0,112,7.616071428571429,1.0,1.0,9,2,15.0,2015,TE,PHI,00-0030061,Z.Ertz,112,298
