Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Red Zone Targets,routes_run,yprr,TPRR,Fumbles Lost,redzone_touches,goal_line_touches,Games Played (Advanced),Year,Position,posteam,player_id,player_name,targets,yac
"Overall fantasy ranking for the player","Player name","Total fantasy points scored","Average fantasy points per game","Receptions (advanced tracking)","Targets (advanced tracking)","Target share percentage","Catchable targets","Number of drops","Receiving yards (advanced tracking)","Yards per reception (advanced)","Yards before catch","Yards before catch per reception","Yards after catch (YAC)","Yards after catch per reception","Yards after contact","Yards after contact per reception","Broken tackles","Receiving touchdowns (basic)","Receptions of 10+ yards","Receptions of 20+ yards","Receptions of 30+ yards","Receptions of 40+ yards","Receptions of 50+ yards","Red zone targets","Routes run","Yards per route run (YPRR)","Targets per route run (TPRR)","Fumbles lost","Red zone touches","Goal line touches","Games played (advanced tracking)","Season year","Player position","Posteam","Unique player identifier","Player display name","Targets (raw count)","Yards after catch (raw count)"
1.0,Travis Kelce (KC),294.6,18.4,103.0,150.0,26.6%,110.0,7.0,"1,336",13.0,767.0,7.4,569.0,5.5,152.0,1.5,7.0,10.0,56.0,18.0,6.0,2.0,0.0,14.0,167.0,8.784431137724551,0.994011976047904,1.0,28.0,7.0,16.0,2018,TE,KC,00-0030506,T.Kelce,166.0,634.0
2.0,Zach Ertz (WAS),280.3,17.5,116.0,156.0,26.4%,123.0,5.0,"1,163",10.0,810.0,7.0,353.0,3.0,98.0,0.8,3.0,8.0,54.0,13.0,1.0,0.0,0.0,12.0,171.0,7.39766081871345,1.0,0.0,27.0,4.0,16.0,2018,TE,PHI,00-0030061,Z.Ertz,171.0,389.0
3.0,George Kittle (SF),258.7,16.2,88.0,136.0,26.4%,93.0,5.0,"1,377",15.6,507.0,5.8,870.0,9.9,253.0,2.9,9.0,5.0,50.0,20.0,10.0,6.0,4.0,9.0,138.0,9.978260869565217,0.9855072463768116,0.0,21.0,7.0,16.0,2018,TE,SF,00-0033288,G.Kittle,136.0,870.0
4.0,Eric Ebron (FA),222.2,13.9,66.0,110.0,17.4%,79.0,9.0,750,11.4,500.0,7.6,250.0,3.8,53.0,0.8,0.0,13.0,33.0,7.0,1.0,1.0,1.0,11.0,125.0,6.616,1.0,1.0,26.0,5.0,16.0,2018,TE,IND,00-0031387,E.Ebron,125.0,269.0
5.0,Jared Cook (FA),193.6,12.1,68.0,101.0,19.1%,77.0,9.0,896,13.2,553.0,8.1,343.0,5.0,88.0,1.3,4.0,6.0,39.0,15.0,5.0,1.0,0.0,7.0,101.0,8.871287128712872,1.0,0.0,15.0,3.0,16.0,2018,TE,LV,00-0027061,J.Cook,101.0,343.0
6.0,Austin Hooper (NE),163.0,10.2,71.0,88.0,14.6%,75.0,4.0,660,9.3,423.0,6.0,237.0,3.3,56.0,0.8,4.0,4.0,24.0,7.0,3.0,0.0,0.0,6.0,90.0,7.333333333333333,0.9777777777777776,0.0,15.0,7.0,16.0,2018,TE,ATL,00-0032392,A.Hooper,88.0,237.0
7.0,Kyle Rudolph (FA),151.4,9.5,64.0,82.0,13.9%,66.0,1.0,634,9.9,389.0,6.1,245.0,3.8,59.0,0.9,1.0,4.0,26.0,6.0,1.0,1.0,0.0,7.0,84.0,7.547619047619048,0.9761904761904762,0.0,17.0,7.0,16.0,2018,TE,MIN,00-0027981,K.Rudolph,82.0,249.0
8.0,Trey Burton (FA),147.1,9.2,54.0,76.0,15.1%,57.0,3.0,569,10.5,379.0,7.0,190.0,3.5,32.0,0.6,1.0,6.0,21.0,7.0,2.0,1.0,0.0,7.0,77.0,7.389610389610389,0.987012987012987,1.0,16.0,4.0,16.0,2018,TE,CHI,00-0030710,T.Burton,76.0,190.0
9.0,David Njoku (CLE),143.9,9.0,56.0,88.0,15.8%,62.0,6.0,639,11.4,333.0,5.9,306.0,5.5,174.0,3.1,6.0,4.0,23.0,9.0,2.0,2.0,1.0,6.0,88.0,7.261363636363637,1.0,0.0,8.0,3.0,16.0,2018,TE,CLE,00-0033885,D.Njoku,88.0,306.0
