Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Red Zone Targets,routes_run,yprr,TPRR,Fumbles Lost,redzone_touches,goal_line_touches,Games Played (Advanced),Year,Position,posteam,player_id,player_name,targets,yac
"Overall fantasy ranking for the player","Player name","Total fantasy points scored","Average fantasy points per game","Receptions (advanced tracking)","Targets (advanced tracking)","Target share percentage","Catchable targets","Number of drops","Receiving yards (advanced tracking)","Yards per reception (advanced)","Yards before catch","Yards before catch per reception","Yards after catch (YAC)","Yards after catch per reception","Yards after contact","Yards after contact per reception","Broken tackles","Receiving touchdowns (basic)","Receptions of 10+ yards","Receptions of 20+ yards","Receptions of 30+ yards","Receptions of 40+ yards","Receptions of 50+ yards","Red zone targets","Routes run","Yards per route run (YPRR)","Targets per route run (TPRR)","Fumbles lost","Red zone touches","Goal line touches","Games played (advanced tracking)","Season year","Player position","Posteam","Unique player identifier","Player display name","Targets (raw count)","Yards after catch (raw count)"
1.0,Travis Kelce (KC),233.5,15.6,83.0,122.0,23.1%,90.0,7.0,"1,038",12.5,632.0,7.6,406.0,4.9,154.0,1.9,7.0,8.0,44.0,13.0,6.0,1.0,0.0,10.0,126,8.761904761904763,1.0,0.0,21,1,15.0,2017,TE,KC,00-0030506,T.Kelce,126,424
2.0,Rob Gronkowski (FA),227.4,16.2,69.0,105.0,18.0%,73.0,4.0,"1,084",15.7,739.0,10.7,345.0,5.0,187.0,2.7,4.0,8.0,52.0,13.0,5.0,2.0,1.0,9.0,133,9.789473684210526,0.9924812030075189,0.0,27,13,14.0,2017,TE,NE,00-0027656,R.Gronkowski,132,416
3.0,Zach Ertz (WAS),202.4,14.5,74.0,110.0,19.8%,79.0,3.0,824,11.1,581.0,7.9,243.0,3.3,95.0,1.3,1.0,8.0,38.0,4.0,3.0,2.0,1.0,8.0,133,7.639097744360902,0.9924812030075189,1.0,21,7,14.0,2017,TE,PHI,00-0030061,Z.Ertz,132,320
4.0,Delanie Walker (FA),174.5,10.9,74.0,111.0,22.9%,77.0,3.0,807,10.9,562.0,7.6,245.0,3.3,78.0,1.1,1.0,3.0,39.0,7.0,2.0,1.0,0.0,3.0,126,7.4603174603174605,1.0,2.0,14,7,16.0,2017,TE,TEN,00-0024389,D.Walker,126,311
5.0,Evan Engram (DEN),173.6,11.6,64.0,115.0,19.1%,77.0,12.0,722,11.3,416.0,6.5,306.0,4.8,107.0,1.7,5.0,6.0,29.0,9.0,2.0,0.0,0.0,8.0,115,6.278260869565218,1.0,0.0,11,3,15.0,2017,TE,NYG,00-0033881,E.Engram,115,306
6.0,Jimmy Graham (FA),171.0,10.7,57.0,96.0,18.3%,66.0,9.0,520,9.1,309.0,5.4,211.0,3.7,78.0,1.4,1.0,10.0,21.0,7.0,1.0,0.0,0.0,15.0,98,5.3061224489795915,0.979591836734694,0.0,28,16,16.0,2017,TE,SEA,00-0027696,J.Graham,96,211
7.0,Jack Doyle (FA),169.0,11.3,80.0,108.0,22.9%,84.0,4.0,690,8.6,353.0,4.4,337.0,4.2,124.0,1.6,5.0,4.0,25.0,4.0,0.0,0.0,0.0,3.0,109,6.330275229357798,0.9908256880733946,2.0,11,3,15.0,2017,TE,IND,00-0030181,J.Doyle,108,337
8.0,Kyle Rudolph (FA),158.2,9.9,57.0,81.0,15.5%,63.0,3.0,532,9.3,308.0,5.4,224.0,3.9,37.0,0.6,1.0,8.0,21.0,3.0,1.0,0.0,0.0,10.0,93,6.290322580645161,1.0,0.0,18,5,16.0,2017,TE,MIN,00-0027981,K.Rudolph,93,235
9.0,Jason Witten (FA),147.0,9.2,63.0,87.0,17.9%,64.0,1.0,560,8.9,455.0,7.2,105.0,1.7,28.0,0.4,0.0,5.0,17.0,3.0,0.0,0.0,0.0,5.0,87,6.436781609195402,1.0,1.0,13,0,16.0,2017,TE,DAL,00-0022127,J.Witten,87,105
