Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Red Zone Targets,routes_run,yprr,TPRR,Fumbles Lost,redzone_touches,goal_line_touches,Games Played (Advanced),Year,Position,posteam,player_id,player_name,targets,yac
10.0,Cameron Brate (FA),143.1,8.9,48.0,77.0,12.9%,51.0,3.0,591,12.3,448.0,9.3,143.0,3.0,28.0,0.6,0.0,6.0,33.0,4.0,1.0,0.0,0.0,7.0,77,7.675324675324675,1.0,0.0,13,1,16.0,2017,TE,TB,00-0031273,C.Brate,77,143
11.0,Benjamin Watson (FA),137.2,8.6,61.0,79.0,14.1%,65.0,4.0,522,8.6,259.0,4.2,263.0,4.3,74.0,1.2,0.0,4.0,22.0,3.0,2.0,0.0,0.0,5.0,80,6.525,0.9875,0.0,14,4,16.0,2017,TE,BAL,00-0022943,B.Watson,79,263
12.0,Jared Cook (FA),132.8,8.3,54.0,86.0,15.6%,62.0,8.0,688,12.7,447.0,8.3,241.0,4.5,41.0,0.8,3.0,2.0,31.0,9.0,1.0,0.0,0.0,4.0,86,8.0,1.0,1.0,9,2,16.0,2017,TE,LV,00-0027061,J.Cook,86,241
13.0,Eric Ebron (FA),132.4,8.3,53.0,86.0,15.2%,58.0,6.0,574,10.8,316.0,6.0,258.0,4.9,68.0,1.3,2.0,4.0,25.0,4.0,2.0,1.0,0.0,4.0,86,6.674418604651163,1.0,1.0,12,2,16.0,2017,TE,DET,00-0031387,E.Ebron,86,258
14.0,Hunter Henry (NE),126.9,9.1,45.0,62.0,10.8%,48.0,3.0,579,12.9,358.0,8.0,221.0,4.9,48.0,1.1,1.0,4.0,27.0,6.0,2.0,0.0,0.0,6.0,62,9.338709677419354,1.0,0.0,12,2,14.0,2017,TE,LAC,00-0033090,H.Henry,62,221
15.0,Tyler Kroft (FA),124.4,7.8,42.0,62.0,12.7%,45.0,3.0,404,9.6,211.0,5.0,193.0,4.6,84.0,2.0,2.0,7.0,19.0,3.0,1.0,1.0,1.0,8.0,62,6.516129032258065,1.0,0.0,12,7,16.0,2017,TE,CIN,00-0032214,T.Kroft,62,193
16.0,Vernon Davis (FA),121.8,7.6,43.0,69.0,12.9%,48.0,4.0,648,15.1,342.0,8.0,306.0,7.1,87.0,2.0,2.0,3.0,25.0,5.0,6.0,2.0,2.0,3.0,69,9.391304347826088,1.0,2.0,9,1,16.0,2017,TE,WAS,00-0024221,V.Davis,69,306
17.0,Austin Hooper (NE),119.6,7.5,49.0,65.0,12.6%,56.0,6.0,526,10.7,264.0,5.4,262.0,5.3,116.0,2.4,4.0,3.0,18.0,3.0,2.0,2.0,1.0,2.0,71,7.661971830985915,1.0,0.0,12,4,16.0,2017,TE,ATL,00-0032392,A.Hooper,71,265
18.0,Charles Clay (FA),116.8,9.0,49.0,74.0,15.8%,57.0,5.0,558,11.4,288.0,5.9,270.0,5.5,89.0,1.8,3.0,2.0,23.0,3.0,4.0,1.0,0.0,7.0,79,7.253164556962025,1.0,0.0,11,3,13.0,2017,TE,BUF,00-0028112,C.Clay,79,273
19.0,George Kittle (SF),106.5,7.1,43.0,63.0,10.5%,48.0,5.0,515,12.0,244.0,5.7,271.0,6.3,87.0,2.0,2.0,2.0,20.0,5.0,3.0,1.0,0.0,7.0,63,8.174603174603174,1.0,0.0,16,1,15.0,2017,TE,SF,00-0033288,G.Kittle,63,265
20.0,Austin Seferian-Jenkins (FA),101.7,7.8,50.0,74.0,14.9%,54.0,3.0,357,7.1,233.0,4.7,124.0,2.5,51.0,1.0,2.0,3.0,12.0,2.0,0.0,0.0,0.0,5.0,74,4.824324324324325,1.0,1.0,11,6,13.0,2017,TE,NYJ,00-0031418,A.Seferian-Jenkins,74,124
21.0,O.J. Howard (FA),101.2,7.2,26.0,39.0,6.5%,29.0,3.0,432,16.6,280.0,10.8,152.0,5.8,34.0,1.3,0.0,6.0,18.0,6.0,3.0,1.0,1.0,4.0,39,11.076923076923077,1.0,2.0,6,2,14.0,2017,TE,TB,00-0033879,O.Howard,39,152
22.0,Jesse James (FA),98.2,6.1,43.0,63.0,10.8%,45.0,2.0,372,8.7,185.0,4.3,187.0,4.3,40.0,0.9,0.0,3.0,17.0,0.0,1.0,0.0,0.0,7.0,64,6.0,1.0,0.0,12,3,16.0,2017,TE,PIT,00-0032135,J.James,64,202
23.0,Julius Thomas (FA),97.8,7.0,41.0,62.0,10.5%,44.0,2.0,388,9.5,243.0,5.9,145.0,3.5,48.0,1.2,1.0,3.0,17.0,4.0,0.0,0.0,0.0,6.0,62,6.258064516129032,1.0,0.0,11,4,14.0,2017,TE,MIA,00-0028067,J.Thomas,62,145
24.0,David Njoku (CLE),94.7,5.9,32.0,60.0,10.6%,35.0,3.0,386,12.1,235.0,7.3,151.0,4.7,63.0,2.0,0.0,4.0,14.0,5.0,3.0,0.0,0.0,4.0,60,6.433333333333334,1.0,0.0,9,5,16.0,2017,TE,CLE,00-0033885,D.Njoku,60,151
25.0,Marcedes Lewis (FA),87.8,5.5,24.0,48.0,9.3%,27.0,3.0,318,13.3,155.0,6.5,163.0,6.8,60.0,2.5,2.0,5.0,14.0,3.0,2.0,0.0,0.0,5.0,56,6.053571428571429,0.9821428571428572,0.0,12,6,16.0,2017,TE,JAX,00-0024243,M.Lewis,55,172
