Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Red Zone Targets,routes_run,yprr,TPRR,Fumbles Lost,redzone_touches,goal_line_touches,Games Played (Advanced),Year,Position,posteam,player_id,player_name,targets,yac
"Overall fantasy ranking for the player","Player name","Total fantasy points scored","Average fantasy points per game","Receptions (advanced tracking)","Targets (advanced tracking)","Target share percentage","Catchable targets","Number of drops","Receiving yards (advanced tracking)","Yards per reception (advanced)","Yards before catch","Yards before catch per reception","Yards after catch (YAC)","Yards after catch per reception","Yards after contact","Yards after contact per reception","Broken tackles","Receiving touchdowns (basic)","Receptions of 10+ yards","Receptions of 20+ yards","Receptions of 30+ yards","Receptions of 40+ yards","Receptions of 50+ yards","Red zone targets","Routes run","Yards per route run (YPRR)","Targets per route run (TPRR)","Fumbles lost","Red zone touches","Goal line touches","Games played (advanced tracking)","Season year","Player position","Posteam","Unique player identifier","Player display name","Targets (raw count)","Yards after catch (raw count)"
1.0,Sam LaPorta (DET),239.3,14.1,86.0,120.0,20.9%,91.0,5.0,889,10.3,531.0,6.2,358.0,4.2,120.0,1.4,9.0,10.0,35.0,8.0,5.0,2.0,0.0,15.0,149.0,7.147651006711409,0.9865771812080536,0.0,24.0,9.0,17.0,2023,TE,DET,00-0039065,S.LaPorta,147.0,453.0
2.0,Evan Engram (DEN),230.3,13.5,114.0,143.0,23.6%,122.0,7.0,963,8.4,447.0,3.9,516.0,4.5,154.0,1.4,5.0,4.0,40.0,9.0,1.0,0.0,0.0,9.0,144.0,6.6875,0.9930555555555556,2.0,11.0,3.0,17.0,2023,TE,JAX,00-0033881,E.Engram,143.0,516.0
3.0,Travis Kelce (KC),219.4,14.6,93.0,121.0,20.2%,101.0,7.0,984,10.6,514.0,5.5,470.0,5.1,95.0,1.0,4.0,5.0,39.0,12.0,2.0,2.0,1.0,19.0,158.0,8.474683544303797,1.0,1.0,26.0,5.0,15.0,2023,TE,KC,00-0030506,T.Kelce,158.0,628.0
4.0,T.J. Hockenson (MIN),219.0,14.6,95.0,127.0,21.0%,99.0,4.0,960,10.1,624.0,6.6,336.0,3.5,115.0,1.2,4.0,5.0,40.0,13.0,0.0,0.0,0.0,10.0,127.0,7.559055118110236,1.0,1.0,14.0,6.0,15.0,2023,TE,MIN,00-0035229,T.Hockenson,127.0,336.0
5.0,George Kittle (SF),203.2,12.7,65.0,90.0,19.1%,71.0,4.0,"1,020",15.7,537.0,8.3,483.0,7.4,154.0,2.4,5.0,6.0,40.0,18.0,8.0,3.0,2.0,12.0,103.0,10.990291262135925,1.0,0.0,14.0,2.0,16.0,2023,TE,SF,00-0033288,G.Kittle,103.0,539.0
6.0,David Njoku (CLE),201.2,12.6,81.0,123.0,20.6%,93.0,11.0,882,10.9,283.0,3.5,599.0,7.4,271.0,3.3,10.0,6.0,29.0,12.0,7.0,2.0,0.0,17.0,134.0,7.276119402985074,1.0,2.0,20.0,7.0,16.0,2023,TE,CLE,00-0033885,D.Njoku,134.0,618.0
7.0,Trey McBride (ARI),181.5,10.7,81.0,106.0,19.6%,84.0,3.0,825,10.2,405.0,5.0,420.0,5.2,137.0,1.7,10.0,3.0,35.0,9.0,2.0,0.0,0.0,11.0,106.0,7.783018867924528,1.0,0.0,11.0,5.0,17.0,2023,TE,ARI,00-0037744,T.McBride,106.0,420.0
8.0,Cole Kmet (CHI),181.1,10.7,73.0,90.0,18.9%,75.0,1.0,719,9.8,429.0,5.9,290.0,4.0,101.0,1.4,4.0,6.0,25.0,9.0,2.0,2.0,1.0,15.0,90.0,7.988888888888889,1.0,0.0,16.0,5.0,17.0,2023,TE,CHI,00-0036290,C.Kmet,90.0,290.0
9.0,Jake Ferguson (DAL),177.1,10.4,71.0,102.0,16.9%,77.0,5.0,761,10.7,336.0,4.7,425.0,6.0,169.0,2.4,6.0,5.0,36.0,8.0,3.0,1.0,0.0,23.0,114.0,7.491228070175438,1.0,0.0,29.0,10.0,17.0,2023,TE,DAL,00-0038041,J.Ferguson,114.0,452.0
