Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Red Zone Targets,routes_run,yprr,TPRR,Fumbles Lost,redzone_touches,goal_line_touches,Games Played (Advanced),Year,Position,posteam,player_id,player_name,targets,yac
10.0,Martellus Bennett (FA),168.1,10.5,55.0,73.0,13.4%,109.0,2.0,701,12.7,285.0,5.2,416.0,7.6,165.0,3.0,7.0,7.0,28.0,5.0,5.0,1.0,1.0,4.0,88,9.079545454545457,1.0,0.0,15,5,16.0,2016,TE,NE,00-0026201,M.Bennett,88,467
11.0,Jason Witten (FA),152.3,9.5,69.0,95.0,19.8%,139.0,3.0,673,9.8,400.0,5.8,273.0,4.0,73.0,1.1,5.0,3.0,23.0,5.0,2.0,0.0,0.0,7.0,104,7.038461538461538,1.0,1.0,22,2,16.0,2016,TE,DAL,00-0022127,J.Witten,104,287
12.0,Antonio Gates (FA),147.8,10.6,53.0,93.0,16.5%,111.0,5.0,548,10.3,360.0,6.8,188.0,3.5,70.0,1.3,3.0,7.0,25.0,5.0,0.0,0.0,0.0,11.0,94,5.829787234042553,0.9893617021276596,1.0,23,6,14.0,2016,TE,LAC,00-0021547,A.Gates,93,188
13.0,Jack Doyle (FA),145.4,9.1,59.0,75.0,13.1%,117.0,3.0,584,9.9,338.0,5.7,246.0,4.2,70.0,1.2,3.0,5.0,27.0,5.0,0.0,0.0,0.0,5.0,75,7.786666666666667,1.0,1.0,13,2,16.0,2016,TE,IND,00-0030181,J.Doyle,75,246
14.0,Eric Ebron (FA),144.2,11.1,61.0,85.0,14.7%,126.0,4.0,711,11.7,428.0,7.0,283.0,4.6,88.0,1.4,2.0,1.0,31.0,7.0,2.0,1.0,1.0,3.0,91,8.065934065934066,1.0,0.0,7,1,13.0,2016,TE,DET,00-0031387,E.Ebron,91,295
15.0,Coby Fleener (FA),137.3,8.6,50.0,81.0,12.2%,105.0,4.0,631,12.6,419.0,8.4,212.0,4.2,51.0,1.0,1.0,3.0,20.0,6.0,6.0,1.0,1.0,12.0,82,7.695121951219512,0.9878048780487804,0.0,20,6,16.0,2016,TE,NO,00-0029697,C.Fleener,81,212
16.0,Charles Clay (FA),136.2,9.1,57.0,87.0,19.0%,119.0,7.0,552,9.7,360.0,6.3,192.0,3.4,90.0,1.6,2.0,4.0,21.0,2.0,2.0,1.0,0.0,8.0,87,6.344827586206897,1.0,0.0,14,1,15.0,2016,TE,BUF,00-0028112,C.Clay,87,192
17.0,C.J. Fiedorowicz (FA),133.9,8.9,54.0,89.0,15.4%,114.0,6.0,559,10.4,347.0,6.4,212.0,3.9,69.0,1.3,3.0,4.0,25.0,5.0,0.0,0.0,0.0,5.0,98,6.428571428571429,1.0,0.0,14,3,15.0,2016,TE,HOU,00-0031302,C.Fiedorowicz,98,235
18.0,Gary Barnidge (FA),130.2,8.1,55.0,82.0,14.7%,109.0,6.0,612,11.1,372.0,6.8,240.0,4.4,48.0,0.9,0.0,2.0,25.0,4.0,3.0,1.0,0.0,5.0,83,7.373493975903615,0.9879518072289156,0.0,6,3,16.0,2016,TE,CLE,00-0026281,G.Barnidge,82,240
19.0,Hunter Henry (NE),129.8,8.7,36.0,53.0,9.4%,74.0,1.0,478,13.3,284.0,7.9,194.0,5.4,60.0,1.7,2.0,8.0,21.0,5.0,2.0,1.0,1.0,9.0,54,8.851851851851851,0.9814814814814816,1.0,18,3,15.0,2016,TE,LAC,00-0033090,H.Henry,53,194
20.0,Zach Miller (FA),119.6,12.0,47.0,64.0,11.6%,88.0,0.0,486,10.3,265.0,5.6,221.0,4.7,94.0,2.0,4.0,4.0,20.0,4.0,1.0,0.0,0.0,5.0,64,7.59375,1.0,0.0,8,2,10.0,2016,TE,CHI,00-0027125,Z.Miller,64,221
21.0,Vernon Davis (FA),114.3,7.1,44.0,59.0,9.9%,90.0,1.0,583,13.3,345.0,7.8,238.0,5.4,85.0,1.9,3.0,2.0,22.0,6.0,5.0,1.0,0.0,3.0,59,9.847457627118644,1.0,0.0,7,1,16.0,2016,TE,WAS,00-0024221,V.Davis,59,236
22.0,Dwayne Allen (FA),113.6,8.1,35.0,52.0,9.1%,72.0,2.0,406,11.6,288.0,8.2,118.0,3.4,26.0,0.7,0.0,6.0,22.0,4.0,0.0,0.0,0.0,4.0,53,7.660377358490566,0.981132075471698,0.0,10,4,14.0,2016,TE,IND,00-0029689,D.Allen,52,118
23.0,Lance Kendricks (FA),109.9,6.9,50.0,87.0,16.4%,105.0,7.0,499,10.0,223.0,4.5,276.0,5.5,119.0,2.4,3.0,2.0,20.0,6.0,1.0,1.0,0.0,3.0,87,5.735632183908046,1.0,1.0,6,2,16.0,2016,TE,LA,00-0027985,L.Kendricks,87,276
24.0,Ryan Griffin (FA),104.2,6.5,50.0,74.0,12.8%,105.0,6.0,442,8.8,274.0,5.5,168.0,3.4,47.0,0.9,2.0,2.0,15.0,3.0,1.0,1.0,0.0,3.0,81,5.814814814814815,1.0,1.0,2,1,16.0,2016,TE,HOU,00-0029665,R.Griffin,81,178
25.0,Tyler Eifert (FA),98.4,12.3,29.0,47.0,8.7%,58.0,1.0,394,13.6,262.0,9.0,132.0,4.6,32.0,1.1,0.0,5.0,18.0,5.0,1.0,1.0,1.0,5.0,47,8.382978723404255,1.0,0.0,11,5,8.0,2016,TE,CIN,00-0030549,T.Eifert,47,132
