Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Red Zone Targets,routes_run,yprr,TPRR,Fumbles Lost,redzone_touches,goal_line_touches,Games Played (Advanced),Year,Position,posteam,player_id,player_name,targets,yac
"Overall fantasy ranking for the player","Player name","Total fantasy points scored","Average fantasy points per game","Receptions (advanced tracking)","Targets (advanced tracking)","Target share percentage","Catchable targets","Number of drops","Receiving yards (advanced tracking)","Yards per reception (advanced)","Yards before catch","Yards before catch per reception","Yards after catch (YAC)","Yards after catch per reception","Yards after contact","Yards after contact per reception","Broken tackles","Receiving touchdowns (basic)","Receptions of 10+ yards","Receptions of 20+ yards","Receptions of 30+ yards","Receptions of 40+ yards","Receptions of 50+ yards","Red zone targets","Routes run","Yards per route run (YPRR)","Targets per route run (TPRR)","Fumbles lost","Red zone touches","Goal line touches","Games played (advanced tracking)","Season year","Player position","Posteam","Unique player identifier","Player display name","Targets (raw count)","Yards after catch (raw count)"
1.0,Travis Kelce (KC),223.0,13.9,85.0,117.0,21.8%,174.0,10.0,"1,125",13.2,492.0,5.8,633.0,7.4,167.0,2.0,8.0,4.0,48.0,9.0,5.0,3.0,1.0,6.0,125,9.616,0.992,0.0,21,5,16.0,2016,TE,KC,00-0030506,T.Kelce,124,672
2.0,Kyle Rudolph (FA),209.0,13.1,83.0,132.0,22.6%,168.0,6.0,840,10.1,481.0,5.8,359.0,4.3,101.0,1.2,5.0,7.0,34.0,10.0,1.0,1.0,0.0,12.0,133,6.315789473684211,0.9924812030075189,0.0,26,8,16.0,2016,TE,MIN,00-0027981,K.Rudolph,132,359
3.0,Greg Olsen (FA),207.3,13.0,80.0,129.0,23.3%,166.0,4.0,"1,073",13.4,721.0,9.0,352.0,4.4,75.0,0.9,0.0,3.0,49.0,9.0,5.0,1.0,1.0,7.0,132,8.128787878787879,0.9772727272727272,0.0,19,7,16.0,2016,TE,CAR,00-0025418,G.Olsen,129,352
4.0,Jimmy Graham (FA),189.3,11.8,65.0,95.0,17.3%,129.0,2.0,923,14.2,598.0,9.2,325.0,5.0,113.0,1.7,6.0,6.0,45.0,5.0,5.0,2.0,0.0,7.0,102,9.627450980392156,1.0,2.0,22,2,16.0,2016,TE,SEA,00-0027696,J.Graham,102,346
5.0,Delanie Walker (FA),188.1,12.5,65.0,102.0,20.8%,133.0,5.0,800,12.3,529.0,8.1,271.0,4.2,99.0,1.5,3.0,7.0,30.0,8.0,5.0,2.0,0.0,10.0,102,7.84313725490196,1.0,0.0,18,2,15.0,2016,TE,TEN,00-0024389,D.Walker,102,271
6.0,Zach Ertz (WAS),183.6,13.1,78.0,106.0,17.5%,159.0,4.0,816,10.5,553.0,7.1,263.0,3.4,65.0,0.8,2.0,4.0,35.0,8.0,1.0,0.0,0.0,7.0,106,7.69811320754717,1.0,0.0,17,3,14.0,2016,TE,PHI,00-0030061,Z.Ertz,106,263
7.0,Cameron Brate (FA),171.0,11.4,57.0,81.0,14.2%,109.0,0.0,660,11.6,524.0,9.2,136.0,2.4,49.0,0.9,1.0,8.0,34.0,3.0,2.0,0.0,0.0,12.0,81,8.148148148148149,1.0,0.0,17,4,15.0,2016,TE,TB,00-0031273,C.Brate,81,136
8.0,Dennis Pitta (FA),168.9,10.6,86.0,121.0,18.2%,175.0,6.0,729,8.5,434.0,5.0,295.0,3.4,81.0,0.9,3.0,2.0,27.0,3.0,1.0,0.0,0.0,4.0,121,6.024793388429752,1.0,1.0,13,1,16.0,2016,TE,BAL,00-0027714,D.Pitta,121,295
9.0,Jordan Reed (FA),168.6,14.1,66.0,89.0,15.0%,132.0,3.0,686,10.4,422.0,6.4,264.0,4.0,89.0,1.3,2.0,6.0,28.0,8.0,1.0,0.0,0.0,6.0,90,7.622222222222222,0.9888888888888888,1.0,15,4,12.0,2016,TE,WAS,00-0030472,J.Reed,89,264
