Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Red Zone Targets,routes_run,yprr,TPRR,Fumbles Lost,redzone_touches,goal_line_touches,Games Played (Advanced),Year,Position,posteam,player_id,player_name,targets,yac
"Overall fantasy ranking for the player","Player name","Total fantasy points scored","Average fantasy points per game","Receptions (advanced tracking)","Targets (advanced tracking)","Target share percentage","Catchable targets","Number of drops","Receiving yards (advanced tracking)","Yards per reception (advanced)","Yards before catch","Yards before catch per reception","Yards after catch (YAC)","Yards after catch per reception","Yards after contact","Yards after contact per reception","Broken tackles","Receiving touchdowns (basic)","Receptions of 10+ yards","Receptions of 20+ yards","Receptions of 30+ yards","Receptions of 40+ yards","Receptions of 50+ yards","Red zone targets","Routes run","Yards per route run (YPRR)","Targets per route run (TPRR)","Fumbles lost","Red zone touches","Goal line touches","Games played (advanced tracking)","Season year","Player position","Posteam","Unique player identifier","Player display name","Targets (raw count)","Yards after catch (raw count)"
1.0,Brock Bowers (LV),262.7,15.5,112.0,153.0,25.8%,118.0,6.0,"1,194",10.7,598.0,5.3,596.0,5.3,169.0,1.5,6.0,5.0,49.0,15.0,3.0,1.0,1.0,14.0,153.0,7.803921568627451,1.0,0.0,16.0,5.0,17.0,2024,TE,LV,00-0039338,B.Bowers,153.0,596.0
2.0,Trey McBride (ARI),249.8,15.6,111.0,147.0,28.1%,114.0,3.0,"1,146",10.3,633.0,5.7,513.0,4.6,167.0,1.5,5.0,2.0,47.0,10.0,2.0,0.0,0.0,20.0,147.0,7.795918367346939,1.0,0.0,23.0,9.0,16.0,2024,TE,ARI,00-0037744,T.McBride,147.0,513.0
3.0,George Kittle (SF),236.6,15.8,78.0,94.0,18.3%,80.0,2.0,"1,106",14.2,584.0,7.5,522.0,6.7,187.0,2.4,4.0,8.0,45.0,21.0,9.0,2.0,0.0,19.0,94.0,11.76595744680851,1.0,0.0,21.0,6.0,15.0,2024,TE,SF,00-0033288,G.Kittle,94.0,522.0
4.0,Jonnu Smith (PIT),222.3,13.1,88.0,111.0,19.5%,94.0,6.0,884,10.0,374.0,4.3,510.0,5.8,136.0,1.5,8.0,8.0,45.0,4.0,2.0,1.0,1.0,18.0,111.0,7.963963963963964,1.0,1.0,19.0,5.0,17.0,2024,TE,MIA,00-0033858,J.Smith,111.0,510.0
5.0,Travis Kelce (KC),195.4,12.2,97.0,133.0,23.3%,103.0,6.0,823,8.5,482.0,5.0,341.0,3.5,98.0,1.0,3.0,3.0,28.0,9.0,1.0,0.0,0.0,25.0,153.0,6.522875816993464,0.9869281045751634,1.0,31.0,7.0,16.0,2024,TE,KC,00-0030506,T.Kelce,151.0,426.0
6.0,Mark Andrews (BAL),188.8,11.1,55.0,69.0,15.1%,59.0,4.0,673,12.2,485.0,8.8,188.0,3.4,89.0,1.6,1.0,11.0,31.0,6.0,3.0,1.0,1.0,15.0,80.0,9.5125,0.9875,0.0,19.0,3.0,17.0,2024,TE,BAL,00-0034753,M.Andrews,79.0,220.0
7.0,Zach Ertz (WAS),177.4,10.4,66.0,91.0,18.1%,70.0,4.0,654,9.9,467.0,7.1,187.0,2.8,65.0,1.0,0.0,7.0,28.0,7.0,1.0,0.0,0.0,21.0,118.0,6.8559322033898304,0.9830508474576272,0.0,27.0,13.0,17.0,2024,TE,WAS,00-0030061,Z.Ertz,116.0,226.0
8.0,Sam LaPorta (DET),174.6,10.9,60.0,83.0,15.9%,61.0,1.0,726,12.1,383.0,6.4,343.0,5.7,118.0,2.0,3.0,7.0,30.0,11.0,4.0,1.0,1.0,17.0,90.0,8.633333333333333,1.0,0.0,21.0,4.0,16.0,2024,TE,DET,00-0039065,S.LaPorta,90.0,365.0
9.0,Pat Freiermuth (PIT),168.3,9.9,65.0,78.0,17.0%,68.0,4.0,653,10.0,374.0,5.8,279.0,4.3,97.0,1.5,4.0,7.0,24.0,7.0,1.0,0.0,0.0,12.0,82.0,8.170731707317072,1.0,2.0,14.0,1.0,17.0,2024,TE,PIT,00-0036894,P.Freiermuth,82.0,286.0
