Position,Num_Original_Features,Num_PCA_Components,R2,RMSE,CV_R2

QB,7,4,0.864380786961033,30.071284105426166,0.8259169247174636

RB,10,5,0.9148263163267035,20.707505169832547,0.9310667596481034

WR,7,5,0.7867637741544827,29.520232187371427,0.7109953652747713

TE,7,4,0.9012043149785519,13.488159474367166,0.902091238760482
