Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,relevent_snaps_played
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Number of fumbles lost,Games played (advanced tracking),Player position,Unique player identifier,Season year,Yards per rushing attempt (basic),Rushing touchdowns (basic),Yards per reception (basic),Receiving touchdowns (basic),Rostered percentage,Rushing attempts (advanced),Rushing yards (advanced),Yards before contact,Yards before contact per attempt,Yards after contact,Yards after contact per attempt,Broken tackles,Tackles for loss,Tackles for loss yards,Longest touchdown run,Runs of 10+ yards,Runs of 20+ yards (advanced),Runs of 30+ yards,Runs of 40+ yards,Runs of 50+ yards,Receptions (advanced),Targets (advanced),Red zone targets,Yards after contact (advanced),Yards after catch (YAC),Red zone touches,Goal line touches,0.0
1.0,Jonathan Taylor (IND),373.1,21.9,2.0,17.0,RB,00-0036096,2021,5.5,18.0,9.0,2.0,99.7%,332.0,"1,811",865.0,2.6,946.0,2.8,25.0,32.0,-59.0,78.0,50.0,14.0,8.0,5.0,3.0,40.0,51.0,2.0,93.0,10.0,5.0,3.0,383.0
2.0,Austin Ekeler (WAS),343.8,21.5,3.0,16.0,RB,00-0033699,2021,4.4,12.0,9.2,8.0,79.1%,206.0,911,476.0,2.3,435.0,2.1,13.0,16.0,-31.0,14.0,22.0,3.0,0.0,0.0,0.0,70.0,94.0,16.0,172.0,627.0,67.0,20.0,300.0
3.0,Najee Harris (LAC),300.7,17.7,0.0,17.0,RB,00-0036893,2021,3.9,7.0,6.3,3.0,66.8%,307.0,"1,200",525.0,1.7,675.0,2.2,30.0,26.0,-50.0,37.0,28.0,6.0,2.0,0.0,0.0,74.0,94.0,14.0,219.0,508.0,43.0,14.0,401.0
4.0,Joe Mixon (HOU),287.9,18.0,1.0,16.0,RB,00-0033897,2021,4.1,13.0,7.5,3.0,97.1%,292.0,"1,205",655.0,2.2,550.0,1.9,20.0,24.0,-49.0,21.0,26.0,6.0,1.0,0.0,0.0,42.0,48.0,7.0,55.0,446.0,68.0,20.0,340.0
5.0,James Conner (ARI),257.7,17.2,0.0,15.0,RB,00-0033553,2021,3.7,15.0,10.1,3.0,95.0%,202.0,752,331.0,1.6,421.0,2.1,19.0,14.0,-36.0,18.0,15.0,3.0,1.0,0.0,0.0,37.0,39.0,1.0,145.0,379.0,46.0,19.0,241.0
6.0,Leonard Fournette (FA),255.6,18.3,0.0,14.0,RB,00-0033856,2021,4.5,8.0,6.6,2.0,0.0%,180.0,812,396.0,2.2,416.0,2.3,11.0,12.0,-18.0,47.0,15.0,5.0,1.0,1.0,0.0,69.0,84.0,15.0,163.0,513.0,62.0,18.0,264.0
7.0,Ezekiel Elliott (FA),252.1,14.8,1.0,17.0,RB,00-0033045,2021,4.2,10.0,6.1,2.0,0.1%,237.0,"1,002",592.0,2.5,410.0,1.7,9.0,16.0,-22.0,13.0,24.0,3.0,1.0,1.0,0.0,47.0,65.0,14.0,66.0,304.0,59.0,21.0,302.0
8.0,Alvin Kamara (NO),234.7,18.1,0.0,13.0,RB,00-0033906,2021,3.7,4.0,9.3,5.0,97.2%,240.0,898,549.0,2.3,349.0,1.5,22.0,28.0,-54.0,23.0,21.0,3.0,1.0,0.0,0.0,47.0,67.0,12.0,87.0,437.0,56.0,13.0,307.0
9.0,Cordarrelle Patterson (FA),234.6,14.7,0.0,16.0,RB,00-0030578,2021,4.0,6.0,10.5,5.0,0.4%,153.0,618,325.0,2.1,293.0,1.9,7.0,10.0,-20.0,12.0,20.0,2.0,1.0,0.0,0.0,52.0,69.0,12.0,170.0,385.0,45.0,8.0,222.0
