Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,relevent_snaps_played
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Number of fumbles lost,Games played (advanced tracking),Player position,Unique player identifier,Season year,Yards per rushing attempt (basic),Rushing touchdowns (basic),Yards per reception (basic),Receiving touchdowns (basic),Rostered percentage,Rushing attempts (advanced),Rushing yards (advanced),Yards before contact,Yards before contact per attempt,Yards after contact,Yards after contact per attempt,Broken tackles,Tackles for loss,Tackles for loss yards,Longest touchdown run,Runs of 10+ yards,Runs of 20+ yards (advanced),Runs of 30+ yards,Runs of 40+ yards,Runs of 50+ yards,Receptions (advanced),Targets (advanced),Red zone targets,Yards after contact (advanced),Yards after catch (YAC),Red zone touches,Goal line touches,0.0
1.0,Jahmyr Gibbs (DET),362.9,21.3,1.0,17.0,RB,00-0039139,2024,5.6,16.0,9.9,4.0,99.9%,250.0,"1,412",813,3.3,599.0,2.4,21.0,19.0,-58.0,70.0,42.0,13.0,4.0,3.0,1.0,52.0,63.0,11.0,88.0,603.0,74.0,19.0,313.0
2.0,Saquon Barkley (PHI),355.3,22.2,1.0,16.0,RB,00-0034844,2024,5.8,13.0,8.4,2.0,99.9%,345.0,"2,005","1,328",3.8,677.0,2.0,19.0,33.0,-80.0,72.0,46.0,17.0,10.0,7.0,6.0,33.0,43.0,9.0,130.0,337.0,90.0,27.0,388.0
3.0,Bijan Robinson (ATL),341.7,20.1,0.0,17.0,RB,00-0037746,2024,4.8,14.0,7.1,1.0,99.9%,304.0,"1,456",728,2.4,728.0,2.4,23.0,23.0,-66.0,37.0,34.0,5.0,1.0,0.0,0.0,61.0,72.0,7.0,125.0,207.0,55.0,20.0,376.0
4.0,Derrick Henry (BAL),336.4,19.8,1.0,17.0,RB,00-0032764,2024,5.9,16.0,10.2,2.0,99.8%,325.0,"1,921","1,011",3.1,910.0,2.8,42.0,26.0,-55.0,87.0,45.0,19.0,9.0,5.0,3.0,19.0,22.0,5.0,85.0,216.0,67.0,23.0,347.0
5.0,De'Von Achane (MIA),299.9,17.6,0.0,17.0,RB,00-0039040,2024,4.5,6.0,7.6,6.0,99.7%,203.0,907,486,2.4,421.0,2.1,7.0,36.0,-73.0,50.0,21.0,5.0,4.0,3.0,2.0,78.0,87.0,14.0,112.0,665.0,52.0,18.0,290.0
6.0,Josh Jacobs (GB),293.1,17.2,3.0,17.0,RB,00-0035700,2024,4.4,15.0,9.5,1.0,99.7%,301.0,"1,329",592,2.0,737.0,2.4,35.0,28.0,-45.0,38.0,33.0,7.0,4.0,0.0,0.0,36.0,43.0,4.0,142.0,437.0,67.0,26.0,344.0
7.0,Kyren Williams (LAR),272.1,17.0,3.0,16.0,RB,00-0037840,2024,4.1,14.0,5.4,2.0,99.0%,316.0,"1,299",693,2.2,606.0,1.9,27.0,28.0,-55.0,13.0,27.0,2.0,1.0,0.0,0.0,34.0,40.0,8.0,53.0,216.0,85.0,24.0,356.0
8.0,James Cook (BUF),266.7,16.7,0.0,16.0,RB,00-0037248,2024,4.9,16.0,8.1,2.0,99.0%,207.0,"1,009",530,2.6,479.0,2.3,14.0,21.0,-37.0,65.0,21.0,6.0,4.0,4.0,1.0,32.0,38.0,3.0,43.0,336.0,69.0,20.0,245.0
9.0,Alvin Kamara (NO),265.3,19.0,0.0,14.0,RB,00-0033906,2024,4.2,6.0,8.0,2.0,97.2%,228.0,950,548,2.4,402.0,1.8,13.0,29.0,-65.0,12.0,25.0,3.0,0.0,0.0,0.0,68.0,89.0,5.0,118.0,542.0,41.0,11.0,317.0
