Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,relevent_snaps_played
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Number of fumbles lost,Games played (advanced tracking),Player position,Unique player identifier,Season year,Yards per rushing attempt (basic),Rushing touchdowns (basic),Yards per reception (basic),Receiving touchdowns (basic),Rostered percentage,Rushing attempts (advanced),Rushing yards (advanced),Yards before contact,Yards before contact per attempt,Yards after contact,Yards after contact per attempt,Broken tackles,Tackles for loss,Tackles for loss yards,Longest touchdown run,Runs of 10+ yards,Runs of 20+ yards (advanced),Runs of 30+ yards,Runs of 40+ yards,Runs of 50+ yards,Receptions (advanced),Targets (advanced),Red zone targets,Yards after contact (advanced),Yards after catch (YAC),Red zone touches,Goal line touches,0.0
18.0,Carlos Hyde (FA),192.1,14.8,3.0,13.0,RB,00-0031045,2016,4.6,6.0,6.0,3.0,0.0%,217.0,988,523.0,2.4,465.0,2.1,12.0,27.0,-46.0,11.0,26.0,7.0,4.0,2.0,0.0,27.0,33.0,3.0,32.0,145.0,40.0,7.0,250.0
19.0,Lamar Miller (FA),191.1,13.7,1.0,14.0,RB,00-0029615,2016,4.0,5.0,6.1,1.0,0.0%,268.0,"1,073",589.0,2.2,484.0,1.8,12.0,21.0,-52.0,2.0,24.0,7.0,2.0,1.0,0.0,31.0,39.0,2.0,34.0,188.0,45.0,11.0,307.0
20.0,Tevin Coleman (FA),191.1,14.7,0.0,13.0,RB,00-0032058,2016,4.4,8.0,13.6,3.0,0.0%,118.0,520,303.0,2.6,217.0,1.8,3.0,11.0,-32.0,55.0,10.0,5.0,2.0,1.0,1.0,31.0,40.0,4.0,100.0,402.0,43.0,8.0,158.0
21.0,Matt Forte (FA),183.6,13.1,1.0,14.0,RB,00-0026184,2016,3.7,7.0,8.8,1.0,0.1%,218.0,813,451.0,2.1,362.0,1.7,7.0,23.0,-44.0,31.0,18.0,5.0,2.0,0.0,0.0,30.0,43.0,1.0,122.0,275.0,37.0,13.0,261.0
22.0,Jeremy Hill (FA),176.3,11.8,0.0,15.0,RB,00-0030216,2016,3.8,9.0,8.3,0.0,0.0%,222.0,839,366.0,1.6,473.0,2.1,9.0,21.0,-53.0,74.0,13.0,5.0,3.0,3.0,2.0,21.0,27.0,0.0,34.0,77.0,3.0,0.0,249.0
23.0,Terrance West (FA),171.0,10.7,0.0,16.0,RB,00-0031375,2016,4.0,5.0,6.9,1.0,0.0%,193.0,774,336.0,1.7,438.0,2.3,5.0,21.0,-48.0,18.0,19.0,5.0,3.0,1.0,0.0,34.0,45.0,4.0,49.0,234.0,39.0,11.0,238.0
24.0,Darren Sproles (FA),162.5,10.8,0.0,15.0,RB,00-0023564,2016,4.7,2.0,8.2,2.0,0.1%,94.0,438,198.0,2.1,240.0,2.6,8.0,12.0,-27.0,25.0,14.0,1.0,0.0,0.0,0.0,52.0,71.0,5.0,81.0,407.0,31.0,4.0,165.0
25.0,Theo Riddick (FA),161.8,16.2,0.0,10.0,RB,00-0030107,2016,3.9,1.0,7.0,5.0,0.0%,92.0,357,117.0,1.3,240.0,2.6,4.0,17.0,-37.0,21.0,11.0,2.0,1.0,1.0,0.0,53.0,67.0,8.0,128.0,385.0,22.0,5.0,159.0
26.0,James White (FA),161.7,10.1,0.0,16.0,RB,00-0031062,2016,4.3,0.0,9.2,5.0,0.1%,39.0,166,112.0,2.9,54.0,1.4,4.0,3.0,-7.0,0.0,2.0,0.0,0.0,0.0,0.0,60.0,86.0,3.0,111.0,601.0,23.0,8.0,125.0
27.0,Jerick McKinnon (FA),148.4,9.9,0.0,15.0,RB,00-0031376,2016,3.4,2.0,5.9,2.0,0.0%,159.0,539,326.0,2.1,213.0,1.3,9.0,23.0,-51.0,10.0,11.0,2.0,1.0,0.0,0.0,43.0,53.0,2.0,61.0,271.0,31.0,6.0,212.0
28.0,Chris Thompson (FA),147.5,9.2,1.0,16.0,RB,00-0030404,2016,5.2,3.0,7.1,2.0,0.0%,68.0,356,158.0,2.3,198.0,2.9,2.0,3.0,-10.0,25.0,9.0,2.0,0.0,0.0,0.0,49.0,62.0,3.0,79.0,252.0,16.0,5.0,130.0
29.0,Jonathan Stewart (FA),146.4,11.3,2.0,13.0,RB,00-0026153,2016,3.8,9.0,7.5,0.0,0.0%,218.0,824,360.0,1.7,464.0,2.1,15.0,23.0,-55.0,3.0,21.0,6.0,2.0,1.0,0.0,8.0,21.0,2.0,25.0,74.0,43.0,16.0,239.0
30.0,Ryan Mathews (FA),144.6,11.1,2.0,13.0,RB,00-0027864,2016,4.3,8.0,8.8,1.0,0.0%,155.0,661,281.0,1.8,380.0,2.5,5.0,18.0,-40.0,8.0,18.0,6.0,1.0,0.0,0.0,13.0,14.0,2.0,37.0,107.0,42.0,20.0,169.0
32.0,Devontae Booker (FA),142.7,8.9,3.0,16.0,RB,00-0032972,2016,3.5,4.0,8.5,1.0,0.0%,174.0,612,262.0,1.5,350.0,2.0,5.0,16.0,-30.0,11.0,16.0,0.0,0.0,0.0,0.0,31.0,45.0,3.0,64.0,253.0,35.0,6.0,219.0
34.0,Rashad Jennings (FA),138.4,10.6,0.0,13.0,RB,00-0027155,2016,3.3,3.0,5.7,1.0,0.0%,181.0,593,271.0,1.5,322.0,1.8,6.0,19.0,-41.0,2.0,12.0,3.0,0.0,0.0,0.0,35.0,42.0,1.0,82.0,271.0,20.0,7.0,223.0
35.0,T.J. Yeldon (FA),137.7,9.2,1.0,15.0,RB,00-0032209,2016,3.6,1.0,6.2,1.0,0.0%,130.0,465,237.0,1.8,228.0,1.8,5.0,17.0,-33.0,5.0,11.0,0.0,0.0,0.0,0.0,50.0,68.0,4.0,106.0,346.0,18.0,2.0,198.0
36.0,Christine Michael (FA),137.0,9.1,1.0,15.0,RB,00-0030432,2016,3.9,7.0,4.9,1.0,0.0%,148.0,583,323.0,2.2,260.0,1.8,10.0,20.0,-39.0,42.0,14.0,3.0,2.0,2.0,0.0,22.0,29.0,1.0,24.0,125.0,28.0,10.0,177.0
