Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,relevent_snaps_played
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Number of fumbles lost,Games played (advanced tracking),Player position,Unique player identifier,Season year,Yards per rushing attempt (basic),Rushing touchdowns (basic),Yards per reception (basic),Receiving touchdowns (basic),Rostered percentage,Rushing attempts (advanced),Rushing yards (advanced),Yards before contact,Yards before contact per attempt,Yards after contact,Yards after contact per attempt,Broken tackles,Tackles for loss,Tackles for loss yards,Longest touchdown run,Runs of 10+ yards,Runs of 20+ yards (advanced),Runs of 30+ yards,Runs of 40+ yards,Runs of 50+ yards,Receptions (advanced),Targets (advanced),Red zone targets,Yards after contact (advanced),Yards after catch (YAC),Red zone touches,Goal line touches,0.0
1.0,Christian McCaffrey (SF),471.2,29.5,0.0,16.0,RB,00-0033280,2019,4.8,15.0,8.7,4.0,99.8%,287.0,"1,387",874.0,3.0,513.0,1.8,16.0,27.0,-51.0,84.0,31.0,6.0,5.0,4.0,3.0,116.0,142.0,14.0,235.0,987.0,71.0,24.0,429.0
2.0,Aaron Jones Sr. (MIN),314.8,19.7,2.0,16.0,RB,,2019,4.6,16.0,9.7,3.0,89.3%,236.0,"1,084",569.0,2.4,515.0,2.2,32.0,19.0,-50.0,56.0,25.0,5.0,2.0,2.0,1.0,49.0,68.0,12.0,119.0,,,,304.0
3.0,Ezekiel Elliott (FA),311.7,19.5,2.0,16.0,RB,00-0033045,2019,4.5,12.0,7.8,2.0,0.1%,301.0,"1,357",678.0,2.3,679.0,2.3,24.0,19.0,-41.0,33.0,38.0,4.0,3.0,0.0,0.0,54.0,71.0,11.0,92.0,395.0,73.0,18.0,372.0
4.0,Austin Ekeler (WAS),309.0,19.3,2.0,16.0,RB,00-0033699,2019,4.2,3.0,10.8,8.0,79.1%,132.0,557,233.0,1.8,324.0,2.5,12.0,12.0,-19.0,7.0,15.0,4.0,1.0,0.0,0.0,92.0,108.0,13.0,214.0,940.0,30.0,13.0,240.0
5.0,Derrick Henry (BAL),294.6,19.6,3.0,15.0,RB,00-0032764,2019,5.1,16.0,11.4,2.0,99.8%,303.0,"1,540",572.0,1.9,968.0,3.2,29.0,32.0,-53.0,74.0,42.0,9.0,5.0,3.0,3.0,18.0,24.0,1.0,43.0,275.0,61.0,17.0,327.0
6.0,Dalvin Cook (FA),292.4,20.9,2.0,14.0,RB,00-0033893,2019,4.5,13.0,9.8,0.0,0.1%,250.0,"1,135",539.0,2.2,596.0,2.4,20.0,19.0,-35.0,75.0,25.0,7.0,2.0,2.0,1.0,53.0,63.0,2.0,206.0,639.0,58.0,27.0,313.0
7.0,Leonard Fournette (FA),259.4,17.3,1.0,15.0,RB,00-0033856,2019,4.3,3.0,6.9,0.0,0.0%,265.0,"1,152",360.0,1.4,792.0,3.0,16.0,26.0,-68.0,1.0,31.0,7.0,4.0,4.0,3.0,76.0,100.0,9.0,179.0,557.0,58.0,10.0,365.0
8.0,Nick Chubb (HOU),255.2,16.0,3.0,16.0,RB,00-0034791,2019,5.0,8.0,7.7,0.0,28.7%,298.0,"1,494",612.0,2.1,882.0,3.0,32.0,31.0,-72.0,88.0,39.0,11.0,6.0,4.0,3.0,36.0,49.0,4.0,90.0,318.0,55.0,17.0,347.0
9.0,Alvin Kamara (NO),248.5,17.8,1.0,14.0,RB,00-0033906,2019,4.7,5.0,6.6,1.0,97.2%,171.0,797,396.0,2.3,401.0,2.3,29.0,14.0,-36.0,40.0,19.0,5.0,2.0,1.0,0.0,81.0,97.0,11.0,152.0,593.0,41.0,9.0,268.0
10.0,Saquon Barkley (PHI),244.1,18.8,0.0,13.0,RB,00-0034844,2019,4.6,6.0,8.4,2.0,99.9%,217.0,"1,003",398.0,1.8,605.0,2.8,16.0,29.0,-74.0,68.0,27.0,8.0,4.0,3.0,3.0,52.0,73.0,7.0,117.0,438.0,39.0,10.0,290.0
12.0,Chris Carson (FA),232.6,15.5,4.0,15.0,RB,00-0033594,2019,4.4,7.0,7.2,2.0,0.3%,278.0,"1,230",496.0,1.8,734.0,2.6,28.0,31.0,-62.0,16.0,32.0,8.0,1.0,1.0,1.0,37.0,47.0,2.0,82.0,317.0,43.0,10.0,325.0
13.0,Joe Mixon (HOU),225.4,14.1,0.0,16.0,RB,00-0033897,2019,4.1,5.0,8.2,3.0,97.1%,278.0,"1,137",492.0,1.8,645.0,2.3,24.0,30.0,-56.0,5.0,29.0,6.0,2.0,1.0,0.0,35.0,45.0,7.0,88.0,331.0,48.0,21.0,323.0
15.0,Miles Sanders (DAL),218.7,13.7,1.0,16.0,RB,00-0035243,2019,4.6,3.0,10.2,3.0,1.6%,179.0,818,445.0,2.5,373.0,2.1,16.0,19.0,-40.0,65.0,16.0,5.0,4.0,2.0,2.0,50.0,63.0,10.0,68.0,427.0,42.0,7.0,242.0
16.0,Le'Veon Bell (FA),215.0,14.3,1.0,15.0,RB,00-0030496,2019,3.2,3.0,7.0,1.0,0.2%,245.0,789,287.0,1.2,502.0,2.0,16.0,22.0,-58.0,2.0,12.0,0.0,0.0,0.0,0.0,66.0,78.0,9.0,152.0,440.0,31.0,8.0,323.0
17.0,Kenyan Drake (FA),214.2,15.3,1.0,14.0,RB,00-0033118,2019,4.8,8.0,6.9,0.0,0.0%,170.0,817,479.0,2.8,338.0,2.0,12.0,17.0,-27.0,80.0,22.0,4.0,2.0,1.0,1.0,50.0,68.0,5.0,80.0,424.0,29.0,10.0,238.0
18.0,James White (FA),200.2,13.3,1.0,15.0,RB,00-0031062,2019,3.9,1.0,9.0,5.0,0.1%,67.0,263,165.0,2.5,98.0,1.5,3.0,9.0,-17.0,1.0,4.0,1.0,1.0,0.0,0.0,72.0,95.0,19.0,97.0,594.0,36.0,8.0,162.0
19.0,Phillip Lindsay (FA),197.7,12.4,0.0,16.0,RB,00-0034109,2019,4.5,7.0,5.6,0.0,0.0%,224.0,"1,011",603.0,2.7,408.0,1.8,29.0,20.0,-39.0,30.0,22.0,7.0,4.0,1.0,0.0,35.0,48.0,5.0,75.0,243.0,37.0,10.0,272.0
20.0,Devonta Freeman (FA),197.6,14.1,2.0,14.0,RB,00-0031285,2019,3.6,2.0,6.9,4.0,0.0%,184.0,656,363.0,2.0,293.0,1.6,11.0,26.0,-54.0,17.0,15.0,3.0,0.0,0.0,0.0,59.0,70.0,10.0,73.0,344.0,32.0,2.0,254.0
21.0,Josh Jacobs (GB),191.6,14.7,1.0,13.0,RB,00-0035700,2019,4.8,7.0,8.3,0.0,99.7%,242.0,"1,150",467.0,1.9,683.0,2.8,26.0,16.0,-36.0,18.0,25.0,8.0,3.0,2.0,1.0,20.0,27.0,2.0,65.0,183.0,45.0,12.0,269.0
22.0,Marlon Mack (FA),181.3,13.0,0.0,14.0,RB,00-0033951,2019,4.4,8.0,5.9,0.0,0.0%,247.0,"1,091",591.0,2.4,500.0,2.0,12.0,32.0,-83.0,63.0,28.0,9.0,3.0,1.0,1.0,14.0,17.0,1.0,17.0,80.0,39.0,10.0,264.0
24.0,David Montgomery (DET),170.4,10.7,2.0,16.0,RB,00-0035685,2019,3.7,6.0,7.4,1.0,93.9%,242.0,889,496.0,2.0,393.0,1.6,28.0,13.0,-21.0,14.0,16.0,3.0,1.0,1.0,1.0,25.0,35.0,2.0,42.0,156.0,35.0,19.0,277.0
26.0,Raheem Mostert (LV),165.2,10.3,2.0,16.0,RB,00-0031687,2019,5.6,8.0,12.9,2.0,2.9%,137.0,772,475.0,3.5,297.0,2.2,12.0,8.0,-17.0,41.0,23.0,3.0,2.0,2.0,0.0,14.0,22.0,3.0,46.0,172.0,25.0,6.0,159.0
27.0,Tarik Cohen (FA),163.9,10.2,0.0,16.0,RB,00-0033556,2019,3.3,0.0,5.8,3.0,0.0%,64.0,213,134.0,2.1,79.0,1.2,6.0,9.0,-16.0,0.0,4.0,0.0,0.0,0.0,0.0,79.0,104.0,9.0,55.0,429.0,16.0,1.0,168.0
28.0,Latavius Murray (FA),157.2,9.8,0.0,16.0,RB,00-0030513,2019,4.4,5.0,6.9,1.0,0.0%,146.0,637,390.0,2.7,247.0,1.7,11.0,10.0,-24.0,30.0,15.0,3.0,1.0,0.0,0.0,34.0,43.0,8.0,99.0,295.0,32.0,4.0,189.0
30.0,Carlos Hyde (FA),153.2,9.6,2.0,16.0,RB,00-0031045,2019,4.4,6.0,4.2,0.0,0.0%,245.0,"1,070",525.0,2.1,545.0,2.2,22.0,21.0,-58.0,41.0,23.0,8.0,4.0,3.0,1.0,10.0,16.0,4.0,31.0,71.0,41.0,10.0,261.0
31.0,Sony Michel (FA),152.6,9.5,1.0,16.0,RB,00-0034845,2019,3.7,7.0,7.8,0.0,0.0%,247.0,912,521.0,2.1,391.0,1.6,16.0,26.0,-67.0,14.0,23.0,3.0,0.0,0.0,0.0,12.0,20.0,3.0,31.0,129.0,53.0,17.0,267.0
32.0,Devin Singletary (NYG),147.9,12.3,1.0,12.0,RB,00-0035250,2019,5.1,2.0,6.7,2.0,1.0%,151.0,775,413.0,2.7,362.0,2.4,20.0,15.0,-30.0,14.0,25.0,7.0,1.0,0.0,0.0,29.0,41.0,5.0,64.0,263.0,24.0,2.0,192.0
33.0,Adrian Peterson (FA),147.0,9.2,2.0,16.0,RB,00-0025394,2019,4.3,5.0,8.4,0.0,0.7%,211.0,898,374.0,1.8,524.0,2.5,7.0,20.0,-37.0,12.0,25.0,6.0,1.0,0.0,0.0,17.0,23.0,2.0,50.0,161.0,26.0,7.0,234.0
34.0,Jamaal Williams (FA),145.9,10.4,0.0,14.0,RB,00-0032975,2019,4.3,1.0,6.5,5.0,0.1%,107.0,456,270.0,2.5,190.0,1.8,5.0,9.0,-20.0,1.0,10.0,1.0,1.0,1.0,0.0,39.0,45.0,8.0,82.0,64.0,8.0,1.0,152.0
35.0,James Conner (ARI),145.5,14.6,1.0,10.0,RB,00-0033553,2019,4.0,4.0,7.4,3.0,95.0%,116.0,464,199.0,1.7,265.0,2.3,5.0,13.0,-21.0,12.0,16.0,2.0,0.0,0.0,0.0,34.0,38.0,5.0,114.0,298.0,19.0,5.0,154.0
