Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,relevent_snaps_played
36.0,Royce Freeman (FA),142.2,8.9,0.0,16.0,RB,00-0034838,2019,3.8,3.0,6.0,1.0,0.0%,132.0,496,244.0,1.8,252.0,1.9,8.0,9.0,-19.0,4.0,13.0,1.0,0.0,0.0,0.0,43.0,50.0,6.0,74.0,259.0,32.0,6.0,182.0
37.0,David Johnson (FA),141.5,10.9,1.0,13.0,RB,00-0032187,2019,3.7,2.0,10.3,4.0,0.0%,94.0,345,175.0,1.9,170.0,1.8,6.0,5.0,-9.0,1.0,8.0,0.0,0.0,0.0,0.0,36.0,47.0,6.0,62.0,226.0,23.0,7.0,141.0
38.0,Damien Williams (FA),141.1,12.8,1.0,11.0,RB,00-0032945,2019,4.5,5.0,7.1,2.0,0.0%,111.0,498,141.0,1.3,357.0,3.2,15.0,11.0,-31.0,91.0,6.0,2.0,2.0,2.0,2.0,30.0,37.0,7.0,67.0,55.0,1.0,0.0,148.0
39.0,Tevin Coleman (FA),135.4,9.7,0.0,14.0,RB,00-0032058,2019,4.0,6.0,8.6,1.0,0.0%,137.0,544,354.0,2.6,190.0,1.4,5.0,17.0,-30.0,48.0,13.0,4.0,2.0,1.0,0.0,21.0,30.0,8.0,20.0,205.0,41.0,13.0,167.0
40.0,DeAndre Washington (FA),121.9,7.6,0.0,16.0,RB,00-0032450,2019,3.6,3.0,8.1,0.0,0.0%,108.0,387,186.0,1.7,201.0,1.9,5.0,8.0,-20.0,14.0,4.0,1.0,1.0,0.0,0.0,36.0,41.0,5.0,45.0,11.0,1.0,0.0,149.0
41.0,LeSean McCoy (FA),118.6,9.1,2.0,13.0,RB,00-0027029,2019,4.6,4.0,6.5,1.0,0.0%,101.0,465,265.0,2.6,200.0,2.0,5.0,8.0,-10.0,6.0,12.0,4.0,2.0,0.0,0.0,28.0,34.0,5.0,31.0,213.0,24.0,7.0,135.0
43.0,Peyton Barber (FA),116.5,7.3,1.0,16.0,RB,00-0032741,2019,3.1,6.0,7.2,1.0,0.0%,154.0,470,204.0,1.3,266.0,1.7,8.0,15.0,-27.0,16.0,8.0,0.0,0.0,0.0,0.0,16.0,24.0,2.0,24.0,118.0,25.0,11.0,178.0
44.0,Jordan Howard (FA),111.4,11.1,0.0,10.0,RB,00-0032780,2019,4.4,6.0,6.9,1.0,0.0%,119.0,525,243.0,2.0,282.0,2.4,4.0,9.0,-17.0,13.0,17.0,1.0,0.0,0.0,0.0,10.0,14.0,1.0,15.0,69.0,24.0,10.0,133.0
45.0,Jaylen Samuels (FA),105.4,7.5,1.0,14.0,RB,00-0034331,2019,2.7,1.0,6.5,1.0,0.0%,66.0,175,49.0,0.7,126.0,1.9,3.0,9.0,-27.0,2.0,2.0,0.0,0.0,0.0,0.0,47.0,57.0,8.0,57.0,366.0,19.0,4.0,123.0
46.0,Matt Breida (FA),103.3,7.9,1.0,13.0,RB,00-0033308,2019,5.1,1.0,6.3,1.0,0.0%,123.0,623,402.0,3.3,221.0,1.8,8.0,17.0,-30.0,83.0,18.0,4.0,3.0,1.0,1.0,19.0,22.0,2.0,16.0,127.0,8.0,2.0,145.0
47.0,Kareem Hunt (KC),101.4,11.3,0.0,9.0,RB,00-0033923,2019,4.2,2.0,7.7,1.0,20.6%,43.0,179,65.0,1.5,114.0,2.7,4.0,6.0,-13.0,6.0,2.0,0.0,0.0,0.0,0.0,37.0,44.0,2.0,104.0,276.0,7.0,1.0,87.0
48.0,Rex Burkhead (FA),101.1,7.8,1.0,13.0,RB,00-0030288,2019,4.6,3.0,10.3,0.0,0.0%,65.0,302,157.0,2.4,145.0,2.2,6.0,3.0,-3.0,33.0,8.0,1.0,1.0,0.0,0.0,27.0,38.0,4.0,42.0,268.0,15.0,3.0,103.0
49.0,Boston Scott (FA),96.9,8.8,1.0,11.0,RB,00-0034414,2019,4.0,5.0,8.5,0.0,0.0%,61.0,245,136.0,2.2,109.0,1.8,2.0,5.0,-9.0,7.0,6.0,1.0,0.0,0.0,0.0,24.0,26.0,0.0,82.0,301.0,14.0,4.0,87.0
50.0,Frank Gore (FA),94.9,5.9,0.0,16.0,RB,00-0023500,2019,3.6,2.0,7.7,0.0,0.1%,166.0,599,260.0,1.6,339.0,2.0,10.0,18.0,-35.0,1.0,11.0,4.0,1.0,1.0,0.0,13.0,16.0,0.0,16.0,88.0,26.0,11.0,182.0
51.0,Chris Thompson (FA),93.6,8.5,0.0,11.0,RB,00-0030404,2019,3.7,0.0,9.0,0.0,0.0%,37.0,138,74.0,2.0,64.0,1.7,2.0,3.0,-8.0,0.0,4.0,0.0,0.0,0.0,0.0,42.0,58.0,5.0,69.0,337.0,13.0,4.0,95.0
52.0,Gus Edwards (FA),92.6,5.8,1.0,16.0,RB,00-0034184,2019,5.3,2.0,6.4,0.0,0.1%,133.0,711,335.0,2.5,376.0,2.8,7.0,5.0,-5.0,63.0,20.0,5.0,2.0,1.0,1.0,7.0,7.0,1.0,14.0,45.0,25.0,8.0,140.0
53.0,Tony Pollard (TEN),89.2,5.9,1.0,15.0,RB,00-0035261,2019,5.3,2.0,7.1,1.0,87.2%,86.0,455,146.0,1.7,309.0,3.6,10.0,8.0,-19.0,44.0,12.0,4.0,2.0,1.0,0.0,15.0,20.0,6.0,39.0,135.0,9.0,1.0,106.0
54.0,Kerryon Johnson (FA),85.0,10.6,1.0,8.0,RB,00-0034349,2019,3.6,3.0,12.7,1.0,0.0%,113.0,403,177.0,1.6,226.0,2.0,8.0,9.0,-16.0,1.0,8.0,1.0,0.0,0.0,0.0,10.0,15.0,1.0,23.0,116.0,22.0,10.0,128.0
55.0,J.D. McKissic (FA),83.8,5.2,0.0,16.0,RB,00-0032602,2019,5.4,0.0,6.9,1.0,0.0%,38.0,205,112.0,2.9,93.0,2.4,3.0,4.0,-6.0,0.0,5.0,2.0,1.0,1.0,0.0,34.0,42.0,2.0,70.0,237.0,8.0,3.0,80.0
56.0,Jalen Richard (FA),82.8,5.2,0.0,16.0,RB,00-0033025,2019,3.7,0.0,9.0,0.0,0.0%,39.0,145,90.0,2.3,55.0,1.4,0.0,5.0,-9.0,0.0,4.0,0.0,0.0,0.0,0.0,36.0,43.0,3.0,73.0,236.0,5.0,0.0,82.0
57.0,Chase Edmonds (FA),82.8,6.4,0.0,13.0,RB,00-0034681,2019,5.1,4.0,8.8,1.0,0.0%,60.0,303,180.0,3.0,123.0,2.1,4.0,7.0,-21.0,37.0,9.0,4.0,1.0,0.0,0.0,12.0,21.0,6.0,50.0,105.0,13.0,1.0,81.0
58.0,Dare Ogunbowale (HOU),75.3,4.7,1.0,16.0,RB,00-0033854,2019,1.5,2.0,8.2,0.0,0.2%,11.0,17,5.0,0.5,12.0,1.1,1.0,2.0,-6.0,3.0,1.0,0.0,0.0,0.0,0.0,35.0,46.0,7.0,41.0,207.0,14.0,9.0,57.0
59.0,Rashaad Penny (FA),75.3,7.5,1.0,10.0,RB,00-0034750,2019,5.7,3.0,10.4,1.0,0.0%,65.0,370,186.0,2.9,184.0,2.8,5.0,4.0,-11.0,58.0,8.0,4.0,2.0,1.0,1.0,8.0,11.0,2.0,21.0,91.0,10.0,3.0,76.0
60.0,Giovani Bernard (FA),68.4,4.3,1.0,16.0,RB,00-0030456,2019,3.2,0.0,7.8,0.0,0.0%,53.0,170,66.0,1.2,104.0,2.0,6.0,10.0,-20.0,0.0,6.0,1.0,0.0,0.0,0.0,30.0,43.0,7.0,91.0,220.0,16.0,2.0,96.0
61.0,Alexander Mattison (MIA),68.4,5.3,1.0,13.0,RB,00-0034972,2019,4.6,1.0,8.2,0.0,0.7%,100.0,462,267.0,2.7,195.0,2.0,11.0,13.0,-26.0,10.0,15.0,4.0,1.0,0.0,0.0,10.0,12.0,0.0,13.0,86.0,28.0,4.0,112.0
62.0,Patrick Laird (FA),68.2,4.5,0.0,15.0,RB,00-0035342,2019,2.7,1.0,8.9,0.0,0.0%,62.0,168,86.0,1.4,82.0,1.3,5.0,11.0,-22.0,4.0,5.0,0.0,0.0,0.0,0.0,23.0,30.0,5.0,43.0,176.0,17.0,3.0,92.0
64.0,Brian Hill (FA),67.2,5.6,0.0,12.0,RB,00-0033567,2019,4.1,2.0,6.9,1.0,0.0%,78.0,323,157.0,2.0,166.0,2.1,3.0,7.0,-18.0,23.0,10.0,2.0,0.0,0.0,0.0,10.0,14.0,3.0,12.0,54.0,13.0,2.0,92.0
65.0,Dion Lewis (FA),66.4,4.2,1.0,16.0,RB,00-0028087,2019,3.9,0.0,6.6,1.0,0.0%,54.0,210,82.0,1.5,127.0,2.4,7.0,3.0,-4.0,0.0,3.0,0.0,0.0,0.0,0.0,25.0,32.0,5.0,37.0,205.0,8.0,0.0,86.0
66.0,Ty Johnson (BUF),60.2,3.8,1.0,16.0,RB,00-0035537,2019,4.3,0.0,4.5,0.0,0.6%,63.0,273,120.0,1.9,153.0,2.4,5.0,6.0,-9.0,0.0,7.0,1.0,1.0,1.0,0.0,24.0,31.0,1.0,24.0,93.0,8.0,1.0,94.0
67.0,Malcolm Brown (FA),59.1,4.2,0.0,14.0,RB,00-0031806,2019,3.7,5.0,8.0,0.0,0.0%,69.0,255,110.0,1.6,145.0,2.1,10.0,8.0,-15.0,5.0,8.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,3.0,7.0,16.0,8.0,75.0
69.0,Derrius Guice (FA),57.4,11.5,0.0,5.0,RB,00-0034358,2019,5.8,2.0,11.3,1.0,0.1%,42.0,245,52.0,1.2,193.0,4.6,3.0,2.0,-6.0,1.0,4.0,3.0,2.0,1.0,1.0,7.0,9.0,1.0,15.0,86.0,8.0,3.0,51.0
70.0,Jordan Wilkins (FA),54.0,3.9,0.0,14.0,RB,00-0034400,2019,6.0,2.0,6.1,0.0,0.0%,51.0,307,140.0,2.7,167.0,3.3,4.0,2.0,-10.0,1.0,9.0,2.0,2.0,1.0,1.0,7.0,11.0,1.0,12.0,32.0,12.0,5.0,62.0
