Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,relevent_snaps_played
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Number of fumbles lost,Games played (advanced tracking),Player position,Unique player identifier,Season year,Yards per rushing attempt (basic),Rushing touchdowns (basic),Yards per reception (basic),Receiving touchdowns (basic),Rostered percentage,Rushing attempts (advanced),Rushing yards (advanced),Yards before contact,Yards before contact per attempt,Yards after contact,Yards after contact per attempt,Broken tackles,Tackles for loss,Tackles for loss yards,Longest touchdown run,Runs of 10+ yards,Runs of 20+ yards (advanced),Runs of 30+ yards,Runs of 40+ yards,Runs of 50+ yards,Receptions (advanced),Targets (advanced),Red zone targets,Yards after contact (advanced),Yards after catch (YAC),Red zone touches,Goal line touches,0.0
1.0,Saquon Barkley (PHI),385.8,24.1,0.0,16.0,RB,00-0034844,2018,5.0,11.0,7.9,4.0,99.9%,261.0,"1,307",571.0,2.2,736.0,2.8,30.0,34.0,-99.0,78.0,31.0,16.0,8.0,7.0,6.0,91.0,121.0,6.0,195.0,768.0,67.0,21.0,382.0
2.0,Christian McCaffrey (SF),385.5,24.1,1.0,16.0,RB,00-0033280,2018,5.0,7.0,8.1,6.0,99.8%,219.0,"1,098",633.0,2.9,465.0,2.1,15.0,13.0,-27.0,11.0,31.0,6.0,4.0,3.0,2.0,107.0,124.0,7.0,223.0,859.0,63.0,18.0,343.0
3.0,Todd Gurley II (FA),372.1,26.6,1.0,14.0,RB,,2018,4.9,17.0,9.8,4.0,0.1%,256.0,"1,251",634.0,2.5,617.0,2.4,17.0,23.0,-47.0,17.0,35.0,11.0,1.0,0.0,0.0,59.0,81.0,10.0,113.0,,,,337.0
4.0,Alvin Kamara (NO),354.2,23.6,0.0,15.0,RB,00-0033906,2018,4.6,14.0,8.8,4.0,97.2%,194.0,883,464.0,2.4,419.0,2.2,21.0,14.0,-35.0,49.0,20.0,1.0,1.0,1.0,0.0,81.0,105.0,17.0,177.0,758.0,88.0,23.0,299.0
5.0,Ezekiel Elliott (FA),329.1,21.9,1.0,15.0,RB,00-0033045,2018,4.7,6.0,7.4,3.0,0.1%,304.0,"1,434",839.0,2.8,595.0,2.0,19.0,28.0,-48.0,23.0,41.0,11.0,3.0,1.0,0.0,77.0,95.0,9.0,123.0,619.0,64.0,16.0,399.0
6.0,James Conner (ARI),279.7,21.5,2.0,13.0,RB,00-0033553,2018,4.5,12.0,9.0,1.0,95.0%,215.0,970,522.0,2.4,451.0,2.1,20.0,18.0,-34.0,22.0,27.0,9.0,2.0,0.0,0.0,55.0,71.0,4.0,132.0,548.0,43.0,19.0,286.0
7.0,James White (FA),276.6,17.3,0.0,16.0,RB,00-0031062,2018,4.5,5.0,8.6,7.0,0.1%,94.0,425,298.0,3.2,127.0,1.4,3.0,2.0,-8.0,27.0,13.0,5.0,0.0,0.0,0.0,87.0,123.0,12.0,123.0,832.0,47.0,11.0,217.0
9.0,David Johnson (FA),246.6,15.4,2.0,16.0,RB,00-0032187,2018,3.6,7.0,8.9,3.0,0.0%,258.0,940,531.0,2.1,409.0,1.6,9.0,20.0,-31.0,6.0,20.0,2.0,1.0,1.0,1.0,50.0,76.0,5.0,73.0,385.0,40.0,10.0,334.0
10.0,Joe Mixon (HOU),243.4,17.4,0.0,14.0,RB,00-0033897,2018,4.9,8.0,6.9,1.0,97.1%,237.0,"1,168",634.0,2.7,534.0,2.3,6.0,31.0,-73.0,15.0,34.0,11.0,5.0,3.0,1.0,43.0,55.0,1.0,79.0,333.0,40.0,14.0,292.0
11.0,Tarik Cohen (FA),233.9,14.6,3.0,16.0,RB,00-0033556,2018,4.5,3.0,10.2,5.0,0.0%,99.0,444,301.0,3.0,143.0,1.4,9.0,13.0,-40.0,21.0,13.0,7.0,1.0,0.0,0.0,71.0,91.0,5.0,107.0,529.0,26.0,3.0,190.0
