Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,relevent_snaps_played
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Number of fumbles lost,Games played (advanced tracking),Player position,Unique player identifier,Season year,Yards per rushing attempt (basic),Rushing touchdowns (basic),Yards per reception (basic),Receiving touchdowns (basic),Rostered percentage,Rushing attempts (advanced),Rushing yards (advanced),Yards before contact,Yards before contact per attempt,Yards after contact,Yards after contact per attempt,Broken tackles,Tackles for loss,Tackles for loss yards,Longest touchdown run,Runs of 10+ yards,Runs of 20+ yards (advanced),Runs of 30+ yards,Runs of 40+ yards,Runs of 50+ yards,Receptions (advanced),Targets (advanced),Red zone targets,Yards after contact (advanced),Yards after catch (YAC),Red zone touches,Goal line touches,0.0
1.0,Austin Ekeler (WAS),372.7,21.9,3.0,17.0,RB,00-0033699,2022,4.5,13.0,6.7,5.0,79.1%,204.0,915,518.0,2.5,397.0,1.9,5.0,20.0,-33.0,72.0,22.0,4.0,2.0,2.0,2.0,107.0,127.0,23.0,180.0,859.0,82.0,15.0,331.0
2.0,Christian McCaffrey (SF),356.4,21.0,0.0,17.0,RB,00-0033280,2022,4.7,8.0,8.7,5.0,99.8%,244.0,"1,139",678.0,2.8,461.0,1.9,10.0,21.0,-33.0,38.0,28.0,9.0,4.0,1.0,0.0,85.0,108.0,9.0,221.0,756.0,62.0,19.0,352.0
3.0,Josh Jacobs (GB),328.3,19.3,1.0,17.0,RB,00-0035700,2022,4.9,12.0,7.5,0.0,99.7%,340.0,"1,653",825.0,2.4,828.0,2.4,31.0,26.0,-57.0,86.0,41.0,7.0,4.0,2.0,1.0,53.0,64.0,4.0,61.0,374.0,48.0,13.0,404.0
4.0,Derrick Henry (BAL),302.8,18.9,3.0,16.0,RB,00-0032764,2022,4.4,13.0,12.1,0.0,99.8%,349.0,"1,538",735.0,2.1,803.0,2.3,35.0,35.0,-71.0,48.0,37.0,10.0,4.0,4.0,2.0,33.0,41.0,6.0,46.0,397.0,46.0,17.0,390.0
5.0,Saquon Barkley (PHI),284.0,17.8,0.0,16.0,RB,00-0034844,2022,4.4,10.0,5.9,0.0,99.9%,295.0,"1,312",748.0,2.5,564.0,1.9,12.0,31.0,-77.0,36.0,32.0,9.0,4.0,2.0,1.0,57.0,76.0,2.0,86.0,526.0,42.0,17.0,371.0
6.0,Nick Chubb (HOU),281.4,16.6,1.0,17.0,RB,00-0034791,2022,5.0,12.0,8.9,1.0,28.7%,302.0,"1,525",823.0,2.7,702.0,2.3,28.0,28.0,-61.0,41.0,47.0,13.0,4.0,1.0,0.0,27.0,37.0,1.0,55.0,259.0,43.0,14.0,339.0
7.0,Rhamondre Stevenson (NE),249.1,14.7,1.0,17.0,RB,00-0036875,2022,5.0,5.0,6.1,1.0,83.7%,210.0,"1,040",599.0,2.9,441.0,2.1,24.0,18.0,-43.0,34.0,30.0,7.0,4.0,1.0,0.0,69.0,88.0,6.0,115.0,488.0,41.0,15.0,298.0
8.0,Tony Pollard (TEN),248.8,15.6,0.0,16.0,RB,00-0035261,2022,5.2,9.0,9.5,3.0,87.2%,193.0,"1,007",504.0,2.6,503.0,2.6,11.0,19.0,-60.0,57.0,31.0,9.0,4.0,3.0,2.0,39.0,55.0,8.0,39.0,371.0,34.0,7.0,248.0
9.0,Aaron Jones Sr. (MIN),248.6,14.6,3.0,17.0,RB,,2022,5.3,2.0,6.7,5.0,89.3%,213.0,"1,121",642.0,3.0,479.0,2.2,13.0,23.0,-57.0,15.0,31.0,6.0,4.0,0.0,0.0,59.0,72.0,9.0,71.0,,,,285.0
10.0,Joe Mixon (HOU),240.7,16.0,0.0,15.0,RB,00-0033897,2022,3.9,7.0,7.4,2.0,97.1%,212.0,826,515.0,2.4,311.0,1.5,8.0,15.0,-33.0,14.0,16.0,4.0,2.0,1.0,0.0,60.0,75.0,13.0,114.0,530.0,63.0,23.0,287.0
11.0,Dalvin Cook (FA),237.8,14.0,4.0,17.0,RB,00-0033893,2022,4.4,8.0,7.6,2.0,0.1%,264.0,"1,173",680.0,2.6,486.0,1.8,12.0,34.0,-65.0,81.0,30.0,5.0,4.0,3.0,2.0,39.0,56.0,10.0,60.0,358.0,56.0,18.0,320.0
12.0,Leonard Fournette (FA),227.1,14.2,0.0,16.0,RB,00-0033856,2022,3.5,3.0,7.2,3.0,0.0%,189.0,668,382.0,2.0,286.0,1.5,4.0,19.0,-30.0,1.0,14.0,1.0,0.0,0.0,0.0,73.0,83.0,9.0,198.0,575.0,37.0,14.0,272.0
13.0,Jamaal Williams (FA),225.9,13.3,2.0,17.0,RB,00-0032975,2022,4.1,17.0,6.1,0.0,0.1%,262.0,"1,066",648.0,2.5,418.0,1.6,11.0,20.0,-43.0,51.0,22.0,4.0,2.0,2.0,2.0,12.0,16.0,2.0,25.0,38.0,6.0,1.0,278.0
14.0,Najee Harris (LAC),223.5,13.1,2.0,17.0,RB,00-0036893,2022,3.8,7.0,5.6,3.0,66.8%,272.0,"1,034",575.0,2.1,459.0,1.7,21.0,22.0,-49.0,19.0,20.0,1.0,1.0,0.0,0.0,41.0,53.0,7.0,61.0,211.0,49.0,13.0,325.0
15.0,Miles Sanders (DAL),216.7,12.7,2.0,17.0,RB,00-0035243,2022,4.9,11.0,3.9,0.0,1.6%,259.0,"1,269",837.0,3.2,432.0,1.7,13.0,22.0,-32.0,40.0,34.0,9.0,2.0,1.0,0.0,20.0,26.0,0.0,17.0,103.0,55.0,15.0,285.0
16.0,Alvin Kamara (NO),211.7,14.1,4.0,15.0,RB,00-0033906,2022,4.0,2.0,8.6,2.0,97.2%,223.0,897,448.0,2.0,449.0,2.0,7.0,16.0,-33.0,4.0,20.0,3.0,0.0,0.0,0.0,57.0,77.0,11.0,123.0,461.0,36.0,4.0,300.0
19.0,James Conner (ARI),200.2,15.4,1.0,13.0,RB,00-0033553,2022,4.3,7.0,6.5,1.0,95.0%,183.0,782,442.0,2.4,340.0,1.9,5.0,12.0,-17.0,22.0,15.0,3.0,0.0,0.0,0.0,46.0,58.0,4.0,83.0,376.0,29.0,9.0,241.0
20.0,Jerick McKinnon (FA),196.3,11.5,1.0,17.0,RB,00-0031376,2022,4.0,1.0,9.1,9.0,0.0%,72.0,291,180.0,2.5,111.0,1.5,6.0,8.0,-12.0,26.0,5.0,2.0,1.0,0.0,0.0,56.0,71.0,15.0,70.0,570.0,42.0,12.0,143.0
21.0,D'Andre Swift (CHI),191.1,13.7,0.0,14.0,RB,00-0036275,2022,5.5,5.0,8.1,3.0,90.8%,99.0,542,387.0,3.8,171.0,1.7,5.0,12.0,-26.0,17.0,14.0,3.0,3.0,2.0,2.0,48.0,70.0,14.0,73.0,440.0,39.0,6.0,169.0
22.0,Ezekiel Elliott (FA),185.8,12.4,0.0,15.0,RB,00-0033045,2022,3.8,12.0,5.4,0.0,0.1%,231.0,876,518.0,2.2,358.0,1.5,9.0,16.0,-35.0,14.0,17.0,5.0,0.0,0.0,0.0,17.0,23.0,1.0,22.0,107.0,45.0,21.0,254.0
23.0,Devin Singletary (NYG),178.2,10.5,3.0,17.0,RB,00-0035250,2022,4.6,5.0,7.4,1.0,1.0%,178.0,822,543.0,3.1,279.0,1.6,9.0,19.0,-43.0,33.0,21.0,5.0,2.0,0.0,0.0,38.0,52.0,7.0,47.0,306.0,48.0,13.0,230.0
