Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,relevent_snaps_played
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Number of fumbles lost,Games played (advanced tracking),Player position,Unique player identifier,Season year,Yards per rushing attempt (basic),Rushing touchdowns (basic),Yards per reception (basic),Receiving touchdowns (basic),Rostered percentage,Rushing attempts (advanced),Rushing yards (advanced),Yards before contact,Yards before contact per attempt,Yards after contact,Yards after contact per attempt,Broken tackles,Tackles for loss,Tackles for loss yards,Longest touchdown run,Runs of 10+ yards,Runs of 20+ yards (advanced),Runs of 30+ yards,Runs of 40+ yards,Runs of 50+ yards,Receptions (advanced),Targets (advanced),Red zone targets,Yards after contact (advanced),Yards after catch (YAC),Red zone touches,Goal line touches,0.0
1.0,Christian McCaffrey (SF),391.3,24.5,2.0,16.0,RB,00-0033280,2023,5.4,14.0,8.4,7.0,99.8%,272.0,"1,459",852.0,3.1,607.0,2.2,15.0,25.0,-54.0,65.0,44.0,9.0,4.0,3.0,3.0,67.0,83.0,16.0,74.0,603.0,92.0,26.0,355.0
2.0,Breece Hall (NYJ),290.5,17.1,0.0,17.0,RB,,2023,4.5,5.0,7.8,4.0,96.5%,223.0,994,500.0,2.2,494.0,2.2,19.0,31.0,-72.0,72.0,20.0,7.0,5.0,4.0,3.0,76.0,95.0,5.0,209.0,,,,318.0
4.0,Rachaad White (TB),267.9,15.8,2.0,17.0,RB,00-0037256,2023,3.6,6.0,8.6,3.0,74.8%,272.0,990,594.0,2.2,396.0,1.5,9.0,17.0,-40.0,4.0,21.0,3.0,2.0,0.0,0.0,64.0,70.0,8.0,119.0,659.0,49.0,11.0,342.0
5.0,Raheem Mostert (LV),267.7,17.8,1.0,15.0,RB,00-0031687,2023,4.8,18.0,7.0,3.0,2.9%,209.0,"1,012",547.0,2.6,465.0,2.2,16.0,22.0,-59.0,43.0,30.0,7.0,3.0,2.0,0.0,25.0,32.0,6.0,61.0,216.0,53.0,22.0,241.0
6.0,Joe Mixon (HOU),267.0,15.7,0.0,17.0,RB,00-0033897,2023,4.0,9.0,7.2,3.0,97.1%,257.0,"1,034",671.0,2.6,363.0,1.4,10.0,22.0,-47.0,14.0,27.0,3.0,1.0,1.0,0.0,52.0,64.0,13.0,133.0,463.0,74.0,25.0,321.0
7.0,Kyren Williams (LAR),255.0,21.3,2.0,12.0,RB,00-0037840,2023,5.0,12.0,6.4,3.0,99.0%,228.0,"1,144",685.0,3.0,459.0,2.0,23.0,15.0,-23.0,28.0,26.0,7.0,2.0,1.0,1.0,32.0,48.0,12.0,47.0,283.0,71.0,21.0,276.0
8.0,Derrick Henry (BAL),246.7,14.5,0.0,17.0,RB,00-0032764,2023,4.2,12.0,7.6,0.0,99.8%,280.0,"1,167",566.0,2.0,601.0,2.1,23.0,27.0,-62.0,29.0,23.0,5.0,2.0,2.0,2.0,28.0,36.0,2.0,57.0,275.0,39.0,16.0,316.0
9.0,Bijan Robinson (ATL),246.3,14.5,3.0,17.0,RB,00-0037746,2023,4.6,4.0,8.4,4.0,99.9%,214.0,976,568.0,2.7,408.0,1.9,15.0,22.0,-49.0,13.0,30.0,7.0,2.0,0.0,0.0,58.0,86.0,10.0,100.0,410.0,33.0,10.0,300.0
10.0,Jahmyr Gibbs (DET),242.1,16.1,1.0,15.0,RB,00-0039139,2023,5.2,10.0,6.1,1.0,99.9%,182.0,945,487.0,2.7,458.0,2.5,21.0,17.0,-39.0,27.0,27.0,10.0,4.0,0.0,0.0,52.0,71.0,7.0,73.0,427.0,56.0,13.0,253.0
11.0,Alvin Kamara (NO),233.0,17.9,0.0,13.0,RB,00-0033906,2023,3.9,5.0,6.2,1.0,97.2%,180.0,694,407.0,2.3,287.0,1.6,7.0,15.0,-25.0,16.0,15.0,0.0,0.0,0.0,0.0,75.0,86.0,8.0,138.0,501.0,49.0,15.0,266.0
12.0,James Cook (BUF),232.7,13.7,2.0,17.0,RB,00-0037248,2023,4.7,2.0,10.1,4.0,99.0%,237.0,"1,122",640.0,2.7,482.0,2.0,8.0,22.0,-58.0,24.0,33.0,6.0,3.0,1.0,0.0,44.0,54.0,6.0,103.0,444.0,46.0,7.0,291.0
13.0,Saquon Barkley (PHI),223.2,15.9,2.0,14.0,RB,00-0034844,2023,3.9,6.0,6.8,4.0,99.9%,247.0,962,480.0,1.9,482.0,2.0,12.0,38.0,-80.0,7.0,26.0,7.0,5.0,0.0,0.0,41.0,60.0,5.0,38.0,226.0,49.0,11.0,307.0
14.0,Tony Pollard (TEN),222.6,13.1,1.0,17.0,RB,00-0035261,2023,4.0,6.0,5.7,0.0,87.2%,252.0,"1,005",498.0,2.0,512.0,2.0,19.0,28.0,-70.0,21.0,21.0,6.0,1.0,0.0,0.0,55.0,67.0,12.0,92.0,354.0,78.0,19.0,319.0
15.0,Isiah Pacheco (KC),213.9,15.3,1.0,14.0,RB,00-0037197,2023,4.6,7.0,5.5,2.0,88.9%,205.0,935,550.0,2.7,385.0,1.9,15.0,14.0,-32.0,48.0,20.0,6.0,4.0,1.0,0.0,44.0,49.0,8.0,42.0,434.0,74.0,17.0,254.0
16.0,Jerome Ford (CLE),211.2,12.4,1.0,17.0,RB,00-0037267,2023,4.0,4.0,7.3,5.0,44.4%,204.0,813,446.0,2.2,367.0,1.8,26.0,34.0,-91.0,69.0,23.0,5.0,2.0,2.0,2.0,44.0,63.0,6.0,88.0,329.0,24.0,7.0,267.0
17.0,David Montgomery (DET),207.2,14.8,1.0,14.0,RB,00-0035045,2023,4.6,13.0,7.3,0.0,93.9%,219.0,"1,015",511.0,2.3,504.0,2.3,17.0,15.0,-30.0,75.0,22.0,4.0,2.0,2.0,1.0,16.0,24.0,0.0,30.0,28.0,2.0,1.0,243.0
18.0,James Conner (ARI),201.5,15.5,0.0,13.0,RB,00-0033553,2023,5.0,7.0,6.1,2.0,95.0%,208.0,"1,040",581.0,2.8,459.0,2.2,27.0,21.0,-28.0,29.0,31.0,11.0,2.0,1.0,0.0,27.0,33.0,5.0,79.0,221.0,44.0,17.0,241.0
20.0,D'Andre Swift (CHI),199.3,12.5,1.0,16.0,RB,00-0036275,2023,4.6,5.0,5.5,1.0,90.8%,229.0,"1,049",642.0,2.8,407.0,1.8,21.0,23.0,-54.0,7.0,22.0,6.0,3.0,1.0,0.0,39.0,49.0,4.0,71.0,293.0,43.0,14.0,278.0
22.0,Jaylen Warren (PIT),196.4,11.6,2.0,17.0,RB,00-0037228,2023,5.3,4.0,6.1,0.0,83.0%,149.0,784,427.0,2.9,357.0,2.4,27.0,16.0,-45.0,74.0,24.0,6.0,1.0,1.0,1.0,61.0,74.0,5.0,97.0,503.0,26.0,5.0,223.0
23.0,Najee Harris (LAC),195.5,11.5,1.0,17.0,RB,00-0036893,2023,4.1,8.0,5.9,0.0,66.8%,255.0,"1,035",415.0,1.6,620.0,2.4,30.0,29.0,-66.0,10.0,24.0,8.0,0.0,0.0,0.0,29.0,38.0,3.0,49.0,185.0,51.0,14.0,293.0
24.0,De'Von Achane (MIA),190.7,17.3,1.0,11.0,RB,00-0039040,2023,7.8,8.0,7.3,3.0,99.7%,103.0,800,484.0,4.7,316.0,3.1,13.0,10.0,-27.0,76.0,22.0,8.0,5.0,5.0,3.0,27.0,37.0,6.0,83.0,288.0,29.0,7.0,140.0
25.0,Gus Edwards (FA),187.0,11.0,2.0,17.0,RB,00-0034184,2023,4.1,13.0,15.0,0.0,0.1%,198.0,810,447.0,2.3,363.0,1.8,12.0,13.0,-25.0,7.0,15.0,6.0,1.0,1.0,0.0,12.0,13.0,0.0,18.0,160.0,42.0,25.0,211.0
26.0,Austin Ekeler (WAS),185.4,13.2,4.0,14.0,RB,00-0033699,2023,3.5,5.0,8.5,1.0,79.1%,179.0,628,328.0,1.8,300.0,1.7,9.0,16.0,-40.0,3.0,7.0,3.0,2.0,1.0,1.0,51.0,74.0,9.0,140.0,521.0,39.0,18.0,253.0
27.0,Chuba Hubbard (CAR),182.5,10.7,0.0,17.0,RB,00-0036555,2023,3.8,5.0,6.0,0.0,95.4%,238.0,902,467.0,2.0,435.0,1.8,17.0,23.0,-46.0,6.0,21.0,4.0,0.0,0.0,0.0,39.0,44.0,1.0,66.0,269.0,37.0,11.0,282.0
28.0,Josh Jacobs (GB),181.1,13.9,1.0,13.0,RB,00-0035700,2023,3.5,6.0,8.0,0.0,99.7%,233.0,805,451.0,1.9,354.0,1.5,10.0,26.0,-56.0,63.0,9.0,3.0,2.0,2.0,1.0,37.0,54.0,6.0,84.0,293.0,45.0,11.0,287.0
29.0,Javonte Williams (DAL),179.2,11.2,1.0,16.0,RB,00-0033948,2023,3.6,3.0,4.9,2.0,84.2%,217.0,774,402.0,1.9,372.0,1.7,11.0,25.0,-55.0,3.0,21.0,2.0,0.0,0.0,0.0,47.0,58.0,3.0,59.0,0.0,15.0,2.0,275.0
