Rank,Player,Fantasy Points,Fantasy Points/Game,Fumbles Lost,Games Played (Advanced),Position,player_id,Year,Yards/Attempt (Basic),Rushing TD (Basic),Yards/Reception (Basic),Receiving TD (Basic),Rostered %,Rushing Attempts (Advanced),Rushing Yards (Advanced),Yards Before Contact,Yards Before Contact/Attempt,Yards After Contact,Yards After Contact/Attempt,Broken Tackles,Tackles for Loss,Tackles for Loss Yards,Longest TD Run,Runs 10+ Yards,Runs 20+ Yards (Advanced),Runs 30+ Yards,Runs 40+ Yards,Runs 50+ Yards,Receptions (Advanced),Targets (Advanced),Red Zone Targets,Yards After Contact (Advanced),yac,redzone_touches,goal_line_touches,relevent_snaps_played
Overall fantasy ranking for the player,Player name,Total fantasy points scored,Average fantasy points per game,Number of fumbles lost,Games played (advanced tracking),Player position,Unique player identifier,Season year,Yards per rushing attempt (basic),Rushing touchdowns (basic),Yards per reception (basic),Receiving touchdowns (basic),Rostered percentage,Rushing attempts (advanced),Rushing yards (advanced),Yards before contact,Yards before contact per attempt,Yards after contact,Yards after contact per attempt,Broken tackles,Tackles for loss,Tackles for loss yards,Longest touchdown run,Runs of 10+ yards,Runs of 20+ yards (advanced),Runs of 30+ yards,Runs of 40+ yards,Runs of 50+ yards,Receptions (advanced),Targets (advanced),Red zone targets,Yards after contact (advanced),Yards after catch (YAC),Red zone touches,Goal line touches,0.0
1.0,Alvin Kamara (NO),377.8,25.2,0.0,15.0,RB,00-0033906,2020,5.0,16.0,9.1,5.0,97.2%,187.0,932,526.0,2.8,406,2.2,19.0,14.0,-37.0,40.0,27.0,7.0,4.0,2.0,0.0,83.0,107.0,14.0,196.0,760.0,71.0,21.0,294.0
2.0,Dalvin Cook (FA),337.8,24.1,3.0,14.0,RB,00-0033893,2020,5.0,16.0,8.2,1.0,0.1%,312.0,"1,557",800.0,2.6,757,2.4,33.0,12.0,-21.0,70.0,46.0,6.0,4.0,1.0,1.0,44.0,54.0,2.0,115.0,438.0,69.0,29.0,366.0
3.0,Derrick Henry (BAL),333.1,20.8,2.0,16.0,RB,00-0032764,2020,5.4,17.0,6.0,0.0,99.8%,378.0,"2,027",945.0,2.5,"1,082",2.9,34.0,23.0,-61.0,94.0,48.0,16.0,8.0,4.0,2.0,19.0,31.0,1.0,49.0,135.0,70.0,23.0,409.0
4.0,David Montgomery (DET),264.8,17.7,1.0,15.0,RB,00-0035685,2020,4.3,8.0,8.1,2.0,93.9%,247.0,"1,070",476.0,1.9,594,2.4,29.0,24.0,-44.0,80.0,24.0,5.0,3.0,2.0,2.0,54.0,68.0,10.0,136.0,396.0,61.0,17.0,315.0
5.0,Aaron Jones Sr. (MIN),258.9,18.5,0.0,14.0,RB,,2020,5.5,9.0,7.6,2.0,89.3%,201.0,"1,104",510.0,2.5,594,3.0,14.0,14.0,-32.0,77.0,26.0,6.0,4.0,4.0,3.0,47.0,63.0,10.0,86.0,,,,264.0
6.0,Jonathan Taylor (IND),252.8,16.9,1.0,15.0,RB,00-0036096,2020,5.0,11.0,8.3,1.0,99.7%,232.0,"1,169",689.0,3.0,480,2.1,15.0,20.0,-39.0,62.0,35.0,7.0,3.0,3.0,2.0,36.0,40.0,4.0,80.0,8.0,5.0,0.0,272.0
7.0,James Robinson (FA),250.4,17.9,1.0,14.0,RB,00-0035831,2020,4.5,7.0,7.0,3.0,0.0%,240.0,"1,070",454.0,1.9,616,2.6,16.0,16.0,-30.0,17.0,31.0,5.0,2.0,1.0,0.0,49.0,60.0,5.0,135.0,383.0,40.0,9.0,300.0
8.0,Josh Jacobs (GB),231.3,15.4,2.0,15.0,RB,00-0035700,2020,3.9,12.0,7.2,0.0,99.7%,273.0,"1,065",525.0,1.9,540,2.0,20.0,23.0,-53.0,28.0,31.0,3.0,0.0,0.0,0.0,33.0,45.0,3.0,102.0,238.0,68.0,21.0,318.0
9.0,Ezekiel Elliott (FA),223.7,14.9,5.0,15.0,RB,00-0033045,2020,4.0,6.0,6.5,2.0,0.1%,244.0,979,457.0,1.9,522,2.1,15.0,15.0,-29.0,12.0,22.0,3.0,1.0,0.0,0.0,52.0,71.0,7.0,102.0,360.0,54.0,28.0,315.0
