Rank,Player,Fantasy Points,Fantasy Points/Game,Passing TD,Interceptions,Passing Yards (Advanced),Completion % (Advanced),Yards/Attempt (Advanced),CPOE,Completions (Advanced),Pass Attempts (Advanced),Air Yards,Air Yards/Attempt,Completions 10+ Yards,Completions 20+ Yards,Completions 30+ Yards,Completions 40+ Yards,Completions 50+ Yards,Red Zone Attempts,QB Rating,Pocket Time,Sacks (Advanced),pressure_to_sack,QB Hits/Knockdowns,QB Hurries,Blitzes Faced,Poor Throws,Receiver Drops,Rushing TD,Rushing Yards,Rushing Attempts,Fumbles Lost,Games Played (Advanced),player_id,Year,pressures,Completions,Rostered %,Position,passer_player_id,passer_player_name
"The player’s overall fantasy Ranking","The quarterback’s name (display format).","Season fantasy points scored.","Average fantasy points scored per game.","Number of passing touchdowns.","Number of interceptions.","Total passing yards (may include advanced adjustments or air yards components).","Percentage of passes completed (advanced stat — may adjust for drops, throwaways, etc.).","Average passing yards per attempt (advanced calculation).","Completion Percentage Over Expected (accuracy relative to expected completions based on throw difficulty).","Total completed passes (advanced version, may adjust for specific situations).","Total pass attempts (advanced version).","Total distance (in yards) that all pass attempts traveled in the air (before catch).","Average air yards per pass attempt.","Number of completed passes that gained 10 or more yards.","Number of completed passes that gained 20 or more yards.","Number of completed passes that gained 30 or more yards.","Number of completed passes that gained 40 or more yards.","Number of completed passes that gained 50 or more yards.","Number of pass attempts made inside the opponent’s 20-yard line.","Quarterback rating (passer efficiency metric using completions, yards, TDs, INTs).","Average time (in seconds) the QB spends in the pocket before releasing the ball or being pressured/sacked.","Total number of times the QB was sacked (advanced tracking).","Ratio of pressures that resulted in a sack (measures QB’s ability to avoid sacks when pressured).","Number of times the QB was hit or knocked down (but not necessarily sacked).","Number of times the QB was hurried (forced to throw earlier than intended).","Number of defensive blitzes the QB faced.","Number of passes classified as poorly thrown (off-target).","Number of passes dropped by receivers.","Total rushing touchdowns scored by the QB.","Total rushing yards gained by the QB.","Total rushing attempts by the QB.","Number of fumbles lost (turnovers).","Number of games played (advanced tracking; may account for partial appearances).","Unique player identifier (database reference).","Season year for the stats.","Number of times the QB was pressured by defenders (includes hits, hurries, sacks).","","","","",""
1.0,Lamar Jackson (BAL),421.7,28.1,36.0,6.0,"3,127",66%,7.8,2.7551169581456767,265.0,401.0,"1,878",4.7,118.0,42.0,18.0,8.0,5.0,60.0,108.0,2.6,23.0,0.4909090909090909,21.0,31.0,138.0,68.0,14.0,7.0,"1,206",176.0,2.0,15.0,00-0034796,2019,55.0,265.0,99.8%,QB,00-0034796,L.Jackson
2.0,Dak Prescott (DAL),348.9,21.8,30.0,11.0,"4,902",65%,8.2,0.9661917212522888,388.0,596.0,"3,151",5.3,194.0,68.0,27.0,16.0,5.0,61.0,101.0,2.6,23.0,0.2674418604651162,57.0,40.0,155.0,86.0,36.0,3.0,277,52.0,2.0,16.0,00-0033077,2019,86.0,388.0,68.5%,QB,00-0033077,D.Prescott
3.0,Jameis Winston (NYG),335.2,21.0,33.0,30.0,"5,109",61%,8.2,0.666849717300454,380.0,626.0,"3,375",5.4,218.0,75.0,31.0,13.0,5.0,69.0,87.0,2.5,47.0,0.4433962264150943,54.0,60.0,241.0,124.0,23.0,1.0,250,59.0,5.0,16.0,00-0031503,2019,106.0,380.0,0.4%,QB,00-0031503,J.Winston
4.0,Russell Wilson (NYG),333.5,20.8,31.0,5.0,"4,110",66%,8.0,7.102610701864427,341.0,516.0,"2,636",5.1,171.0,55.0,23.0,10.0,4.0,89.0,108.0,2.5,48.0,0.4122137404580153,57.0,71.0,221.0,91.0,17.0,3.0,342,75.0,2.0,16.0,00-0029263,2019,131.0,341.0,2.5%,QB,00-0029263,R.Wilson
5.0,Deshaun Watson (CLE),333.0,22.2,26.0,12.0,"3,852",67%,7.8,2.1156912075362375,333.0,495.0,"2,343",4.7,158.0,47.0,27.0,10.0,4.0,59.0,98.0,2.5,44.0,0.5288461538461539,39.0,47.0,167.0,80.0,21.0,7.0,413,82.0,3.0,15.0,,2019,104.0,333.0,0.3%,QB,00-0033537,D.Watson
6.0,Josh Allen (BUF),297.5,18.6,20.0,9.0,"3,089",59%,6.7,-3.263194747076148,271.0,461.0,"1,902",4.1,125.0,47.0,12.0,7.0,2.0,50.0,86.0,2.4,38.0,0.4470588235294118,43.0,45.0,201.0,88.0,31.0,9.0,510,109.0,4.0,16.0,00-0034857,2019,85.0,271.0,99.8%,QB,00-0034857,J.Allen
7.0,Kyler Murray (ARI),297.3,18.6,20.0,12.0,"3,722",64%,6.9,-1.5165669659811944,349.0,542.0,"2,160",4.0,129.0,47.0,20.0,10.0,6.0,74.0,89.0,2.4,48.0,0.7272727272727273,16.0,63.0,151.0,92.0,17.0,4.0,544,93.0,2.0,16.0,00-0035228,2019,66.0,349.0,87.5%,QB,00-0035228,K.Murray
8.0,Patrick Mahomes II (KC),291.9,20.9,26.0,5.0,"4,031",66%,8.3,,319.0,484.0,"2,343",4.8,162.0,50.0,27.0,15.0,4.0,56.0,105.0,2.5,17.0,,34.0,54.0,108.0,85.0,25.0,2.0,218,43.0,2.0,14.0,,2019,,319.0,96.0%,QB,,
9.0,Carson Wentz (FA),282.9,17.7,27.0,7.0,"4,039",64%,6.7,-0.76741650824952,388.0,607.0,"2,533",4.2,160.0,52.0,15.0,6.0,2.0,69.0,94.0,2.5,37.0,0.3725490196078431,53.0,67.0,184.0,106.0,28.0,1.0,243,62.0,7.0,16.0,00-0032950,2019,102.0,388.0,0.0%,QB,00-0032950,C.Wentz
