Rank,Player,Fantasy Points,Fantasy Points/Game,Passing TD,Interceptions,Passing Yards (Advanced),Completion % (Advanced),Yards/Attempt (Advanced),CPOE,Completions (Advanced),Pass Attempts (Advanced),Air Yards,Air Yards/Attempt,Completions 10+ Yards,Completions 20+ Yards,Completions 30+ Yards,Completions 40+ Yards,Completions 50+ Yards,Red Zone Attempts,QB Rating,Pocket Time,Sacks (Advanced),pressure_to_sack,QB Hits/Knockdowns,QB Hurries,Blitzes Faced,Poor Throws,Receiver Drops,Rushing TD,Rushing Yards,Rushing Attempts,Fumbles Lost,Games Played (Advanced),player_id,Year,pressures,Completions,Rostered %,Position,passer_player_id,passer_player_name
10.0,Aaron Rodgers (PIT),282.0,17.6,26.0,4.0,"3,994",62%,7.0,1.72353637727662,353.0,569.0,"2,270",4.0,150.0,52.0,23.0,12.0,5.0,78.0,96.0,2.6,36.0,0.4456521739130434,45.0,57.0,154.0,114.0,24.0,1.0,183,46.0,4.0,16.0,00-0023459,2019,92.0,353.0,4.6%,QB,00-0023459,A.Rodgers
11.0,Matt Ryan (FA),281.4,18.8,26.0,14.0,"4,466",66%,7.3,1.8014334622076058,408.0,616.0,"2,940",4.8,192.0,47.0,16.0,5.0,4.0,81.0,93.0,2.6,48.0,0.375,62.0,54.0,199.0,86.0,17.0,1.0,147,34.0,5.0,15.0,00-0026143,2019,128.0,408.0,0.1%,QB,00-0026143,M.Ryan
12.0,Tom Brady (FA),271.6,17.0,24.0,8.0,"4,057",61%,6.6,-2.5320673110039285,373.0,613.0,"2,435",4.0,163.0,60.0,19.0,6.0,3.0,91.0,89.0,2.6,27.0,0.2934782608695652,37.0,55.0,198.0,118.0,34.0,3.0,34,26.0,1.0,16.0,00-0019596,2019,92.0,373.0,4.7%,QB,00-0019596,T.Brady
13.0,Jared Goff (DET),263.5,16.5,22.0,16.0,"4,638",63%,7.4,-1.7886467781255468,394.0,626.0,"2,640",4.2,193.0,72.0,18.0,6.0,4.0,70.0,86.0,2.6,22.0,0.282051282051282,48.0,52.0,219.0,123.0,27.0,2.0,40,33.0,5.0,16.0,00-0033106,2019,78.0,394.0,59.5%,QB,00-0033106,J.Goff
14.0,Jimmy Garoppolo (LAR),260.2,16.3,27.0,13.0,"3,978",69%,8.4,1.8058367901378112,329.0,476.0,"2,077",4.4,156.0,61.0,25.0,8.0,3.0,73.0,103.0,2.4,36.0,0.4761904761904761,32.0,41.0,201.0,64.0,28.0,1.0,62,46.0,5.0,16.0,00-0031345,2019,84.0,329.0,0.2%,QB,00-0031345,J.Garoppolo
15.0,Philip Rivers (FA),255.5,16.0,23.0,20.0,"4,615",66%,7.8,3.715050784176164,390.0,591.0,"2,732",4.6,199.0,57.0,23.0,12.0,5.0,79.0,92.0,2.5,34.0,0.3655913978494624,56.0,40.0,114.0,88.0,25.0,0.0,29,12.0,3.0,16.0,,2019,93.0,390.0,0.1%,QB,00-0022942,P.Rivers
16.0,Ryan Fitzpatrick (FA),254.7,17.0,20.0,13.0,"3,529",62%,7.0,-0.5458322336659261,311.0,502.0,"2,436",4.9,163.0,43.0,12.0,6.0,2.0,67.0,86.0,2.3,40.0,0.3508771929824561,66.0,48.0,192.0,87.0,28.0,4.0,243,54.0,2.0,15.0,00-0023682,2019,114.0,311.0,0.0%,QB,00-0023682,R.Fitzpatrick
17.0,Derek Carr (FA),252.5,15.8,21.0,8.0,"4,054",70%,7.9,5.6901541296508835,361.0,513.0,"2,069",4.0,162.0,54.0,19.0,10.0,3.0,72.0,100.0,2.6,29.0,0.5918367346938775,17.0,67.0,107.0,53.0,25.0,2.0,82,27.0,3.0,16.0,00-0031280,2019,49.0,361.0,0.8%,QB,00-0031280,D.Carr
18.0,Kirk Cousins (ATL),250.4,16.7,26.0,6.0,"3,603",69%,8.1,3.766363248879612,307.0,444.0,"2,019",4.5,138.0,52.0,24.0,11.0,6.0,51.0,108.0,2.7,28.0,0.4675324675324675,30.0,48.0,107.0,65.0,17.0,1.0,63,31.0,3.0,15.0,00-0029604,2019,77.0,307.0,0.6%,QB,00-0029604,K.Cousins
19.0,Baker Mayfield (TB),250.3,15.6,22.0,21.0,"3,827",59%,7.2,-2.955220352139391,317.0,534.0,"2,240",4.2,155.0,57.0,22.0,9.0,4.0,74.0,77.0,2.3,40.0,0.6060606060606061,24.0,65.0,211.0,93.0,30.0,3.0,141,28.0,2.0,16.0,00-0034855,2019,66.0,317.0,93.6%,QB,00-0034855,B.Mayfield
20.0,Gardner Minshew II (KC),235.3,16.8,21.0,6.0,"3,271",61%,7.0,,285.0,470.0,"1,850",3.9,130.0,43.0,20.0,6.0,3.0,58.0,91.0,2.5,33.0,,29.0,55.0,147.0,84.0,24.0,0.0,344,67.0,7.0,14.0,,2019,,285.0,0.2%,QB,,
21.0,Ryan Tannehill (FA),230.2,19.2,22.0,6.0,"2,742",70%,9.6,6.361812406194683,201.0,286.0,"1,587",5.5,110.0,41.0,16.0,9.0,5.0,37.0,109.0,2.7,31.0,0.5217391304347826,24.0,25.0,104.0,35.0,9.0,4.0,185,43.0,3.0,12.0,00-0029701,2019,69.0,201.0,0.0%,QB,00-0029701,R.Tannehill
22.0,Drew Brees (FA),228.8,20.8,27.0,4.0,"2,979",74%,7.9,6.196603982214368,281.0,378.0,"1,713",4.5,120.0,37.0,14.0,7.0,1.0,56.0,110.0,2.4,12.0,0.375,17.0,25.0,114.0,39.0,13.0,1.0,-4,9.0,0.0,11.0,,2019,40.0,281.0,0.3%,QB,00-0020531,D.Brees
23.0,Daniel Jones (IND),226.9,17.5,24.0,12.0,"3,027",62%,6.6,-1.9408105670472344,284.0,459.0,"1,824",4.0,111.0,39.0,18.0,7.0,5.0,59.0,86.0,2.6,38.0,0.3584905660377358,66.0,48.0,131.0,80.0,17.0,2.0,279,45.0,11.0,13.0,00-0035710,2019,106.0,284.0,0.7%,QB,00-0035710,D.Jones
24.0,Jacoby Brissett (ARI),223.7,14.9,18.0,6.0,"2,942",61%,6.6,-3.263569078496025,272.0,447.0,"1,609",3.6,122.0,32.0,11.0,3.0,1.0,58.0,88.0,2.6,27.0,0.3292682926829268,54.0,56.0,135.0,78.0,24.0,4.0,228,56.0,5.0,15.0,00-0033119,2019,82.0,272.0,0.1%,QB,00-0033119,J.Brissett
25.0,Andy Dalton (CAR),217.5,16.7,16.0,14.0,"3,494",59%,6.6,-3.271983714685552,314.0,528.0,"2,034",3.9,144.0,41.0,15.0,6.0,3.0,73.0,77.0,2.3,37.0,0.5873015873015873,24.0,36.0,188.0,92.0,27.0,4.0,73,32.0,4.0,13.0,00-0027973,2019,63.0,314.0,0.1%,QB,00-0027973,A.Dalton
