Rank,Player,Fantasy Points,Fantasy Points/Game,Passing TD,Interceptions,Passing Yards (Advanced),Completion % (Advanced),Yards/Attempt (Advanced),CPOE,Completions (Advanced),Pass Attempts (Advanced),Air Yards,Air Yards/Attempt,Completions 10+ Yards,Completions 20+ Yards,Completions 30+ Yards,Completions 40+ Yards,Completions 50+ Yards,Red Zone Attempts,QB Rating,Pocket Time,Sacks (Advanced),pressure_to_sack,QB Hits/Knockdowns,QB Hurries,Blitzes Faced,Poor Throws,Receiver Drops,Rushing TD,Rushing Yards,Rushing Attempts,Fumbles Lost,Games Played (Advanced),player_id,Year,pressures,Completions,Rostered %,Position,passer_player_id,passer_player_name,season_yac_metrics_2022,receiver_player_id_yac_metrics_2022,receiver_player_name_yac_metrics_2022,yac_yac_metrics_2022
"The player’s overall fantasy Ranking","The quarterback’s name (display format).","Season fantasy points scored.","Average fantasy points scored per game.","Number of passing touchdowns.","Number of interceptions.","Total passing yards (may include advanced adjustments or air yards components).","Percentage of passes completed (advanced stat — may adjust for drops, throwaways, etc.).","Average passing yards per attempt (advanced calculation).","Completion Percentage Over Expected (accuracy relative to expected completions based on throw difficulty).","Total completed passes (advanced version, may adjust for specific situations).","Total pass attempts (advanced version).","Total distance (in yards) that all pass attempts traveled in the air (before catch).","Average air yards per pass attempt.","Number of completed passes that gained 10 or more yards.","Number of completed passes that gained 20 or more yards.","Number of completed passes that gained 30 or more yards.","Number of completed passes that gained 40 or more yards.","Number of completed passes that gained 50 or more yards.","Number of pass attempts made inside the opponent’s 20-yard line.","Quarterback rating (passer efficiency metric using completions, yards, TDs, INTs).","Average time (in seconds) the QB spends in the pocket before releasing the ball or being pressured/sacked.","Total number of times the QB was sacked (advanced tracking).","Ratio of pressures that resulted in a sack (measures QB’s ability to avoid sacks when pressured).","Number of times the QB was hit or knocked down (but not necessarily sacked).","Number of times the QB was hurried (forced to throw earlier than intended).","Number of defensive blitzes the QB faced.","Number of passes classified as poorly thrown (off-target).","Number of passes dropped by receivers.","Total rushing touchdowns scored by the QB.","Total rushing yards gained by the QB.","Total rushing attempts by the QB.","Number of fumbles lost (turnovers).","Number of games played (advanced tracking; may account for partial appearances).","Unique player identifier (database reference).","Season year for the stats.","Number of times the QB was pressured by defenders (includes hits, hurries, sacks).","","","","","","","","",""
1.0,Josh Allen (BUF),417.7,24.6,36.0,15.0,"4,407",63%,6.8,2.163703873612527,409.0,646.0,"2,900",4.5,181.0,51.0,16.0,8.0,3.0,123.0,92.0,2.4,26.0,0.3218390804597701,63.0,96.0,182.0,108.0,35.0,6.0,763.0,122.0,3.0,17.0,00-0034857,2021,87.0,409.0,99.8%,QB,00-0034857,J.Allen,,,,
2.0,Justin Herbert (LAC),395.6,23.3,38.0,15.0,"5,014",66%,7.5,-0.6154611593330572,443.0,672.0,"2,867",4.3,208.0,52.0,22.0,15.0,3.0,104.0,99.0,2.4,31.0,0.3195876288659793,62.0,50.0,154.0,95.0,38.0,3.0,302.0,63.0,1.0,17.0,00-0036355,2021,97.0,443.0,84.1%,QB,00-0036355,J.Herbert,2022.0,00-0036355,J.Herbert,5.0
3.0,Tom Brady (FA),386.7,22.7,43.0,12.0,"5,316",68%,7.4,1.222278987624756,485.0,719.0,"3,079",4.3,205.0,75.0,23.0,10.0,4.0,120.0,102.0,2.3,22.0,0.4393939393939394,30.0,30.0,177.0,135.0,32.0,2.0,81.0,28.0,3.0,17.0,00-0019596,2021,66.0,485.0,4.7%,QB,00-0019596,T.Brady,2022.0,00-0019596,T.Brady,0.0
4.0,Patrick Mahomes II (KC),374.2,22.0,37.0,13.0,"4,828",66%,7.3,,436.0,658.0,"2,480",3.8,192.0,58.0,21.0,11.0,4.0,100.0,100.0,2.4,28.0,,58.0,76.0,112.0,116.0,31.0,2.0,381.0,66.0,4.0,17.0,,2021,,436.0,96.0%,QB,,,,,,
5.0,Matthew Stafford (LAR),346.8,20.4,41.0,17.0,"4,886",67%,8.1,1.155701165329929,404.0,601.0,"2,987",5.0,174.0,65.0,28.0,18.0,10.0,112.0,105.0,2.4,30.0,0.3894736842105263,42.0,32.0,138.0,111.0,31.0,0.0,43.0,32.0,2.0,17.0,00-0026498,2021,95.0,404.0,17.7%,QB,00-0026498,M.Stafford,,,,
6.0,Aaron Rodgers (PIT),337.3,21.1,37.0,4.0,"4,115",69%,7.7,5.817567264667545,366.0,531.0,"2,157",4.1,163.0,55.0,23.0,10.0,5.0,110.0,113.0,2.3,30.0,0.4736842105263157,40.0,59.0,134.0,92.0,14.0,3.0,101.0,33.0,0.0,16.0,00-0023459,2021,38.0,366.0,4.6%,QB,00-0023459,A.Rodgers,2022.0,00-0036991,A.Rodgers,52.0
7.0,Dak Prescott (DAL),330.4,20.7,37.0,10.0,"4,449",69%,7.5,1.5445676194043456,410.0,596.0,"2,638",4.4,184.0,55.0,20.0,7.0,1.0,97.0,105.0,2.4,30.0,0.3932584269662921,48.0,46.0,188.0,85.0,29.0,1.0,146.0,48.0,6.0,16.0,00-0033077,2021,89.0,410.0,68.5%,QB,00-0033077,D.Prescott,,,,
8.0,Joe Burrow (CIN),328.1,20.5,34.0,14.0,"4,611",70%,8.9,5.896984826477,366.0,520.0,"2,521",4.8,180.0,60.0,27.0,15.0,12.0,54.0,107.0,2.4,51.0,0.5263157894736842,49.0,46.0,125.0,54.0,23.0,2.0,118.0,40.0,2.0,16.0,00-0036442,2021,133.0,366.0,99.6%,QB,00-0036442,J.Burrow,,,,
9.0,Jalen Hurts (PHI),321.2,21.4,16.0,9.0,"3,144",61%,7.3,-0.6127516384673358,265.0,432.0,"1,912",4.4,130.0,44.0,12.0,5.0,2.0,54.0,87.0,2.6,26.0,0.4057971014492754,32.0,78.0,125.0,57.0,22.0,10.0,784.0,139.0,2.0,15.0,00-0036389,2021,69.0,265.0,99.7%,QB,00-0036389,J.Hurts,,,,
