Rank,Player,Fantasy Points,Fantasy Points/Game,Passing TD,Interceptions,Passing Yards (Advanced),Completion % (Advanced),Yards/Attempt (Advanced),CPOE,Completions (Advanced),Pass Attempts (Advanced),Air Yards,Air Yards/Attempt,Completions 10+ Yards,Completions 20+ Yards,Completions 30+ Yards,Completions 40+ Yards,Completions 50+ Yards,Red Zone Attempts,QB Rating,Pocket Time,Sacks (Advanced),pressure_to_sack,QB Hits/Knockdowns,QB Hurries,Blitzes Faced,Poor Throws,Receiver Drops,Rushing TD,Rushing Yards,Rushing Attempts,Fumbles Lost,Games Played (Advanced),player_id,Year,pressures,Completions,Rostered %,Position,passer_player_id,passer_player_name
"The player’s overall fantasy Ranking","The quarterback’s name (display format).","Season fantasy points scored.","Average fantasy points scored per game.","Number of passing touchdowns.","Number of interceptions.","Total passing yards (may include advanced adjustments or air yards components).","Percentage of passes completed (advanced stat — may adjust for drops, throwaways, etc.).","Average passing yards per attempt (advanced calculation).","Completion Percentage Over Expected (accuracy relative to expected completions based on throw difficulty).","Total completed passes (advanced version, may adjust for specific situations).","Total pass attempts (advanced version).","Total distance (in yards) that all pass attempts traveled in the air (before catch).","Average air yards per pass attempt.","Number of completed passes that gained 10 or more yards.","Number of completed passes that gained 20 or more yards.","Number of completed passes that gained 30 or more yards.","Number of completed passes that gained 40 or more yards.","Number of completed passes that gained 50 or more yards.","Number of pass attempts made inside the opponent’s 20-yard line.","Quarterback rating (passer efficiency metric using completions, yards, TDs, INTs).","Average time (in seconds) the QB spends in the pocket before releasing the ball or being pressured/sacked.","Total number of times the QB was sacked (advanced tracking).","Ratio of pressures that resulted in a sack (measures QB’s ability to avoid sacks when pressured).","Number of times the QB was hit or knocked down (but not necessarily sacked).","Number of times the QB was hurried (forced to throw earlier than intended).","Number of defensive blitzes the QB faced.","Number of passes classified as poorly thrown (off-target).","Number of passes dropped by receivers.","Total rushing touchdowns scored by the QB.","Total rushing yards gained by the QB.","Total rushing attempts by the QB.","Number of fumbles lost (turnovers).","Number of games played (advanced tracking; may account for partial appearances).","Unique player identifier (database reference).","Season year for the stats.","Number of times the QB was pressured by defenders (includes hits, hurries, sacks).","","","","",""
1.0,Lamar Jackson (BAL),434.4,25.6,41.0,4.0,"4,172",67%,8.8,5.083347303441251,316.0,474.0,"2,344",4.9,175.0,56.0,18.0,14.0,6.0,64.0,120.0,2.5,23.0,0.4262295081967213,31.0,53.0,162.0,69.0,28.0,4.0,915.0,139.0,5.0,17.0,00-0034796,2024,61.0,316.0,99.8%,QB,00-0034796,L.Jackson
2.0,Josh Allen (BUF),385.1,22.7,28.0,6.0,"3,731",64%,7.7,2.008676370466825,307.0,483.0,"2,007",4.2,143.0,54.0,21.0,10.0,5.0,61.0,97.0,2.4,14.0,0.2878787878787879,37.0,37.0,136.0,86.0,20.0,12.0,531.0,102.0,2.0,17.0,00-0034857,2024,66.0,307.0,99.8%,QB,00-0034857,J.Allen
3.0,Joe Burrow (CIN),381.9,22.5,43.0,9.0,"4,918",71%,7.5,6.786788494628712,460.0,652.0,"2,951",4.5,190.0,49.0,24.0,12.0,4.0,122.0,108.0,2.2,48.0,0.3934426229508196,69.0,38.0,164.0,73.0,30.0,2.0,201.0,42.0,5.0,17.0,00-0036442,2024,122.0,460.0,99.6%,QB,00-0036442,J.Burrow
4.0,Baker Mayfield (TB),381.8,22.5,41.0,16.0,"4,500",71%,7.9,4.0903884512155155,407.0,570.0,"2,456",4.3,185.0,58.0,19.0,5.0,2.0,78.0,106.0,2.2,40.0,0.6949152542372882,20.0,49.0,175.0,63.0,27.0,3.0,378.0,60.0,2.0,17.0,00-0034855,2024,59.0,407.0,93.6%,QB,00-0034855,B.Mayfield
5.0,Jayden Daniels (WAS),364.7,21.5,25.0,9.0,"3,568",69%,7.4,3.286895609762447,331.0,480.0,"2,097",4.4,137.0,41.0,18.0,10.0,7.0,66.0,97.0,2.4,47.0,0.6071428571428571,28.0,36.0,153.0,67.0,20.0,6.0,891.0,148.0,0.0,17.0,,2024,84.0,331.0,99.8%,QB,00-0039910,J.Daniels
6.0,Jared Goff (DET),336.5,19.8,37.0,12.0,"4,629",72%,8.6,4.975909313985278,390.0,539.0,"2,347",4.4,181.0,61.0,20.0,11.0,8.0,93.0,114.0,2.3,31.0,0.3548387096774194,57.0,34.0,143.0,69.0,11.0,0.0,56.0,35.0,0.0,17.0,00-0033106,2024,93.0,390.0,59.5%,QB,00-0033106,J.Goff
7.0,Bo Nix (DEN),329.1,19.4,29.0,12.0,"3,775",66%,6.7,0.3646358821383609,376.0,567.0,"2,169",3.8,133.0,51.0,22.0,6.0,3.0,68.0,93.0,2.5,24.0,0.4126984126984127,34.0,44.0,148.0,84.0,32.0,4.0,430.0,92.0,0.0,17.0,,2024,63.0,376.0,91.2%,QB,00-0039732,B.Nix
8.0,Jalen Hurts (PHI),320.0,21.3,18.0,5.0,"2,903",69%,8.1,7.749625416606232,248.0,361.0,"1,683",4.6,109.0,44.0,17.0,10.0,2.0,48.0,102.0,2.7,38.0,0.6710526315789473,23.0,29.0,126.0,45.0,6.0,14.0,630.0,150.0,5.0,15.0,00-0036389,2024,76.0,248.0,99.7%,QB,00-0036389,J.Hurts
9.0,Sam Darnold (SEA),319.8,18.8,35.0,12.0,"4,319",66%,7.9,3.2163541642982323,361.0,545.0,"2,819",5.2,165.0,62.0,19.0,10.0,4.0,93.0,103.0,2.6,48.0,0.5181818181818182,52.0,52.0,137.0,77.0,19.0,1.0,212.0,67.0,4.0,17.0,00-0034869,2024,110.0,361.0,6.1%,QB,00-0034869,S.Darnold
10.0,Kyler Murray (ARI),308.4,18.1,21.0,11.0,"3,851",69%,7.1,2.1178644786869483,372.0,541.0,"2,145",4.0,155.0,43.0,12.0,3.0,1.0,66.0,95.0,2.4,30.0,0.5769230769230769,23.0,47.0,155.0,66.0,17.0,5.0,572.0,78.0,4.0,17.0,00-0035228,2024,52.0,372.0,87.5%,QB,00-0035228,K.Murray
11.0,Patrick Mahomes II (KC),293.9,18.4,26.0,11.0,"3,928",67%,6.8,,392.0,581.0,"1,956",3.4,163.0,40.0,16.0,4.0,2.0,99.0,92.0,2.3,36.0,,70.0,46.0,140.0,87.0,26.0,2.0,307.0,58.0,0.0,16.0,,2024,,392.0,96.0%,QB,,
