Rank,Player,Fantasy Points,Fantasy Points/Game,Passing TD,Interceptions,Passing Yards (Advanced),Completion % (Advanced),Yards/Attempt (Advanced),CPOE,Completions (Advanced),Pass Attempts (Advanced),Air Yards,Air Yards/Attempt,Completions 10+ Yards,Completions 20+ Yards,Completions 30+ Yards,Completions 40+ Yards,Completions 50+ Yards,Red Zone Attempts,QB Rating,Pocket Time,Sacks (Advanced),pressure_to_sack,QB Hits/Knockdowns,QB Hurries,Blitzes Faced,Poor Throws,Receiver Drops,Rushing TD,Rushing Yards,Rushing Attempts,Fumbles Lost,Games Played (Advanced),player_id,Year,pressures,Completions,Rostered %,Position,passer_player_id,passer_player_name,season_yac_metrics_2023,receiver_player_id_yac_metrics_2023,receiver_player_name_yac_metrics_2023,yac_yac_metrics_2023
"The player’s overall fantasy Ranking","The quarterback’s name (display format).","Season fantasy points scored.","Average fantasy points scored per game.","Number of passing touchdowns.","Number of interceptions.","Total passing yards (may include advanced adjustments or air yards components).","Percentage of passes completed (advanced stat — may adjust for drops, throwaways, etc.).","Average passing yards per attempt (advanced calculation).","Completion Percentage Over Expected (accuracy relative to expected completions based on throw difficulty).","Total completed passes (advanced version, may adjust for specific situations).","Total pass attempts (advanced version).","Total distance (in yards) that all pass attempts traveled in the air (before catch).","Average air yards per pass attempt.","Number of completed passes that gained 10 or more yards.","Number of completed passes that gained 20 or more yards.","Number of completed passes that gained 30 or more yards.","Number of completed passes that gained 40 or more yards.","Number of completed passes that gained 50 or more yards.","Number of pass attempts made inside the opponent’s 20-yard line.","Quarterback rating (passer efficiency metric using completions, yards, TDs, INTs).","Average time (in seconds) the QB spends in the pocket before releasing the ball or being pressured/sacked.","Total number of times the QB was sacked (advanced tracking).","Ratio of pressures that resulted in a sack (measures QB’s ability to avoid sacks when pressured).","Number of times the QB was hit or knocked down (but not necessarily sacked).","Number of times the QB was hurried (forced to throw earlier than intended).","Number of defensive blitzes the QB faced.","Number of passes classified as poorly thrown (off-target).","Number of passes dropped by receivers.","Total rushing touchdowns scored by the QB.","Total rushing yards gained by the QB.","Total rushing attempts by the QB.","Number of fumbles lost (turnovers).","Number of games played (advanced tracking; may account for partial appearances).","Unique player identifier (database reference).","Season year for the stats.","Number of times the QB was pressured by defenders (includes hits, hurries, sacks).","","","","","","","","",""
1.0,Josh Allen (BUF),410.9,24.2,29.0,18.0,"4,306",66%,7.4,4.465782111571509,385.0,579.0,"2,529",4.4,164.0,49.0,19.0,9.0,4.0,68.0,92.0,2.3,24.0,0.325,51.0,51.0,181.0,78.0,31.0,15.0,524.0,111.0,4.0,17.0,00-0034857,2023,80.0,385.0,99.8%,QB,00-0034857,J.Allen,,,,
2.0,Jalen Hurts (PHI),371.9,21.9,23.0,15.0,"3,858",65%,7.2,4.1406827817733936,352.0,538.0,"2,374",4.4,149.0,48.0,19.0,7.0,3.0,50.0,88.0,2.6,36.0,0.5571428571428572,29.0,59.0,185.0,72.0,19.0,15.0,605.0,157.0,5.0,17.0,00-0036389,2023,70.0,352.0,99.7%,QB,00-0036389,J.Hurts,,,,
3.0,Dak Prescott (DAL),352.0,20.7,36.0,9.0,"4,516",69%,7.7,3.844800094763435,410.0,590.0,"2,766",4.7,179.0,62.0,24.0,7.0,2.0,104.0,104.0,2.4,39.0,0.4526315789473684,47.0,26.0,163.0,68.0,38.0,2.0,242.0,55.0,2.0,17.0,00-0033077,2023,95.0,410.0,68.5%,QB,00-0033077,D.Prescott,,,,
4.0,Lamar Jackson (BAL),338.2,21.1,24.0,7.0,"3,678",67%,8.0,3.1905671972180527,307.0,457.0,"2,141",4.7,150.0,51.0,21.0,9.0,5.0,61.0,102.0,2.7,37.0,0.5569620253164557,29.0,22.0,169.0,73.0,22.0,5.0,821.0,148.0,6.0,16.0,00-0034796,2023,79.0,307.0,99.8%,QB,00-0034796,L.Jackson,2023.0,00-0034796,L.Jackson,14.0
5.0,Jordan Love (GB),330.1,19.4,32.0,11.0,"4,159",64%,7.2,1.402390737323571,372.0,579.0,"2,534",4.4,162.0,55.0,27.0,7.0,4.0,93.0,98.0,2.5,30.0,0.3529411764705882,42.0,47.0,215.0,98.0,29.0,4.0,247.0,50.0,3.0,17.0,00-0036264,2023,85.0,372.0,45.6%,QB,00-0036264,J.Love,,,,
6.0,Brock Purdy (SF),306.6,19.2,31.0,11.0,"4,280",69%,9.6,3.947090139235804,308.0,444.0,"2,455",5.5,167.0,72.0,31.0,14.0,4.0,64.0,112.0,2.6,28.0,0.3555555555555555,42.0,28.0,142.0,70.0,9.0,2.0,144.0,39.0,2.0,16.0,,2023,90.0,308.0,87.5%,QB,00-0037834,B.Purdy,,,,
7.0,Jared Goff (DET),300.9,17.7,30.0,12.0,"4,575",67%,7.6,1.3491943040958512,407.0,605.0,"2,738",4.5,180.0,69.0,19.0,9.0,2.0,73.0,99.0,2.3,30.0,0.3189655172413793,69.0,42.0,212.0,87.0,35.0,2.0,21.0,32.0,4.0,17.0,00-0033106,2023,116.0,407.0,59.5%,QB,00-0033106,J.Goff,,,,
8.0,Patrick Mahomes II (KC),294.1,18.4,27.0,14.0,"4,183",67%,7.0,,401.0,597.0,"2,064",3.5,158.0,50.0,21.0,8.0,3.0,92.0,93.0,2.5,27.0,,65.0,60.0,133.0,75.0,39.0,0.0,389.0,75.0,3.0,16.0,,2023,,401.0,96.0%,QB,,,,,,
9.0,Tua Tagovailoa (MIA),284.4,16.7,29.0,14.0,"4,624",69%,8.3,3.1497144914534903,388.0,560.0,"2,830",5.1,189.0,58.0,22.0,11.0,7.0,69.0,101.0,2.1,29.0,0.5081967213114754,27.0,39.0,116.0,78.0,24.0,0.0,74.0,35.0,5.0,17.0,00-0036212,2023,61.0,388.0,15.9%,QB,00-0036212,T.Tagovailoa,,,,
10.0,Baker Mayfield (TB),284.0,16.7,28.0,10.0,"4,044",64%,7.1,-0.2017796327063536,364.0,566.0,"2,384",4.2,145.0,60.0,22.0,12.0,5.0,60.0,95.0,2.4,40.0,0.5333333333333333,35.0,37.0,141.0,81.0,24.0,1.0,163.0,62.0,3.0,17.0,00-0034855,2023,90.0,364.0,93.6%,QB,00-0034855,B.Mayfield,,,,
11.0,C.J. Stroud (HOU),281.1,18.7,23.0,5.0,"4,108",64%,8.2,0.1019671559333801,319.0,499.0,"2,531",5.1,160.0,66.0,19.0,9.0,6.0,58.0,100.0,2.5,38.0,0.475,38.0,47.0,126.0,95.0,18.0,3.0,167.0,39.0,4.0,15.0,,2023,80.0,319.0,51.5%,QB,00-0039163,C.Stroud,2023.0,00-0039163,C.Stroud,1.0
12.0,Sam Howell (MIN),278.6,16.4,21.0,21.0,"3,946",63%,6.4,-0.427237766630535,388.0,612.0,"2,284",3.7,157.0,44.0,18.0,4.0,1.0,60.0,75.0,2.4,65.0,0.5241935483870968,57.0,39.0,181.0,88.0,25.0,5.0,263.0,48.0,2.0,17.0,,2023,124.0,388.0,0.3%,QB,00-0037077,S.Howell,2023.0,00-0037077,S.Howell,3.0
13.0,Trevor Lawrence (JAC),276.6,17.3,21.0,14.0,"4,016",66%,7.1,0.9032510841886164,370.0,564.0,"2,478",4.4,158.0,49.0,18.0,9.0,4.0,56.0,90.0,2.2,35.0,0.4545454545454545,42.0,39.0,158.0,104.0,24.0,4.0,339.0,70.0,7.0,16.0,00-0036971,2023,77.0,370.0,13.2%,QB,00-0036971,T.Lawrence,,,,
14.0,Russell Wilson (NYG),264.9,17.7,26.0,8.0,"3,070",66%,6.9,4.853044374879592,297.0,447.0,"1,712",3.8,114.0,36.0,19.0,10.0,3.0,70.0,97.0,2.7,45.0,0.4205607476635514,48.0,42.0,144.0,55.0,17.0,3.0,341.0,80.0,5.0,15.0,00-0029263,2023,107.0,297.0,2.5%,QB,00-0029263,R.Wilson,,,,
15.0,Matthew Stafford (LAR),254.3,17.0,24.0,11.0,"3,965",62%,7.6,-1.9457726825613264,326.0,521.0,"2,305",4.4,154.0,62.0,28.0,8.0,3.0,78.0,93.0,2.5,30.0,0.3720930232558139,43.0,27.0,172.0,95.0,33.0,0.0,65.0,21.0,0.0,15.0,00-0026498,2023,86.0,326.0,17.7%,QB,00-0026498,M.Stafford,2023.0,00-0026498,M.Stafford,0.0
16.0,Derek Carr (FA),249.1,14.7,25.0,8.0,"3,878",68%,7.1,3.032757888902445,375.0,548.0,"2,446",4.5,140.0,47.0,20.0,10.0,4.0,68.0,100.0,2.3,31.0,0.4428571428571428,35.0,24.0,172.0,80.0,20.0,0.0,40.0,32.0,3.0,17.0,00-0031280,2023,70.0,375.0,0.8%,QB,00-0031280,D.Carr,,,,
17.0,Justin Herbert (LAC),241.2,18.6,20.0,7.0,"3,134",65%,6.9,-0.3111262051031074,297.0,456.0,"1,836",4.0,119.0,42.0,12.0,4.0,3.0,63.0,89.0,2.4,29.0,0.3866666666666666,42.0,36.0,158.0,71.0,22.0,3.0,228.0,52.0,1.0,13.0,00-0036355,2023,75.0,297.0,84.1%,QB,00-0036355,J.Herbert,2023.0,00-0036355,J.Herbert,17.0
18.0,Justin Fields (NYJ),239.1,18.4,16.0,9.0,"2,562",61%,6.9,0.7927931911122504,227.0,370.0,"1,472",4.0,95.0,45.0,16.0,4.0,3.0,47.0,84.0,2.8,44.0,0.5432098765432098,33.0,44.0,143.0,58.0,13.0,4.0,657.0,124.0,4.0,13.0,00-0036945,2023,81.0,227.0,73.0%,QB,00-0036945,J.Fields,,,,
19.0,Geno Smith (LV),236.4,15.8,20.0,9.0,"3,624",65%,7.3,2.4441359943504977,323.0,499.0,"2,167",4.3,142.0,46.0,21.0,5.0,4.0,67.0,91.0,2.4,31.0,0.3974358974358974,46.0,63.0,145.0,69.0,24.0,1.0,155.0,37.0,3.0,15.0,00-0030565,2023,78.0,323.0,4.4%,QB,00-0030565,G.Smith,2023.0,00-0030565,G.Smith,6.0
20.0,Joshua Dobbs (NE),210.5,16.2,13.0,10.0,"2,464",63%,5.9,-1.7743371015218026,262.0,417.0,"1,636",3.9,98.0,29.0,4.0,2.0,1.0,48.0,81.0,2.6,30.0,0.3333333333333333,58.0,23.0,121.0,67.0,15.0,6.0,421.0,77.0,7.0,13.0,,2023,90.0,262.0,0.2%,QB,00-0033949,J.Dobbs,,,,
21.0,Gardner Minshew II (KC),205.2,12.8,15.0,9.0,"3,305",62%,6.7,,305.0,490.0,"1,902",3.9,125.0,36.0,20.0,11.0,5.0,58.0,86.0,2.4,34.0,,30.0,32.0,169.0,70.0,26.0,3.0,100.0,34.0,5.0,16.0,,2023,,305.0,0.2%,QB,,,,,,
22.0,Desmond Ridder (CIN),189.1,12.6,12.0,12.0,"2,836",64%,7.3,-1.335535029570259,249.0,388.0,"1,789",4.6,113.0,34.0,14.0,7.0,3.0,47.0,82.0,2.3,31.0,0.5254237288135594,28.0,26.0,90.0,55.0,17.0,5.0,193.0,53.0,7.0,15.0,,2023,59.0,249.0,0.0%,QB,00-0038122,D.Ridder,2023.0,00-0038122,D.Ridder,0.0
23.0,Bryce Young (CAR),166.5,10.4,11.0,10.0,"2,877",60%,5.5,-1.4098406276282065,315.0,527.0,"1,783",3.4,109.0,26.0,10.0,4.0,0.0,39.0,74.0,2.5,62.0,0.5391304347826087,50.0,38.0,166.0,103.0,23.0,0.0,253.0,39.0,6.0,16.0,,2023,115.0,315.0,9.5%,QB,00-0039150,B.Young,,,,
24.0,Kirk Cousins (ATL),154.9,19.4,18.0,5.0,"2,331",69%,7.5,4.287857809011515,216.0,311.0,"1,462",4.7,95.0,34.0,12.0,4.0,3.0,45.0,103.0,2.5,17.0,0.2575757575757575,45.0,21.0,106.0,39.0,16.0,0.0,25.0,14.0,4.0,8.0,00-0029604,2023,66.0,216.0,0.6%,QB,00-0029604,K.Cousins,,,,
25.0,Joe Burrow (CIN),153.2,15.3,15.0,6.0,"2,309",67%,6.3,1.23375170675778,244.0,365.0,"1,286",3.5,85.0,21.0,10.0,4.0,3.0,46.0,91.0,2.2,24.0,0.375,37.0,13.0,83.0,52.0,21.0,0.0,88.0,31.0,1.0,10.0,00-0036442,2023,64.0,244.0,99.6%,QB,00-0036442,J.Burrow,,,,
