season,posteam,plays_per_game,neutral_pass_rate
"Season year","Team abbreviation","Average number of offensive plays run per game","Neutral situation pass rate (fraction of plays that are passes in neutral game script)"
2021,ARI,84.77777777777777,0.2424639580602883
2021,ATL,78.76470588235294,0.29798356982823
2021,BAL,89.6470588235294,0.3333333333333333
2021,BUF,84.63157894736842,0.3345771144278607
2021,CAR,83.94117647058823,0.2417659425367904
2021,CHI,81.70588235294117,0.2584593232541397
2021,CIN,81.04761904761905,0.3354876615746181
2021,CLE,80.6470588235294,0.3041575492341357
2021,DAL,89.66666666666667,0.288723667905824
2021,DEN,78.82352941176471,0.2567164179104477
2021,DET,82.17647058823529,0.2476735862562634
2021,GB,81.05555555555556,0.3420150788211104
2021,HOU,80.29411764705883,0.2527472527472527
2021,IND,81.82352941176471,0.2861250898634076
2021,JAX,80.52941176470588,0.2162162162162162
2021,KC,86.15,0.355194428322693
2021,LA,81.42857142857143,0.3029239766081871
2021,LAC,86.23529411764706,0.3663028649386085
2021,LV,85.27777777777777,0.3342019543973941
2021,MIA,84.82352941176471,0.3162274618585298
2021,MIN,84.70588235294117,0.3444444444444444
2021,NE,80.77777777777777,0.2262723521320495
2021,NO,81.76470588235294,0.2705035971223021
2021,NYG,81.11764705882354,0.3118201595358956
2021,NYJ,80.17647058823529,0.2450476889214967
2021,PHI,81.61111111111111,0.2443839346494213
2021,PIT,86.5,0.2947976878612717
2021,SEA,75.0,0.3066666666666666
2021,SF,78.95,0.2837238758708043
2021,TB,86.63157894736842,0.3408262454434994
2021,TEN,85.5,0.2638076673164392
2021,WAS,82.29411764705883,0.3309506790564689
