Player,Year,Position,Team,Games Played,Fantasy Points,PPG,Targets,Receptions,Carries,Touchdowns,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
DJ Moore (CHI),2023,WR,CHI,17.0,286.5,16.9,136.0,96.0,,8.0,,104.0,138.0,1.0,0.0
Mike Evans (TB),2018,WR,TB,16.0,284.4,17.8,138.0,86.0,,8.0,,282.0,139.0,15.0,3.0
Brian Thomas Jr. (JAC),2024,WR,,17.0,284.0,16.7,133.0,87.0,,10.0,,,,,
Mike Evans (TB),2023,WR,TB,17.0,282.5,16.6,136.0,79.0,,13.0,,357.0,157.0,19.0,8.0
Calvin Ridley (TEN),2020,WR,ATL,15.0,281.5,18.8,143.0,90.0,,9.0,,275.0,145.0,26.0,10.0
Calvin Ridley (TEN),2021,WR,ATL,5.0,281.5,18.8,52.0,31.0,,9.0,,91.0,52.0,11.0,3.0
Drake London (ATL),2024,WR,ATL,17.0,280.8,16.5,158.0,100.0,,9.0,,327.0,159.0,27.0,6.0
Larry Fitzgerald (FA),2015,WR,ARI,16.0,280.5,17.5,145.0,109.0,,9.0,,574.0,164.0,21.0,6.0
Keenan Allen (FA),2023,WR,LAC,13.0,278.9,21.5,150.0,108.0,,7.0,,396.0,150.0,15.0,3.0
Keenan Allen (FA),2017,WR,LAC,16.0,278.2,17.4,159.0,102.0,,6.0,,501.0,159.0,24.0,7.0
Chris Godwin (TB),2019,WR,TB,14.0,276.1,19.7,121.0,86.0,,9.0,,577.0,122.0,15.0,6.0
Justin Jefferson (MIN),2021,WR,MIN,17.0,274.2,17.1,167.0,108.0,,7.0,,490.0,170.0,27.0,9.0
Justin Jefferson (MIN),2020,WR,MIN,16.0,274.2,17.1,125.0,88.0,,7.0,,453.0,128.0,15.0,5.0
Julio Jones (FA),2019,WR,ATL,15.0,274.1,18.3,157.0,99.0,,6.0,,342.0,158.0,18.0,5.0
Stefon Diggs (NE),2023,WR,BUF,17.0,273.8,16.1,160.0,107.0,,8.0,,456.0,178.0,18.0,2.0
