Player,Year,Position,Team,Games Played,Fantasy Points,PPG,Targets,Receptions,Carries,Touchdowns,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
Benjamin Watson (FA),2015,TE,NO,16.0,190.5,11.9,110.0,74.0,,6.0,,241.0,110.0,18.0,3.0
Mark Andrews (BAL),2022,TE,BAL,15.0,190.5,12.7,113.0,73.0,,5.0,,267.0,124.0,21.0,7.0
Travis Kelce (KC),2015,TE,KC,16.0,189.5,11.8,103.0,72.0,,5.0,,609.0,124.0,17.0,3.0
Jimmy Graham (FA),2016,TE,SEA,16.0,189.3,11.8,95.0,65.0,,6.0,,346.0,102.0,22.0,2.0
Mark Andrews (BAL),2024,TE,BAL,17.0,188.8,11.1,69.0,55.0,,11.0,,220.0,80.0,19.0,3.0
Delanie Walker (FA),2016,TE,TEN,15.0,188.1,12.5,102.0,65.0,,7.0,,271.0,102.0,18.0,2.0
Zach Ertz (WAS),2016,TE,PHI,14.0,183.6,13.1,106.0,78.0,,4.0,,263.0,106.0,17.0,3.0
Trey McBride (ARI),2023,TE,ARI,17.0,181.5,10.7,106.0,81.0,,3.0,,420.0,106.0,11.0,5.0
Cole Kmet (CHI),2023,TE,CHI,17.0,181.1,10.7,90.0,73.0,,6.0,,290.0,90.0,16.0,5.0
Zach Ertz (WAS),2021,TE,ARI,17.0,180.7,10.6,112.0,74.0,,5.0,,352.0,117.0,22.0,9.0
Zach Ertz (WAS),2024,TE,WAS,17.0,177.4,10.4,91.0,66.0,,7.0,,226.0,118.0,27.0,13.0
Jake Ferguson (DAL),2023,TE,DAL,17.0,177.1,10.4,102.0,71.0,,5.0,,452.0,114.0,29.0,10.0
Evan Engram (DEN),2022,TE,JAX,17.0,176.9,10.4,98.0,73.0,,4.0,,553.0,118.0,15.0,4.0
Logan Thomas (FA),2020,TE,WAS,16.0,176.6,11.0,110.0,72.0,,6.0,,317.0,121.0,22.0,4.0
Robert Tonyan (KC),2020,TE,GB,16.0,176.6,11.0,59.0,52.0,,11.0,,268.0,67.0,12.0,4.0
Kyle Pitts Sr. (ATL),2021,TE,,17.0,176.6,10.4,110.0,68.0,,1.0,,,,,
