Player,Year,Position,Team,Games Played,Fantasy Points,Fantasy PPG,Targets,Receptions,Carries,TDs,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
Larry Fitzgerald (FA),2015,WR,ARI,16.0,280.5,17.5,145.0,109.0,0.0,9.0,,,,21.0,
Zach Ertz (WAS),2018,TE,PHI,16.0,280.3,17.5,156.0,116.0,nan,8.0,,,,27.0,
James Conner (ARI),2018,RB,,13.0,279.7,21.5,71.0,55.0,215.0,13.0,,,,43.0,
Keenan Allen (FA),2023,WR,LAC,13.0,278.9,21.5,150.0,108.0,6.0,7.0,,,,15.0,
Darren Waller (MIA),2020,TE,LV,16.0,278.6,17.4,145.0,107.0,nan,9.0,,,,24.0,
Keenan Allen (FA),2017,WR,LAC,16.0,278.2,17.4,159.0,102.0,9.0,6.0,,,,24.0,
James White (FA),2018,RB,,16.0,276.6,17.3,123.0,87.0,94.0,12.0,,,,47.0,
Chris Godwin (TB),2019,WR,TB,14.0,276.1,19.7,121.0,86.0,8.0,9.0,,,,15.0,
Justin Jefferson (MIN),2021,WR,MIN,17.0,274.2,17.1,167.0,108.0,2.0,7.0,,,,27.0,
Justin Jefferson (MIN),2020,WR,MIN,16.0,274.2,17.1,125.0,88.0,2.0,7.0,,,,15.0,
Julio Jones (FA),2019,WR,ATL,15.0,274.1,18.3,157.0,99.0,-3.0,6.0,,,,18.0,
Stefon Diggs (NE),2023,WR,BUF,17.0,273.8,16.1,160.0,107.0,5.0,8.0,,,,18.0,
T.Y. Hilton (FA),2016,WR,IND,16.0,273.8,17.1,155.0,91.0,0.0,6.0,,,,16.0,
A.J. Green (FA),2015,WR,CIN,16.0,273.7,17.1,132.0,86.0,0.0,10.0,,,,19.0,
Malik Nabers (NYG),2024,WR,NYG,15.0,273.6,18.2,170.0,109.0,2.0,7.0,,,,18.0,
Kyren Williams (LAR),2024,RB,,16.0,272.1,17.0,40.0,34.0,316.0,16.0,,,,85.0,
DK Metcalf (PIT),2020,WR,SEA,16.0,271.3,17.0,129.0,83.0,0.0,10.0,,,,17.0,
DK Metcalf (PIT),2021,WR,SEA,17.0,271.3,17.0,129.0,75.0,0.0,10.0,,,,20.0,
Cooper Kupp (SEA),2019,WR,LA,16.0,270.5,16.9,134.0,94.0,4.0,10.0,,,,22.0,
DeAndre Hopkins (BAL),2019,WR,HOU,15.0,269.5,18.0,150.0,104.0,18.0,7.0,,,,18.0,
Jarvis Landry (FA),2015,WR,MIA,16.0,269.4,16.8,166.0,110.0,113.0,4.0,,,,25.0,
Doug Baldwin (FA),2015,WR,SEA,16.0,268.9,16.8,103.0,78.0,0.0,14.0,,,,19.0,
Rachaad White (TB),2023,RB,,17.0,267.9,15.8,70.0,64.0,272.0,9.0,,,,49.0,
Terry McLaurin (WAS),2024,WR,WAS,17.0,267.8,15.8,117.0,82.0,2.0,13.0,,,,21.0,
Raheem Mostert (LV),2023,RB,,15.0,267.7,17.8,32.0,25.0,209.0,21.0,,,,53.0,
Demaryius Thomas (FA),2015,WR,DEN,16.0,267.4,16.7,177.0,105.0,0.0,6.0,,,,23.0,
Joe Mixon (HOU),2023,RB,,17.0,267.0,15.7,64.0,52.0,257.0,12.0,,,,74.0,
James Cook (BUF),2024,RB,,16.0,266.7,16.7,38.0,32.0,207.0,18.0,,,,69.0,
Stefon Diggs (NE),2018,WR,MIN,15.0,266.3,17.8,149.0,102.0,62.0,9.0,,,,19.0,
Robert Woods (PIT),2018,WR,LA,16.0,265.6,16.6,130.0,86.0,157.0,6.0,,,,16.0,
Tyler Lockett (TEN),2021,WR,SEA,16.0,265.4,16.6,107.0,73.0,0.0,10.0,,,,8.0,
Davante Adams (LAR),2023,WR,LV,17.0,265.4,15.6,175.0,103.0,0.0,8.0,,,,30.0,
Tyler Lockett (TEN),2020,WR,SEA,16.0,265.4,16.6,132.0,100.0,0.0,10.0,,,,16.0,
Alvin Kamara (NO),2024,RB,,14.0,265.3,19.0,89.0,68.0,228.0,8.0,,,,41.0,
David Montgomery (DET),2020,RB,,15.0,264.8,17.7,68.0,54.0,247.0,10.0,,,,61.0,
CeeDee Lamb (DAL),2024,WR,DAL,15.0,263.4,17.6,152.0,101.0,70.0,6.0,,,,21.0,
Allen Robinson II (FA),2020,WR,,16.0,262.9,16.4,151.0,102.0,-1.0,6.0,,,,,
Allen Robinson II (FA),2021,WR,,12.0,262.9,16.4,66.0,38.0,-1.0,6.0,,,,,
Travis Kelce (KC),2021,TE,KC,16.0,262.8,16.4,134.0,92.0,nan,9.0,,,,23.0,
Brock Bowers (LV),2024,TE,LV,17.0,262.7,15.5,153.0,112.0,nan,5.0,,,,16.0,
Ja'Marr Chase (CIN),2023,WR,CIN,16.0,262.7,16.4,145.0,100.0,-6.0,7.0,,,,21.0,
Keenan Allen (FA),2019,WR,LAC,16.0,261.5,16.3,149.0,104.0,16.0,6.0,,,,20.0,
Calvin Johnson (FA),2015,WR,DET,16.0,261.4,16.3,149.0,88.0,0.0,9.0,,,,18.0,
Larry Fitzgerald (FA),2017,WR,ARI,16.0,261.4,16.3,161.0,109.0,0.0,6.0,,,,21.0,
Adrian Peterson (FA),2015,RB,,16.0,260.7,16.3,36.0,30.0,327.0,11.0,,,,56.0,
