Player,Year,Position,Team,Games Played,Fantasy Points,Fantasy PPG,Targets,Receptions,Carries,TDs,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
Jamaal Williams (FA),2022,RB,,17.0,225.9,13.3,16.0,12.0,262.0,17.0,,,,6.0,
DJ Chark Jr. (ATL),2019,WR,,15.0,225.8,15.1,118.0,73.0,20.0,8.0,,,,,
Joe Mixon (HOU),2019,RB,,16.0,225.4,14.1,45.0,35.0,278.0,8.0,,,,48.0,
DK Metcalf (PIT),2023,WR,SEA,16.0,225.4,14.1,119.0,66.0,0.0,8.0,,,,23.0,
Mike Evans (TB),2022,WR,TB,15.0,225.4,15.0,127.0,77.0,0.0,6.0,,,,16.0,
Marvin Jones Jr. (FA),2017,WR,,16.0,225.1,14.1,107.0,61.0,0.0,9.0,,,,,
Allen Hurns (FA),2015,WR,JAX,15.0,225.1,15.0,105.0,64.0,0.0,10.0,,,,16.0,
Golden Tate (FA),2017,WR,DET,16.0,224.5,14.0,120.0,92.0,22.0,5.0,,,,8.0,
Emmanuel Sanders (FA),2015,WR,DEN,15.0,224.4,15.0,137.0,76.0,29.0,6.0,,,,11.0,
Robbie Chosen (FA),2020,WR,,16.0,224.1,14.0,136.0,95.0,15.0,3.0,,,,,
Robbie Chosen (FA),2021,WR,,17.0,224.1,14.0,110.0,53.0,15.0,3.0,,,,,
Terry McLaurin (WAS),2021,WR,WAS,17.0,223.8,14.9,130.0,77.0,30.0,4.0,,,,9.0,
Terry McLaurin (WAS),2020,WR,WAS,15.0,223.8,14.9,134.0,87.0,30.0,4.0,,,,15.0,
Ezekiel Elliott (FA),2020,RB,,15.0,223.7,14.9,71.0,52.0,244.0,8.0,,,,54.0,
DeAndre Hopkins (BAL),2023,WR,TEN,17.0,223.6,13.2,137.0,75.0,9.0,7.0,,,,20.0,
Najee Harris (LAC),2022,RB,,17.0,223.5,13.1,53.0,41.0,272.0,10.0,,,,49.0,
Doug Baldwin (FA),2017,WR,SEA,16.0,223.3,14.0,116.0,75.0,-8.0,8.0,,,,9.0,
Saquon Barkley (PHI),2023,RB,,14.0,223.2,15.9,60.0,41.0,247.0,10.0,,,,49.0,
Tee Higgins (CIN),2022,WR,CIN,15.0,223.2,14.9,110.0,75.0,0.0,7.0,,,,16.0,
Golden Tate (FA),2016,WR,DET,16.0,223.1,13.9,135.0,91.0,4.0,4.0,,,,20.0,
Travis Kelce (KC),2016,TE,KC,16.0,223.0,13.9,117.0,85.0,nan,4.0,,,,21.0,
Tyler Boyd (FA),2019,WR,CIN,16.0,222.9,13.9,148.0,90.0,23.0,5.0,,,,11.0,
Phillip Lindsay (FA),2018,RB,,15.0,222.8,14.9,47.0,35.0,192.0,10.0,,,,35.0,
Chris Godwin (TB),2022,WR,TB,15.0,222.8,14.9,142.0,104.0,5.0,3.0,,,,22.0,
Tony Pollard (TEN),2023,RB,,17.0,222.6,13.1,67.0,55.0,252.0,6.0,,,,78.0,
George Kittle (SF),2019,TE,SF,14.0,222.5,15.9,107.0,85.0,nan,5.0,,,,23.0,
Davante Adams (LAR),2017,WR,GB,14.0,222.5,15.9,117.0,74.0,0.0,10.0,,,,24.0,
Tyler Lockett (TEN),2018,WR,SEA,16.0,222.4,13.9,70.0,57.0,69.0,10.0,,,,8.0,
Courtland Sutton (DEN),2019,WR,DEN,16.0,222.4,13.9,124.0,72.0,17.0,6.0,,,,21.0,
Jonnu Smith (PIT),2024,TE,MIA,17.0,222.3,13.1,111.0,88.0,nan,8.0,,,,19.0,
Eric Ebron (FA),2018,TE,IND,16.0,222.2,13.9,110.0,66.0,nan,13.0,,,,26.0,
Tee Higgins (CIN),2024,WR,CIN,12.0,222.1,18.5,109.0,73.0,0.0,10.0,,,,25.0,
Diontae Johnson (CLE),2021,WR,HOU,16.0,221.8,14.8,169.0,107.0,15.0,7.0,,,,14.0,
Diontae Johnson (CLE),2020,WR,PIT,15.0,221.8,14.8,144.0,88.0,15.0,7.0,,,,13.0,
David Montgomery (DET),2024,RB,,14.0,221.7,15.8,38.0,36.0,185.0,12.0,,,,55.0,
Jordan Addison (MIN),2023,WR,MIN,17.0,221.3,13.0,108.0,70.0,2.0,10.0,,,,18.0,
Brandin Cooks (NO),2017,WR,NE,16.0,221.2,13.8,114.0,65.0,40.0,7.0,,,,18.0,
Tyler Boyd (FA),2018,WR,CIN,14.0,221.1,15.8,108.0,76.0,3.0,7.0,,,,10.0,
Darren Waller (MIA),2019,TE,LV,16.0,221.0,13.8,117.0,90.0,nan,3.0,,,,11.0,
John Brown (FA),2019,WR,BUF,15.0,219.8,14.7,115.0,72.0,7.0,6.0,,,,6.0,
Travis Kelce (KC),2023,TE,KC,15.0,219.4,14.6,121.0,93.0,nan,5.0,,,,26.0,
T.J. Hockenson (MIN),2023,TE,MIN,15.0,219.0,14.6,127.0,95.0,nan,5.0,,,,14.0,
Sammy Watkins (FA),2015,WR,BUF,13.0,218.8,16.8,96.0,60.0,1.0,9.0,,,,7.0,
Miles Sanders (DAL),2019,RB,,16.0,218.7,13.7,63.0,50.0,179.0,6.0,,,,42.0,
Jakobi Meyers (LV),2023,WR,LV,16.0,218.6,13.7,106.0,71.0,24.0,8.0,,,,19.0,
Kareem Hunt (KC),2020,RB,,16.0,218.5,13.7,51.0,38.0,198.0,11.0,,,,58.0,
Tyreek Hill (MIA),2024,WR,MIA,17.0,218.2,12.8,123.0,81.0,53.0,6.0,,,,20.0,
Jakobi Meyers (LV),2024,WR,LV,15.0,218.0,14.5,129.0,87.0,23.0,4.0,,,,16.0,
CeeDee Lamb (DAL),2021,WR,DAL,16.0,217.7,13.6,120.0,79.0,82.0,5.0,,,,15.0,
CeeDee Lamb (DAL),2020,WR,DAL,16.0,217.7,13.6,111.0,74.0,82.0,5.0,,,,13.0,
Jayden Reed (GB),2023,WR,GB,16.0,217.2,13.6,94.0,64.0,119.0,8.0,,,,22.0,
Jarvis Landry (FA),2018,WR,CLE,16.0,217.1,13.6,149.0,81.0,60.0,4.0,,,,21.0,
A.J. Brown (PHI),2019,WR,TEN,16.0,217.1,13.6,84.0,52.0,60.0,8.0,,,,5.0,
Tyrell Williams (FA),2016,WR,DAL,16.0,216.9,13.6,119.0,69.0,0.0,7.0,,,,6.0,
Miles Sanders (DAL),2022,RB,,17.0,216.7,12.7,26.0,20.0,259.0,11.0,,,,55.0,
Michael Pittman Jr. (IND),2022,WR,,16.0,216.5,13.5,141.0,99.0,30.0,4.0,,,,,
Garrett Wilson (NYJ),2022,WR,NYJ,17.0,215.7,12.7,147.0,83.0,4.0,4.0,,,,20.0,
Zach Ertz (WAS),2019,TE,PHI,15.0,215.6,14.4,135.0,88.0,nan,6.0,,,,20.0,
Amari Cooper (FA),2018,WR,DAL,15.0,215.5,14.4,107.0,75.0,20.0,7.0,,,,15.0,
T.J. Hockenson (MIN),2022,TE,DET,17.0,215.4,12.7,129.0,86.0,nan,6.0,,,,23.0,
Nick Chubb (HOU),2021,RB,,14.0,215.3,15.4,25.0,20.0,228.0,9.0,,,,42.0,
Jay Ajayi (FA),2016,RB,,15.0,215.3,14.4,35.0,27.0,260.0,8.0,,,,37.0,
Le'Veon Bell (FA),2019,RB,,15.0,215.0,14.3,78.0,66.0,245.0,4.0,,,,31.0,
Chase Claypool (FA),2021,WR,PIT,15.0,214.9,13.4,105.0,59.0,16.0,9.0,,,,16.0,
Chase Claypool (FA),2020,WR,PIT,16.0,214.9,13.4,109.0,62.0,16.0,9.0,,,,23.0,
Matt Forte (FA),2015,RB,,13.0,214.7,16.5,58.0,44.0,218.0,7.0,,,,42.0,
D'Andre Swift (CHI),2024,RB,,17.0,214.5,12.6,52.0,42.0,253.0,6.0,,,,32.0,
Kenyan Drake (FA),2019,RB,,14.0,214.2,15.3,68.0,50.0,170.0,8.0,,,,29.0,
Frank Gore (FA),2016,RB,,16.0,214.2,13.4,47.0,38.0,263.0,8.0,,,,36.0,
Isiah Pacheco (KC),2023,RB,,14.0,213.9,15.3,49.0,44.0,205.0,9.0,,,,74.0,
Terrelle Pryor Sr. (FA),2016,WR,,16.0,213.4,13.3,140.0,77.0,21.0,4.0,,,,,
Garrett Wilson (NYJ),2023,WR,NYJ,17.0,213.2,12.5,168.0,95.0,0.0,3.0,,,,19.0,
Amari Cooper (FA),2015,WR,LV,16.0,212.7,13.3,130.0,72.0,-3.0,6.0,,,,8.0,
Davante Adams (LAR),2019,WR,GB,12.0,212.7,17.7,127.0,83.0,0.0,5.0,,,,27.0,
Michael Gallup (WAS),2019,WR,DAL,14.0,212.7,15.2,113.0,66.0,0.0,6.0,,,,8.0,
Emmanuel Sanders (FA),2016,WR,DEN,16.0,212.6,13.3,137.0,79.0,4.0,5.0,,,,22.0,
Jordan Addison (MIN),2024,WR,MIN,15.0,212.5,14.2,99.0,63.0,20.0,9.0,,,,20.0,
Rashee Rice (KC),2023,WR,KC,16.0,212.5,13.3,102.0,79.0,-3.0,7.0,,,,29.0,
Jameson Williams (DET),2024,WR,DEN,15.0,212.2,14.1,91.0,58.0,61.0,7.0,,,,32.0,
Curtis Samuel (BUF),2021,WR,,5.0,212.1,14.1,9.0,6.0,200.0,3.0,,,,1.0,
Curtis Samuel (BUF),2020,WR,CAR,15.0,212.1,14.1,97.0,77.0,200.0,3.0,,,,24.0,
Stefon Diggs (NE),2019,WR,MIN,15.0,212.1,14.1,94.0,63.0,61.0,6.0,,,,8.0,
Alvin Kamara (NO),2022,RB,,15.0,211.7,14.1,77.0,57.0,223.0,4.0,,,,36.0,
DJ Moore (CHI),2020,WR,SEA,15.0,211.5,14.1,118.0,66.0,22.0,4.0,,,,15.0,
Rishard Matthews (FA),2016,WR,TEN,16.0,211.5,13.2,108.0,65.0,0.0,9.0,,,,16.0,
DJ Moore (CHI),2021,WR,,17.0,211.5,14.1,163.0,93.0,22.0,4.0,,,,,
T.Y. Hilton (FA),2015,WR,IND,16.0,211.4,13.2,134.0,69.0,0.0,5.0,,,,16.0,
Jerome Ford (CLE),2023,RB,,17.0,211.2,12.4,63.0,44.0,204.0,9.0,,,,24.0,
Mike Evans (TB),2015,WR,TB,15.0,210.6,14.0,148.0,74.0,0.0,3.0,,,,17.0,
Nico Collins (HOU),2024,WR,HOU,12.0,210.6,17.6,99.0,68.0,0.0,7.0,,,,15.0,
Jauan Jennings (SF),2024,WR,SF,15.0,210.5,14.0,113.0,77.0,0.0,6.0,,,,15.0,
Damien Harris (FA),2021,RB,,15.0,210.1,14.0,20.0,18.0,202.0,15.0,,,,1.0,
David Johnson (FA),2015,RB,,16.0,209.8,13.1,57.0,36.0,125.0,12.0,,,,39.0,
Zay Flowers (BAL),2024,WR,BAL,17.0,209.5,12.3,116.0,74.0,56.0,4.0,,,,10.0,
Golden Tate (FA),2015,WR,DET,16.0,209.4,13.1,128.0,90.0,41.0,6.0,,,,18.0,
Terry McLaurin (WAS),2023,WR,WAS,17.0,209.2,12.3,132.0,79.0,0.0,4.0,,,,10.0,
Chris Godwin (TB),2023,WR,TB,17.0,209.2,12.3,130.0,83.0,38.0,2.0,,,,19.0,
Kyle Rudolph (FA),2016,TE,MIN,16.0,209.0,13.1,132.0,83.0,nan,7.0,,,,26.0,
D'Andre Swift (CHI),2021,RB,,13.0,208.9,16.1,78.0,62.0,151.0,7.0,,,,31.0,
Dalton Schultz (HOU),2021,TE,DAL,17.0,208.8,12.3,104.0,78.0,nan,8.0,,,,16.0,
George Pickens (DAL),2023,WR,PIT,17.0,208.8,12.3,106.0,63.0,18.0,5.0,,,,10.0,
Cooper Kupp (SEA),2020,WR,LA,15.0,208.7,13.9,124.0,92.0,33.0,3.0,,,,13.0,
Cooper Kupp (SEA),2021,WR,LA,17.0,208.7,13.9,191.0,145.0,33.0,3.0,,,,50.0,
Todd Gurley II (FA),2015,RB,,13.0,208.4,16.0,26.0,21.0,229.0,10.0,,,,,
Latavius Murray (FA),2016,RB,,14.0,208.2,14.9,43.0,33.0,195.0,12.0,,,,48.0,
Nick Chubb (HOU),2020,RB,,12.0,207.7,17.3,18.0,16.0,190.0,12.0,,,,41.0,
Cole Beasley (FA),2020,WR,BUF,15.0,207.5,13.8,107.0,82.0,0.0,4.0,,,,11.0,
John Brown (FA),2015,WR,,15.0,207.5,13.8,101.0,65.0,22.0,7.0,,,,1.0,
Cole Beasley (FA),2021,WR,BUF,16.0,207.5,13.8,112.0,82.0,0.0,4.0,,,,15.0,
Julian Edelman (FA),2018,WR,NE,12.0,207.4,17.3,108.0,74.0,107.0,6.0,,,,24.0,
Greg Olsen (FA),2016,TE,CAR,16.0,207.3,13.0,129.0,80.0,nan,3.0,,,,19.0,
David Montgomery (DET),2023,RB,,14.0,207.2,14.8,24.0,16.0,219.0,13.0,,,,2.0,
Mark Andrews (BAL),2019,TE,BAL,15.0,207.2,13.8,98.0,64.0,nan,10.0,,,,16.0,
Kenny Golladay (FA),2018,WR,DET,15.0,207.1,13.8,119.0,70.0,8.0,5.0,,,,18.0,
Calvin Ridley (TEN),2018,WR,ATL,16.0,206.8,12.9,92.0,64.0,27.0,10.0,,,,9.0,
Puka Nacua (LAR),2024,WR,LA,11.0,206.6,18.8,106.0,79.0,46.0,3.0,,,,21.0,
Mike Davis (FA),2020,RB,,15.0,206.5,13.8,70.0,59.0,165.0,8.0,,,,52.0,
Zay Flowers (BAL),2023,WR,BAL,16.0,206.4,12.9,108.0,77.0,56.0,5.0,,,,19.0,
Dalvin Cook (FA),2021,RB,,13.0,206.3,15.9,49.0,34.0,249.0,6.0,,,,50.0,
Kenyan Drake (FA),2018,RB,,16.0,206.2,12.9,73.0,53.0,120.0,9.0,,,,19.0,
Demaryius Thomas (FA),2017,WR,DEN,16.0,205.9,12.9,140.0,83.0,0.0,5.0,,,,6.0,
Isaiah Crowell (FA),2016,RB,,16.0,205.1,12.8,53.0,40.0,198.0,7.0,,,,34.0,
Javonte Williams (DAL),2021,RB,,17.0,204.9,12.1,53.0,43.0,203.0,7.0,,,,4.0,
Latavius Murray (FA),2015,RB,,16.0,204.8,12.8,53.0,41.0,266.0,6.0,,,,35.0,
Najee Harris (LAC),2024,RB,,17.0,204.6,12.0,48.0,36.0,263.0,6.0,,,,55.0,
Jerry Jeudy (CLE),2022,WR,DEN,15.0,204.2,13.6,100.0,67.0,40.0,6.0,,,,11.0,
George Kittle (SF),2023,TE,SF,16.0,203.2,12.7,90.0,65.0,nan,6.0,,,,14.0,
Mike Evans (TB),2017,WR,TB,15.0,203.1,13.5,136.0,71.0,0.0,5.0,,,,21.0,
Randall Cobb (FA),2015,WR,GB,16.0,202.9,12.7,129.0,79.0,50.0,6.0,,,,25.0,
Mike Wallace (FA),2016,WR,BAL,16.0,202.8,12.7,116.0,72.0,31.0,4.0,,,,11.0,
Chris Ivory (FA),2015,RB,,15.0,202.7,13.5,37.0,30.0,247.0,8.0,,,,45.0,
Tyler Lockett (TEN),2023,WR,SEA,17.0,202.4,11.9,122.0,79.0,0.0,5.0,,,,15.0,
Zach Ertz (WAS),2017,TE,PHI,14.0,202.4,14.5,110.0,74.0,nan,8.0,,,,21.0,
Antonio Gibson (NE),2020,RB,,14.0,202.2,14.4,44.0,36.0,170.0,11.0,,,,34.0,
Justin Jefferson (MIN),2023,WR,MIN,10.0,202.2,20.2,100.0,68.0,-12.0,5.0,,,,12.0,
James Conner (ARI),2023,RB,,13.0,201.5,15.5,33.0,27.0,208.0,9.0,,,,44.0,
Cooper Kupp (SEA),2022,WR,LA,9.0,201.4,22.4,98.0,75.0,52.0,6.0,,,,12.0,
Chris Carson (FA),2018,RB,,14.0,201.4,14.4,24.0,20.0,247.0,9.0,,,,48.0,
Odell Beckham Jr. (FA),2019,WR,,16.0,201.3,12.6,133.0,74.0,10.0,4.0,,,,,
David Njoku (CLE),2023,TE,CLE,16.0,201.2,12.6,123.0,81.0,nan,6.0,,,,20.0,
Pierre Garcon (FA),2016,WR,WAS,16.0,201.1,12.6,114.0,79.0,0.0,3.0,,,,14.0,
Tony Pollard (TEN),2024,RB,,16.0,200.7,12.5,57.0,41.0,260.0,5.0,,,,37.0,
Derrick Henry (BAL),2018,RB,,16.0,200.6,12.5,18.0,15.0,215.0,12.0,,,,45.0,
George Kittle (SF),2022,TE,SF,15.0,200.5,13.4,86.0,60.0,nan,11.0,,,,17.0,
James White (FA),2019,RB,,15.0,200.2,13.3,95.0,72.0,67.0,6.0,,,,36.0,
James Conner (ARI),2022,RB,,13.0,200.2,15.4,58.0,46.0,183.0,8.0,,,,29.0,
Robbie Chosen (FA),2017,WR,,16.0,200.0,12.5,114.0,63.0,9.0,7.0,,,,,
Rachaad White (TB),2024,RB,,16.0,199.6,12.5,57.0,51.0,144.0,9.0,,,,32.0,
DeVonta Smith (PHI),2024,WR,PHI,13.0,199.4,15.3,89.0,68.0,1.0,8.0,,,,15.0,
D'Andre Swift (CHI),2023,RB,,16.0,199.3,12.5,49.0,39.0,229.0,6.0,,,,43.0,
Allen Robinson II (FA),2016,WR,,16.0,199.3,12.5,151.0,73.0,0.0,6.0,,,,,
Calvin Ridley (TEN),2024,WR,TEN,17.0,199.2,11.7,120.0,64.0,55.0,4.0,,,,10.0,
DJ Moore (CHI),2022,WR,CAR,17.0,199.1,11.7,118.0,63.0,53.0,7.0,,,,12.0,
Tyreek Hill (MIA),2016,WR,KC,16.0,199.0,12.4,83.0,61.0,267.0,6.0,,,,20.0,
Jaylen Waddle (MIA),2023,WR,MIA,14.0,198.6,14.2,104.0,72.0,12.0,4.0,,,,9.0,
Stefon Diggs (NE),2017,WR,MIN,14.0,198.2,14.2,95.0,64.0,13.0,8.0,,,,15.0,
Emmanuel Sanders (FA),2018,WR,DEN,12.0,198.2,16.5,98.0,71.0,53.0,4.0,,,,11.0,
Chris Olave (NO),2022,WR,NO,15.0,198.2,13.2,119.0,72.0,0.0,4.0,,,,12.0,
Zay Jones (ARI),2022,WR,JAX,16.0,198.1,12.4,121.0,82.0,18.0,5.0,,,,25.0,
George Kittle (SF),2021,TE,SF,14.0,198.0,14.1,94.0,71.0,nan,6.0,,,,11.0,
Rico Dowdle (CAR),2024,RB,,16.0,197.8,12.4,49.0,39.0,235.0,5.0,,,,33.0,
Devin Singletary (NYG),2021,RB,,17.0,197.8,11.6,50.0,40.0,188.0,8.0,,,,55.0,
Jamison Crowder (FA),2019,WR,NYJ,16.0,197.7,12.4,122.0,78.0,4.0,6.0,,,,16.0,
Phillip Lindsay (FA),2019,RB,,16.0,197.7,12.4,48.0,35.0,224.0,7.0,,,,37.0,
Devonta Freeman (FA),2019,RB,,14.0,197.6,14.1,70.0,59.0,184.0,6.0,,,,32.0,
DeAndre Hopkins (BAL),2016,WR,HOU,16.0,197.4,12.3,151.0,78.0,0.0,4.0,,,,12.0,
Kamar Aiken (FA),2015,WR,BAL,16.0,197.4,12.3,127.0,75.0,0.0,5.0,,,,11.0,
Kelvin Benjamin (FA),2016,WR,CAR,16.0,197.1,12.3,118.0,63.0,0.0,7.0,,,,15.0,
Jayden Reed (GB),2024,WR,GB,17.0,197.0,11.6,75.0,55.0,163.0,6.0,,,,15.0,
Calvin Ridley (TEN),2019,WR,ATL,13.0,197.0,15.2,93.0,63.0,34.0,7.0,,,,10.0,
Bilal Powell (FA),2016,RB,,16.0,197.0,12.3,74.0,58.0,131.0,5.0,,,,33.0,
Marvin Harrison Jr. (ARI),2024,WR,,17.0,196.5,11.6,116.0,62.0,0.0,8.0,,,,,
Jaylen Warren (PIT),2023,RB,,17.0,196.4,11.6,74.0,61.0,149.0,4.0,,,,26.0,
Jerick McKinnon (FA),2022,RB,,17.0,196.3,11.5,71.0,56.0,72.0,10.0,,,,42.0,
Kenny Britt (FA),2016,WR,LA,15.0,196.2,13.1,111.0,68.0,0.0,5.0,,,,12.0,
David Montgomery (DET),2021,RB,,14.0,196.0,14.0,51.0,42.0,225.0,7.0,,,,1.0,
Darrel Williams (FA),2021,RB,,17.0,196.0,11.5,57.0,47.0,144.0,8.0,,,,9.0,
Alshon Jeffery (FA),2017,WR,PHI,16.0,195.9,12.2,120.0,57.0,0.0,9.0,,,,25.0,
Darren McFadden (FA),2015,RB,,16.0,195.7,12.2,53.0,40.0,239.0,3.0,,,,31.0,
Najee Harris (LAC),2023,RB,,17.0,195.5,11.5,38.0,29.0,255.0,8.0,,,,51.0,
Travis Kelce (KC),2024,TE,KC,16.0,195.4,12.2,133.0,97.0,nan,3.0,,,,31.0,
Adam Thielen (CAR),2016,WR,MIN,16.0,195.2,12.2,92.0,69.0,15.0,5.0,,,,11.0,
Devin Funchess (FA),2017,WR,CAR,16.0,195.0,12.2,111.0,63.0,0.0,8.0,,,,16.0,
Tee Higgins (CIN),2020,WR,CIN,16.0,194.6,12.2,108.0,67.0,28.0,6.0,,,,11.0,
Tee Higgins (CIN),2021,WR,CIN,14.0,194.6,12.2,110.0,74.0,28.0,6.0,,,,19.0,
Nick Chubb (HOU),2018,RB,,16.0,194.5,12.2,29.0,20.0,192.0,10.0,,,,31.0,
Marvin Jones Jr. (FA),2019,WR,,13.0,193.9,14.9,91.0,62.0,0.0,9.0,,,,,
Spencer Ware (FA),2016,RB,,14.0,193.8,13.8,42.0,33.0,214.0,5.0,,,,31.0,
Tevin Coleman (FA),2018,RB,,16.0,193.6,12.1,44.0,32.0,167.0,9.0,,,,27.0,
Jared Cook (FA),2018,TE,LV,16.0,193.6,12.1,101.0,68.0,nan,6.0,,,,15.0,
Frank Gore (FA),2015,RB,,16.0,193.4,12.1,58.0,34.0,260.0,7.0,,,,40.0,
Stefon Diggs (NE),2016,WR,MIN,13.0,193.3,14.9,112.0,84.0,10.0,3.0,,,,13.0,
Derrick Henry (BAL),2021,RB,,8.0,193.3,24.2,20.0,18.0,219.0,10.0,,,,40.0,
Darnell Mooney (ATL),2024,WR,ATL,16.0,193.2,12.1,106.0,64.0,0.0,5.0,,,,6.0,
Tavon Austin (FA),2015,WR,LA,16.0,192.7,12.0,87.0,52.0,434.0,5.0,,,,13.0,
Tyler Boyd (FA),2020,WR,CIN,15.0,192.6,12.8,110.0,79.0,49.0,4.0,,,,17.0,
Tyler Boyd (FA),2021,WR,CIN,16.0,192.6,12.8,94.0,67.0,49.0,4.0,,,,12.0,
Kenyan Drake (FA),2020,RB,,15.0,192.2,12.8,31.0,25.0,239.0,10.0,,,,58.0,
Carlos Hyde (FA),2016,RB,,13.0,192.1,14.8,33.0,27.0,217.0,9.0,,,,40.0,
Terry McLaurin (WAS),2019,WR,WAS,14.0,191.9,13.7,93.0,58.0,0.0,7.0,,,,14.0,
Travis Benjamin (FA),2015,WR,CLE,16.0,191.8,12.0,125.0,68.0,12.0,5.0,,,,17.0,
J.K. Dobbins (DEN),2024,RB,,13.0,191.8,14.8,38.0,32.0,195.0,9.0,,,,37.0,
JuJu Smith-Schuster (KC),2017,WR,PIT,14.0,191.7,13.7,79.0,58.0,0.0,7.0,,,,16.0,
Austin Hooper (NE),2019,TE,ATL,13.0,191.7,14.7,97.0,75.0,nan,6.0,,,,20.0,
Josh Jacobs (GB),2019,RB,,13.0,191.6,14.7,27.0,20.0,242.0,7.0,,,,45.0,
Tyler Eifert (FA),2015,TE,CIN,13.0,191.5,14.7,74.0,52.0,nan,13.0,,,,16.0,
Jamison Crowder (FA),2016,WR,WAS,16.0,191.5,12.0,99.0,67.0,-2.0,7.0,,,,17.0,
Willie Snead IV (FA),2016,WR,,15.0,191.5,12.8,104.0,72.0,0.0,4.0,,,,,
Corey Davis (FA),2021,WR,NYJ,9.0,191.4,13.7,59.0,34.0,0.0,5.0,,,,5.0,
J.D. McKissic (FA),2020,RB,,16.0,191.4,12.0,110.0,80.0,85.0,3.0,,,,27.0,
Corey Davis (FA),2020,WR,TEN,14.0,191.4,13.7,92.0,65.0,0.0,5.0,,,,8.0,
DK Metcalf (PIT),2024,WR,SEA,15.0,191.2,12.7,108.0,66.0,0.0,5.0,,,,10.0,
D'Andre Swift (CHI),2022,RB,,14.0,191.1,13.7,70.0,48.0,99.0,8.0,,,,39.0,
Lamar Miller (FA),2016,RB,,14.0,191.1,13.7,39.0,31.0,268.0,6.0,,,,45.0,
Tevin Coleman (FA),2016,RB,,13.0,191.1,14.7,40.0,31.0,118.0,11.0,,,,43.0,
Chris Godwin (TB),2021,WR,TB,14.0,191.0,15.9,127.0,98.0,0.0,7.0,,,,28.0,
Chris Godwin (TB),2020,WR,TB,12.0,191.0,15.9,84.0,65.0,0.0,7.0,,,,11.0,
De'Von Achane (MIA),2023,RB,,11.0,190.7,17.3,37.0,27.0,103.0,11.0,,,,29.0,
Mark Andrews (BAL),2022,TE,BAL,15.0,190.5,12.7,113.0,73.0,nan,5.0,,,,21.0,
Benjamin Watson (FA),2015,TE,NO,16.0,190.5,11.9,110.0,74.0,nan,6.0,,,,18.0,
Emmanuel Sanders (FA),2019,WR,DEN,17.0,190.3,11.2,97.0,66.0,0.0,5.0,,,,15.0,
Courtland Sutton (DEN),2023,WR,DEN,16.0,190.2,11.9,90.0,59.0,0.0,10.0,,,,19.0,
D'Andre Swift (CHI),2020,RB,,13.0,189.8,14.6,57.0,46.0,114.0,10.0,,,,29.0,
Travis Kelce (KC),2015,TE,KC,16.0,189.5,11.8,103.0,72.0,nan,5.0,,,,17.0,
Jimmy Graham (FA),2016,TE,SEA,16.0,189.3,11.8,95.0,65.0,nan,6.0,,,,22.0,
Deebo Samuel Sr. (WAS),2019,WR,,15.0,189.1,12.6,81.0,57.0,159.0,3.0,,,,,
Cole Beasley (FA),2016,WR,DAL,16.0,189.0,11.8,98.0,75.0,7.0,5.0,,,,9.0,
Adrian Peterson (FA),2018,RB,,16.0,189.0,11.8,26.0,20.0,251.0,8.0,,,,34.0,
William Fuller V (FA),2021,WR,,2.0,188.9,17.2,8.0,4.0,0.0,8.0,,,,,
William Fuller V (FA),2020,WR,,11.0,188.9,17.2,75.0,53.0,0.0,8.0,,,,,
Mark Andrews (BAL),2024,TE,BAL,17.0,188.8,11.1,69.0,55.0,nan,11.0,,,,19.0,
Adam Humphries (FA),2018,WR,TB,16.0,188.7,11.8,105.0,76.0,11.0,5.0,,,,16.0,
Tyreek Hill (MIA),2019,WR,KC,12.0,188.3,15.7,89.0,58.0,23.0,7.0,,,,15.0,
Delanie Walker (FA),2016,TE,TEN,15.0,188.1,12.5,102.0,65.0,nan,7.0,,,,18.0,
Jarvis Landry (FA),2020,WR,CLE,15.0,188.0,12.5,101.0,72.0,10.0,3.0,,,,23.0,
Jarvis Landry (FA),2021,WR,CLE,12.0,188.0,12.5,87.0,52.0,10.0,3.0,,,,14.0,
Chris Carson (FA),2020,RB,,12.0,187.8,15.7,46.0,37.0,141.0,9.0,,,,27.0,
Nelson Agholor (FA),2017,WR,PHI,16.0,187.5,11.7,95.0,62.0,7.0,8.0,,,,21.0,
Xavier Worthy (KC),2024,WR,KC,17.0,187.2,11.0,98.0,59.0,104.0,6.0,,,,33.0,
DK Metcalf (PIT),2019,WR,,16.0,187.1,11.7,100.0,58.0,11.0,7.0,,,,,
Gus Edwards (FA),2023,RB,,17.0,187.0,11.0,13.0,12.0,198.0,13.0,,,,42.0,
Zach Charbonnet (SEA),2024,RB,,17.0,186.9,11.0,52.0,42.0,135.0,9.0,,,,25.0,
A.J. Green (FA),2016,WR,CIN,10.0,186.4,18.6,100.0,66.0,0.0,4.0,,,,10.0,
Dez Bryant (FA),2017,WR,DAL,16.0,186.4,11.7,132.0,69.0,-4.0,6.0,,,,20.0,
Brandon LaFell (FA),2016,WR,CIN,16.0,186.0,11.6,107.0,64.0,-2.0,6.0,,,,17.0,
Ezekiel Elliott (FA),2022,RB,,15.0,185.8,12.4,23.0,17.0,231.0,12.0,,,,45.0,
Larry Fitzgerald (FA),2018,WR,ARI,16.0,185.7,11.6,112.0,69.0,0.0,6.0,,,,15.0,
